"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"JARID2",3.9568150222112e-05,0.814301258076426,0.273,0.192,1,"Normal","JARID2"
"SHFL",4.04237172654718e-05,0.89856287008141,0.117,0.058,1,"Normal","SHFL"
"FAM214A",4.0817824299474e-05,0.453815277205014,0.536,0.472,1,"Normal","FAM214A"
"SUSD1",4.11863363708493e-05,0.742209500426073,0.239,0.157,1,"Normal","SUSD1"
"B3GALT1-AS1",4.14795160191096e-05,0.884581761834047,0.158,0.088,1,"Normal","B3GALT1-AS1"
"CRYBB2P1",4.15295424746935e-05,0.936685131328749,0.116,0.056,1,"Normal","CRYBB2P1"
"TCF20",4.17971103173432e-05,0.711487345852361,0.368,0.288,1,"Normal","TCF20"
"PCBD2",4.32914181607476e-05,0.743655396522136,0.353,0.275,1,"Normal","PCBD2"
"CATSPERE",4.33559031479052e-05,0.518654602279557,0.303,0.213,1,"Normal","CATSPERE"
"FARP1",4.33858681617829e-05,0.386442598569431,0.647,0.625,1,"Normal","FARP1"
"DENND5B",4.36352448570909e-05,0.748739620359872,0.163,0.092,1,"Normal","DENND5B"
"PRDX6-AS1",4.39387711622191e-05,1.12471285606708,0.108,0.051,1,"Normal","PRDX6-AS1"
"MDN1",4.43536101930698e-05,0.655736845753266,0.388,0.305,1,"Normal","MDN1"
"PFKFB3",4.45440489869886e-05,0.409103521633587,0.434,0.356,1,"Normal","PFKFB3"
"ITPRID2",4.53797129350693e-05,0.934274306909988,0.147,0.081,1,"Normal","ITPRID2"
"COL19A1",4.54295824132418e-05,0.635692062279072,0.211,0.129,1,"Normal","COL19A1"
"LINC01392",4.61887054878593e-05,0.765747584065872,0.203,0.125,1,"Normal","LINC01392"
"FAM149A",4.62779489141089e-05,0.680526057596363,0.42,0.348,1,"Normal","FAM149A"
"TLE4",4.64587766759887e-05,0.481180631186682,0.588,0.547,1,"Normal","TLE4"
"SPOCK1",4.65035058913733e-05,0.786685292080174,0.206,0.128,1,"Normal","SPOCK1"
"FER1L4",4.75297905612239e-05,0.786773425877036,0.119,0.059,1,"Normal","FER1L4"
"TYMS",4.77321565419867e-05,1.01654550811612,0.141,0.077,1,"Normal","TYMS"
"WDFY2",4.79901441494868e-05,0.587471900857172,0.447,0.387,1,"Normal","WDFY2"
"LINC00578",5.06600292711861e-05,0.688488730368158,0.168,0.096,1,"Normal","LINC00578"
"PTPN20",5.10292269662707e-05,0.958726899886101,0.204,0.131,1,"Normal","PTPN20"
"CLMN",5.16297557278866e-05,0.302939414637338,0.693,0.691,1,"Normal","CLMN"
"NBPF15",5.18353225055139e-05,0.746427387893645,0.206,0.129,1,"Normal","NBPF15"
"EPRS1",5.26851803074063e-05,0.828253681491759,0.143,0.078,1,"Normal","EPRS1"
"LOC101929140",5.29466201959356e-05,0.947488681400155,0.128,0.067,1,"Normal","LOC101929140"
"HERC2P3",5.35050852054497e-05,0.748286723551954,0.173,0.1,1,"Normal","HERC2P3"
"UBE2K",5.35559795099884e-05,0.479411238973072,0.507,0.44,1,"Normal","UBE2K"
"UPF3B",5.38355742775907e-05,0.594893732302822,0.387,0.309,1,"Normal","UPF3B"
"CRPPA",5.41830405053579e-05,0.954152124425015,0.109,0.052,1,"Normal","CRPPA"
"SMCO4",5.4218785666235e-05,0.564892269335663,0.33,0.246,1,"Normal","SMCO4"
"CCDC73",5.48395287485371e-05,1.1267321367797,0.105,0.05,1,"Normal","CCDC73"
"CCDC81",5.60642159108711e-05,0.665256842615961,0.377,0.296,1,"Normal","CCDC81"
"LMBR1",5.66056025639084e-05,0.610873215973956,0.385,0.306,1,"Normal","LMBR1"
"CFAP99",5.67884772354515e-05,0.662129324535316,0.315,0.23,1,"Normal","CFAP99"
"DENND2A",5.7363733659837e-05,0.846500846732862,0.122,0.061,1,"Normal","DENND2A"
"LOC105370027",5.8155818656812e-05,0.7773880425687,0.185,0.111,1,"Normal","LOC105370027"
"RAPGEF5",5.82745234286965e-05,0.848877643506088,0.177,0.108,1,"Normal","RAPGEF5"
"SPDYA",5.88888401928983e-05,0.780951257616928,0.241,0.161,1,"Normal","SPDYA"
"PIK3R3",5.90818580106618e-05,0.617638969950686,0.423,0.348,1,"Normal","PIK3R3"
"HIP1",5.93792186886816e-05,0.691908429928593,0.295,0.213,1,"Normal","HIP1"
"PTGES3L-AARSD1",6.03618260349178e-05,0.888111624775077,0.147,0.082,1,"Normal","PTGES3L-AARSD1"
"PPP2R3A",6.07997752322335e-05,0.605662029541855,0.261,0.179,1,"Normal","PPP2R3A"
"RHBDD1",6.09337994734844e-05,0.818221352360555,0.266,0.188,1,"Normal","RHBDD1"
"ST6GALNAC2",6.1063342137716e-05,0.600392648350252,0.38,0.289,1,"Normal","ST6GALNAC2"
"ZBTB16",6.10647125919262e-05,0.554570138580171,0.453,0.378,1,"Normal","ZBTB16"
"MYO9B",6.10798728538494e-05,0.771135046149154,0.284,0.205,1,"Normal","MYO9B"
"HIVEP3",6.11063733151166e-05,0.826771683384837,0.158,0.09,1,"Normal","HIVEP3"
"ITFG2-AS1",6.13683060410199e-05,0.804693225629954,0.138,0.074,1,"Normal","ITFG2-AS1"
"KALRN",6.13973806002898e-05,0.567323223246441,0.384,0.298,1,"Normal","KALRN"
"GALNTL6",6.14856208102007e-05,0.794013933066801,0.151,0.085,1,"Normal","GALNTL6"
"RPL17P9",6.1635252743072e-05,0.630383740029304,0.114,0.055,1,"Normal","RPL17P9"
"RPL13AP20",6.18557457721041e-05,0.690609293854986,0.206,0.129,1,"Normal","RPL13AP20"
"TTC7A",6.26435052372279e-05,0.576139050257626,0.355,0.28,1,"Normal","TTC7A"
"CYP11A1",6.26893727127144e-05,0.942616298999614,0.1,0.046,1,"Normal","CYP11A1"
"CHST15",6.30820046174942e-05,0.829101319672859,0.2,0.127,1,"Normal","CHST15"
"ENOX1",6.3424165889766e-05,0.658617880400579,0.284,0.201,1,"Normal","ENOX1"
"MAFIP",6.36796239464147e-05,0.766997353457967,0.201,0.127,1,"Normal","MAFIP"
"AKAP10",6.44349207338832e-05,0.618655457974997,0.371,0.289,1,"Normal","AKAP10"
"MARCHF8",6.49356947966294e-05,0.604714578420512,0.13,0.067,1,"Normal","MARCHF8"
"ATAD5",6.51166979828077e-05,0.761792683508846,0.132,0.069,1,"Normal","ATAD5"
"NBPF10",6.54289159675978e-05,0.743974171554005,0.158,0.091,1,"Normal","NBPF10"
"ILRUN-AS1",6.58405991642805e-05,0.703455152498052,0.136,0.073,1,"Normal","ILRUN-AS1"
"STON2",6.63426638167607e-05,0.957909591990291,0.16,0.093,1,"Normal","STON2"
"PCDHA1",6.64699799903526e-05,0.927473417063174,0.136,0.073,1,"Normal","PCDHA1"
"PLXNA2",6.81032229408511e-05,0.64239216768678,0.455,0.393,1,"Normal","PLXNA2"
"PTCH2",6.85033078926415e-05,0.685566927648438,0.214,0.137,1,"Normal","PTCH2"
"SMG1P6",6.86347726632536e-05,0.747626286923842,0.209,0.133,1,"Normal","SMG1P6"
"TSNAX-DISC1",6.97082942678039e-05,0.594097227536544,0.257,0.172,1,"Normal","TSNAX-DISC1"
"SLC35B4",7.02622819180323e-05,0.793353593468904,0.193,0.12,1,"Normal","SLC35B4"
"TARS3",7.0466853052188e-05,1.08859498344368,0.128,0.069,1,"Normal","TARS3"
"TMEM108",7.12727435834965e-05,0.766486429642371,0.111,0.054,1,"Normal","TMEM108"
"LOC220729",7.282939426159e-05,0.676100314920735,0.162,0.092,1,"Normal","LOC220729"
"CCL18",7.30301330951691e-05,0.781708276654171,0.281,0.207,1,"Normal","CCL18"
"TBC1D12",7.32791187929996e-05,0.610288746782871,0.258,0.175,1,"Normal","TBC1D12"
"MAP2K5",7.32954811743089e-05,0.609736072295062,0.306,0.223,1,"Normal","MAP2K5"
"RUFY2",7.40608420656111e-05,0.769108205369125,0.368,0.292,1,"Normal","RUFY2"
"LRRFIP1",7.42366597390448e-05,0.204034601454603,0.791,0.77,1,"Normal","LRRFIP1"
"ECPAS",7.4778873866652e-05,0.750670030923874,0.336,0.257,1,"Normal","ECPAS"
"ZXDC",7.54985279266935e-05,0.837563038677398,0.276,0.2,1,"Normal","ZXDC"
"ZNF271P",7.82357538918014e-05,0.758625157827955,0.117,0.059,1,"Normal","ZNF271P"
"LYN",8.00098217728365e-05,0.53499703370428,0.434,0.367,1,"Normal","LYN"
"ESR1",8.03075642398557e-05,0.849272040581127,0.2,0.125,1,"Normal","ESR1"
"KCNE1B",8.03598149208749e-05,0.667648627483363,0.314,0.236,1,"Normal","KCNE1B"
"TTC19",8.06554122199106e-05,0.563584999562905,0.433,0.362,1,"Normal","TTC19"
"SLC11A1",8.12216561873629e-05,0.725157014578539,0.166,0.099,1,"Normal","SLC11A1"
"HEATR5A",8.2419572120906e-05,0.684076543231687,0.393,0.312,1,"Normal","HEATR5A"
"EMSY",8.2555753764267e-05,0.759621036903494,0.384,0.309,1,"Normal","EMSY"
"RTTN",8.30869719255115e-05,0.792649784258911,0.206,0.132,1,"Normal","RTTN"
"CCDC125",8.34748063958804e-05,0.379831361465174,0.556,0.519,1,"Normal","CCDC125"
"FKBP1C",8.41362836671384e-05,0.724967234822862,0.16,0.095,1,"Normal","FKBP1C"
"SLC22A15",8.41760268139594e-05,0.883506469154658,0.206,0.134,1,"Normal","SLC22A15"
"CTNNA3",8.64324127803652e-05,0.81297022784634,0.198,0.124,1,"Normal","CTNNA3"
"LOC101929709",8.68500844306125e-05,0.727134786615724,0.157,0.09,1,"Normal","LOC101929709"
"MAPK8",8.8038963328962e-05,0.6771991493479,0.352,0.274,1,"Normal","MAPK8"
"SLC25A27",8.81991860191509e-05,0.969397215076135,0.151,0.087,1,"Normal","SLC25A27"
"CDIN1",8.98306424480956e-05,0.792385524146898,0.128,0.068,1,"Normal","CDIN1"
"ACAD11",9.10041476822497e-05,0.746931545003874,0.225,0.15,1,"Normal","ACAD11"
"PDZD2",9.13694060860479e-05,0.693981370313603,0.216,0.141,1,"Normal","PDZD2"
"LDB2",9.22323477140641e-05,0.933353922318546,0.12,0.063,1,"Normal","LDB2"
"C14orf39",9.30360672807578e-05,0.810426766792601,0.133,0.072,1,"Normal","C14orf39"
"LINC01780",9.34466199526314e-05,0.729048337024801,0.116,0.058,1,"Normal","LINC01780"
"ARHGEF33",9.42993146594145e-05,0.714145481658573,0.204,0.129,1,"Normal","ARHGEF33"
"SCAF8",9.43749489770606e-05,0.631992720815164,0.393,0.315,1,"Normal","SCAF8"
"PBX3",9.48529247532613e-05,0.654866796978144,0.38,0.309,1,"Normal","PBX3"
"SLC25A13",9.54782706805465e-05,0.515264786553476,0.388,0.303,1,"Normal","SLC25A13"
"ZNF704",9.59090450817899e-05,0.786974959930647,0.347,0.279,1,"Normal","ZNF704"
"C6orf201",9.68244163724352e-05,0.916653560219917,0.203,0.132,1,"Normal","C6orf201"
"MYG1",9.71868375952342e-05,0.653816167373969,0.162,0.095,1,"Normal","MYG1"
"CROCCP2",9.80392418333834e-05,0.852976742011798,0.181,0.111,1,"Normal","CROCCP2"
"ABCA13",9.83342153585875e-05,0.394468793232123,0.65,0.598,1,"Normal","ABCA13"
"FER1L5",9.89320995509368e-05,0.891032503525271,0.144,0.082,1,"Normal","FER1L5"
"PIGU",9.95259578993e-05,0.614576582779653,0.391,0.316,1,"Normal","PIGU"
"LINC01695",9.98855520417432e-05,0.782958848065891,0.171,0.104,1,"Normal","LINC01695"
"LMTK2",9.99311978985445e-05,0.650254402336872,0.298,0.224,1,"Normal","LMTK2"
"SLC20A2",0.000100348756186379,0.379569137101773,0.585,0.539,1,"Normal","SLC20A2"
"NOMO3",0.000101493186720773,0.991241153706838,0.181,0.114,1,"Normal","NOMO3"
"INO80",0.000102920577302933,0.612628914213892,0.338,0.259,1,"Normal","INO80"
"GMDS",0.000103258256512901,0.355278665030335,0.502,0.437,1,"Normal","GMDS"
"PRXL2A",0.000103435752569059,0.566291962630864,0.193,0.118,1,"Normal","PRXL2A"
"LRATD1",0.000103563661339197,0.718306999699521,0.12,0.061,1,"Normal","LRATD1"
"ITGB3BP",0.000104758899393511,0.483784740610749,0.425,0.347,1,"Normal","ITGB3BP"
"CCDC102B",0.000105064860961558,1.02512999127863,0.124,0.065,1,"Normal","CCDC102B"
"CTC-338M12.4",0.000110178898537398,0.801173820075845,0.165,0.099,1,"Normal","CTC-338M12.4"
"RAPGEF1",0.000110380724734994,0.613455640596951,0.471,0.42,1,"Normal","RAPGEF1"
"ZC3H12B",0.000111185354790407,0.668613228874099,0.165,0.096,1,"Normal","ZC3H12B"
"VAV2",0.0001111904567657,0.699409525916015,0.138,0.076,1,"Normal","VAV2"
"SMAD3",0.000111275578666936,0.585569665815604,0.398,0.325,1,"Normal","SMAD3"
"PHACTR1",0.000111590760303801,0.781627080056383,0.141,0.078,1,"Normal","PHACTR1"
"NOXRED1",0.000112743260353826,0.926538438347185,0.154,0.09,1,"Normal","NOXRED1"
"POGZ",0.000113162786161855,0.57033648421481,0.485,0.431,1,"Normal","POGZ"
"H2BC6",0.00011420295376229,0.69837052587561,0.106,0.051,1,"Normal","H2BC6"
"STAG3L5P-PVRIG2P-PILRB",0.000114628465386075,0.66800352000883,0.181,0.109,1,"Normal","STAG3L5P-PVRIG2P-PILRB"
"EPB41L5",0.000115146160472889,0.689892181668486,0.247,0.172,1,"Normal","EPB41L5"
"OPHN1",0.000116085144375444,0.707706040260284,0.254,0.175,1,"Normal","OPHN1"
"PTPRS",0.000116608375758408,0.690532262916043,0.217,0.143,1,"Normal","PTPRS"
"PPP2R5C",0.000116668286398074,0.352970998127511,0.62,0.583,1,"Normal","PPP2R5C"
"JPX",0.000117630620702181,0.42929956896343,0.466,0.398,1,"Normal","JPX"
"KLHL28",0.000119623024986286,0.502750084417682,0.477,0.417,1,"Normal","KLHL28"
"ARMCX4",0.000120943273345538,0.754333076638215,0.238,0.164,1,"Normal","ARMCX4"
"CCZ1B",0.00012137679019489,0.557804880870311,0.403,0.324,1,"Normal","CCZ1B"
"RAB3D",0.000121504719172409,0.730365743505057,0.174,0.106,1,"Normal","RAB3D"
"NAA25",0.000121661763628653,0.646250777854865,0.361,0.284,1,"Normal","NAA25"
"MCC",0.000122415585189958,0.754305349162119,0.246,0.172,1,"Normal","MCC"
"LHFPL3",0.000123011721374967,0.623913757472559,0.217,0.14,1,"Normal","LHFPL3"
"LOC101929719",0.000123344567235953,0.801166513122625,0.103,0.05,1,"Normal","LOC101929719"
"SPAG9",0.000123441189774027,0.42388730408192,0.518,0.462,1,"Normal","SPAG9"
"KLC1",0.000123852766917179,0.496234427307596,0.463,0.394,1,"Normal","KLC1"
"RPL10P16",0.000123902042941147,0.47721826888162,0.266,0.178,1,"Normal","RPL10P16"
"TRMT2B",0.000125613817400696,1.00715802737539,0.197,0.129,1,"Normal","TRMT2B"
"ATE1",0.000125807817323097,0.758896489609462,0.315,0.241,1,"Normal","ATE1"
"KATNAL2",0.000126867918460214,0.574372696776552,0.436,0.369,1,"Normal","KATNAL2"
"LAMA4",0.000127247654666488,0.902938769071628,0.117,0.061,1,"Normal","LAMA4"
"FAAH2",0.000128062636531239,0.53099604485536,0.388,0.309,1,"Normal","FAAH2"
"MIR4435-2HG",0.000128726245116689,0.712751783613887,0.263,0.19,1,"Normal","MIR4435-2HG"
"GTF2IP12",0.000128978404793821,0.621007102588266,0.143,0.079,1,"Normal","GTF2IP12"
"STX8",0.000129543591189551,0.528082226445541,0.493,0.447,1,"Normal","STX8"
"MLLT3",0.000129561506590711,0.604585827649847,0.312,0.23,1,"Normal","MLLT3"
"FRS2",0.000132187182768554,0.742867518941806,0.216,0.143,1,"Normal","FRS2"
"ELOA-AS1",0.000132997233986908,0.861849719070988,0.176,0.109,1,"Normal","ELOA-AS1"
"SCN1A-AS1",0.000133215735766249,0.999068989191889,0.114,0.059,1,"Normal","SCN1A-AS1"
"RPL5P34",0.000133646490905521,0.641453308105158,0.13,0.07,1,"Normal","RPL5P34"
"HERC1",0.000133758376713626,0.682565954148911,0.303,0.225,1,"Normal","HERC1"
"NUP210L",0.000138491139497968,0.793784237155573,0.151,0.088,1,"Normal","NUP210L"
"LINC00535",0.000140872890787866,0.732877678040923,0.206,0.133,1,"Normal","LINC00535"
"LINC01982",0.000141006523304696,0.79101694461473,0.189,0.119,1,"Normal","LINC01982"
"FSIP2",0.000141088778817215,0.962838760969244,0.143,0.082,1,"Normal","FSIP2"
"TNS3",0.00014143299319945,0.608719428544411,0.382,0.316,1,"Normal","TNS3"
"CRIP1",0.000143337886566125,0.154830981012426,0.835,0.84,1,"Normal","CRIP1"
"GDA",0.000145443437777418,0.848390553893524,0.106,0.052,1,"Normal","GDA"
"STRADA",0.000145582175491161,0.642427263008975,0.269,0.19,1,"Normal","STRADA"
"FADS2",0.000145858070094649,0.934697772102567,0.1,0.049,1,"Normal","FADS2"
"CNTNAP3B",0.000148150110811276,0.682606983754697,0.344,0.266,1,"Normal","CNTNAP3B"
"RNASE4",0.000148728419795908,0.541697957950426,0.311,0.23,1,"Normal","RNASE4"
"STAU2",0.000149317723272284,0.621829667151327,0.352,0.275,1,"Normal","STAU2"
"MAP3K4",0.000149825197199176,0.72082957965342,0.323,0.252,1,"Normal","MAP3K4"
"FA2H",0.000149878008302031,0.826968897791283,0.235,0.165,1,"Normal","FA2H"
"PTPRD",0.000150176535122592,0.766977864207563,0.168,0.101,1,"Normal","PTPRD"
"LINC00937",0.00015060323970701,0.745209200092305,0.235,0.161,1,"Normal","LINC00937"
"LPAR1",0.000150938713925462,0.988306887378265,0.203,0.137,1,"Normal","LPAR1"
"PRSS12",0.000154303399861075,0.360855836112233,0.594,0.557,1,"Normal","PRSS12"
"VPS37B",0.000155100297481447,0.586651914795713,0.439,0.376,1,"Normal","VPS37B"
"ZNF235",0.000156166820821318,0.910119959922122,0.13,0.072,1,"Normal","ZNF235"
"PAM16",0.000156400761445162,0.610281227695362,0.279,0.196,1,"Normal","PAM16"
"RICTOR",0.000156741896995456,0.491089216459254,0.464,0.407,1,"Normal","RICTOR"
"ACOT11",0.00015696799488051,0.711222508851949,0.323,0.254,1,"Normal","ACOT11"
"SNX9",0.000157481219328977,0.680749620941759,0.319,0.243,1,"Normal","SNX9"
"MARCHF2",0.000159000690590162,0.731092156305601,0.128,0.069,1,"Normal","MARCHF2"
"DTX2",0.000160415893000123,0.342195530270203,0.531,0.46,1,"Normal","DTX2"
"PSMG4",0.000160719107214289,0.497842959054805,0.463,0.408,1,"Normal","PSMG4"
"STX18",0.000162294377396496,0.527482066723454,0.434,0.36,1,"Normal","STX18"
"ATP10A",0.000162407679562068,0.717350828819064,0.211,0.14,1,"Normal","ATP10A"
"STARD13",0.000163022633708086,0.777050207332031,0.222,0.15,1,"Normal","STARD13"
"ARHGEF7",0.000164172785051451,0.720331184097104,0.338,0.271,1,"Normal","ARHGEF7"
"SEC14L1",0.000164621936385466,0.349988430661803,0.582,0.547,1,"Normal","SEC14L1"
"CAPS2",0.000168054706013371,0.408283097267248,0.572,0.536,1,"Normal","CAPS2"
"AXDND1",0.000168364015481975,0.71263304900434,0.209,0.137,1,"Normal","AXDND1"
"FAM151B",0.000171432494537181,0.602949335118701,0.171,0.104,1,"Normal","FAM151B"
"CREBBP",0.000172176811686213,0.583474231540271,0.458,0.406,1,"Normal","CREBBP"
"LRP1B",0.000173327346078317,0.747562702831814,0.16,0.095,1,"Normal","LRP1B"
"ZNF717",0.000175671141857349,0.812162755683274,0.173,0.109,1,"Normal","ZNF717"
"UBE2G1",0.000175843993655755,0.479947985394176,0.493,0.443,1,"Normal","UBE2G1"
"DOCK10",0.000177007109294712,0.84088558038281,0.149,0.087,1,"Normal","DOCK10"
"PTPN14",0.000177134681033598,0.618859413346004,0.347,0.274,1,"Normal","PTPN14"
"SPAG1",0.000177386257903821,0.251928797968867,0.743,0.732,1,"Normal","SPAG1"
"PELI2",0.000177994508479331,0.672299034898508,0.319,0.242,1,"Normal","PELI2"
"CNTRL",0.000179377257020396,0.321600689191773,0.681,0.658,1,"Normal","CNTRL"
"AGBL1",0.000184997266295614,0.978034719087592,0.138,0.078,1,"Normal","AGBL1"
"DEPDC5",0.000186524504709273,0.699450829955355,0.201,0.129,1,"Normal","DEPDC5"
"SLC49A4",0.000187493783089369,0.919122260753291,0.158,0.096,1,"Normal","SLC49A4"
"EPC2",0.000190760447241698,0.767640293233512,0.285,0.219,1,"Normal","EPC2"
"MAP3K5",0.000191080580769164,0.546560210680748,0.32,0.242,1,"Normal","MAP3K5"
"CHD2",0.000191607028097767,0.414945429729307,0.545,0.507,1,"Normal","CHD2"
