"","aging","accession","counts"
"839","55~","GSM4058932",35
"840","unknown","GSM4058932",0
"841","<1","GSM4058933",0
"842","1~17","GSM4058933",0
"843","15","GSM4058933",0
"844","18~40","GSM4058933",0
"845","41~54","GSM4058933",0
"846","55~","GSM4058933",179
"847","unknown","GSM4058933",0
"848","<1","GSM4058934",0
"849","1~17","GSM4058934",0
"850","15","GSM4058934",0
"851","18~40","GSM4058934",0
"852","41~54","GSM4058934",0
"853","55~","GSM4058934",72
"854","unknown","GSM4058934",0
"855","<1","GSM4058935",0
"856","1~17","GSM4058935",0
"857","15","GSM4058935",0
"858","18~40","GSM4058935",0
"859","41~54","GSM4058935",0
"860","55~","GSM4058935",119
"861","unknown","GSM4058935",0
"862","<1","GSM4058936",0
"863","1~17","GSM4058936",0
"864","15","GSM4058936",0
"865","18~40","GSM4058936",0
"866","41~54","GSM4058936",0
"867","55~","GSM4058936",28
"868","unknown","GSM4058936",0
"869","<1","GSM4058937",0
"870","1~17","GSM4058937",0
"871","15","GSM4058937",0
"872","18~40","GSM4058937",0
"873","41~54","GSM4058937",0
"874","55~","GSM4058937",65
"875","unknown","GSM4058937",0
"876","<1","GSM4058938",0
"877","1~17","GSM4058938",0
"878","15","GSM4058938",0
"879","18~40","GSM4058938",0
"880","41~54","GSM4058938",0
"881","55~","GSM4058938",57
"882","unknown","GSM4058938",0
"883","<1","GSM4058939",0
"884","1~17","GSM4058939",0
"885","15","GSM4058939",0
"886","18~40","GSM4058939",0
"887","41~54","GSM4058939",0
"888","55~","GSM4058939",112
"889","unknown","GSM4058939",0
"890","<1","GSM4058940",0
"891","1~17","GSM4058940",0
"892","15","GSM4058940",0
"893","18~40","GSM4058940",0
"894","41~54","GSM4058940",0
"895","55~","GSM4058940",149
"896","unknown","GSM4058940",0
"897","<1","GSM4058941",0
"898","1~17","GSM4058941",0
"899","15","GSM4058941",0
"900","18~40","GSM4058941",0
"901","41~54","GSM4058941",0
"902","55~","GSM4058941",47
"903","unknown","GSM4058941",0
"904","<1","GSM4058942",0
"905","1~17","GSM4058942",0
"906","15","GSM4058942",0
"907","18~40","GSM4058942",0
"908","41~54","GSM4058942",0
"909","55~","GSM4058942",16
"910","unknown","GSM4058942",0
"911","<1","GSM4058947",0
"912","1~17","GSM4058947",0
"913","15","GSM4058947",0
"914","18~40","GSM4058947",0
"915","41~54","GSM4058947",0
"916","55~","GSM4058947",66
"917","unknown","GSM4058947",0
"918","<1","GSM4058949",0
"919","1~17","GSM4058949",0
"920","15","GSM4058949",0
"921","18~40","GSM4058949",0
"922","41~54","GSM4058949",0
"923","55~","GSM4058949",116
"924","unknown","GSM4058949",0
"925","<1","GSM4058953",0
"926","1~17","GSM4058953",0
"927","15","GSM4058953",0
"928","18~40","GSM4058953",0
"929","41~54","GSM4058953",0
"930","55~","GSM4058953",182
"931","unknown","GSM4058953",0
"932","<1","GSM4058956",0
"933","1~17","GSM4058956",0
"934","15","GSM4058956",0
"935","18~40","GSM4058956",0
"936","41~54","GSM4058956",0
"937","55~","GSM4058956",81
"938","unknown","GSM4058956",0
"939","<1","GSM4058957",0
"940","1~17","GSM4058957",0
"941","15","GSM4058957",0
"942","18~40","GSM4058957",0
"943","41~54","GSM4058957",0
"944","55~","GSM4058957",118
"945","unknown","GSM4058957",0
"946","<1","GSM4058962",0
"947","1~17","GSM4058962",0
"948","15","GSM4058962",0
"949","18~40","GSM4058962",0
"950","41~54","GSM4058962",0
"951","55~","GSM4058962",87
"952","unknown","GSM4058962",0
"953","<1","GSM4058963",0
"954","1~17","GSM4058963",0
"955","15","GSM4058963",0
"956","18~40","GSM4058963",0
"957","41~54","GSM4058963",0
"958","55~","GSM4058963",7
"959","unknown","GSM4058963",0
"960","<1","GSM4058971",0
"961","1~17","GSM4058971",0
"962","15","GSM4058971",0
"963","18~40","GSM4058971",0
"964","41~54","GSM4058971",0
"965","55~","GSM4058971",114
"966","unknown","GSM4058971",0
"967","<1","GSM4058973",0
"968","1~17","GSM4058973",0
"969","15","GSM4058973",0
"970","18~40","GSM4058973",0
"971","41~54","GSM4058973",0
"972","55~","GSM4058973",37
"973","unknown","GSM4058973",0
"974","<1","GSM4058975",0
"975","1~17","GSM4058975",0
"976","15","GSM4058975",0
"977","18~40","GSM4058975",0
"978","41~54","GSM4058975",0
"979","55~","GSM4058975",103
"980","unknown","GSM4058975",0
"981","<1","GSM4058976",0
"982","1~17","GSM4058976",0
"983","15","GSM4058976",0
"984","18~40","GSM4058976",0
"985","41~54","GSM4058976",0
"986","55~","GSM4058976",45
"987","unknown","GSM4058976",0
"988","<1","GSM4058977",0
"989","1~17","GSM4058977",0
"990","15","GSM4058977",0
"991","18~40","GSM4058977",0
"992","41~54","GSM4058977",0
"993","55~","GSM4058977",206
"994","unknown","GSM4058977",0
"995","<1","GSM4065876",0
"996","1~17","GSM4065876",8
"997","15","GSM4065876",0
"998","18~40","GSM4065876",0
"999","41~54","GSM4065876",0
"1000","55~","GSM4065876",0
"1001","unknown","GSM4065876",0
"1002","<1","GSM4065877",0
"1003","1~17","GSM4065877",9
"1004","15","GSM4065877",0
"1005","18~40","GSM4065877",0
"1006","41~54","GSM4065877",0
"1007","55~","GSM4065877",0
"1008","unknown","GSM4065877",0
"1009","<1","GSM4065878",0
"1010","1~17","GSM4065878",0
"1011","15","GSM4065878",0
"1012","18~40","GSM4065878",30
"1013","41~54","GSM4065878",0
"1014","55~","GSM4065878",0
"1015","unknown","GSM4065878",0
"1016","<1","GSM4065879",0
"1017","1~17","GSM4065879",0
"1018","15","GSM4065879",0
"1019","18~40","GSM4065879",22
"1020","41~54","GSM4065879",0
"1021","55~","GSM4065879",0
"1022","unknown","GSM4065879",0
"1023","<1","GSM4143262",0
"1024","1~17","GSM4143262",0
"1025","15","GSM4143262",0
"1026","18~40","GSM4143262",0
"1027","41~54","GSM4143262",0
"1028","55~","GSM4143262",142
"1029","unknown","GSM4143262",0
"1030","<1","GSM4143263",0
"1031","1~17","GSM4143263",0
"1032","15","GSM4143263",0
"1033","18~40","GSM4143263",0
"1034","41~54","GSM4143263",0
"1035","55~","GSM4143263",123
"1036","unknown","GSM4143263",0
"1037","<1","GSM4143656",0
"1038","1~17","GSM4143656",0
"1039","15","GSM4143656",0
"1040","18~40","GSM4143656",0
"1041","41~54","GSM4143656",0
"1042","55~","GSM4143656",0
"1043","unknown","GSM4143656",11
"1044","<1","GSM4143658",0
"1045","1~17","GSM4143658",0
"1046","15","GSM4143658",0
"1047","18~40","GSM4143658",0
"1048","41~54","GSM4143658",0
"1049","55~","GSM4143658",0
"1050","unknown","GSM4143658",13
"1051","<1","GSM4143660",0
"1052","1~17","GSM4143660",0
"1053","15","GSM4143660",0
"1054","18~40","GSM4143660",0
"1055","41~54","GSM4143660",0
"1056","55~","GSM4143660",0
"1057","unknown","GSM4143660",57
"1058","<1","GSM4143662",0
"1059","1~17","GSM4143662",0
"1060","15","GSM4143662",0
"1061","18~40","GSM4143662",0
"1062","41~54","GSM4143662",0
"1063","55~","GSM4143662",0
"1064","unknown","GSM4143662",2
"1065","<1","GSM4143664",0
"1066","1~17","GSM4143664",0
"1067","15","GSM4143664",0
"1068","18~40","GSM4143664",0
"1069","41~54","GSM4143664",0
"1070","55~","GSM4143664",0
"1071","unknown","GSM4143664",46
"1072","<1","GSM4143666",0
"1073","1~17","GSM4143666",0
"1074","15","GSM4143666",0
"1075","18~40","GSM4143666",0
"1076","41~54","GSM4143666",0
"1077","55~","GSM4143666",0
"1078","unknown","GSM4143666",55
"1079","<1","GSM4321402",0
"1080","1~17","GSM4321402",0
"1081","15","GSM4321402",0
"1082","18~40","GSM4321402",0
"1083","41~54","GSM4321402",25
"1084","55~","GSM4321402",0
"1085","unknown","GSM4321402",0
"1086","<1","GSM4321403",0
"1087","1~17","GSM4321403",0
"1088","15","GSM4321403",0
"1089","18~40","GSM4321403",0
"1090","41~54","GSM4321403",15
"1091","55~","GSM4321403",0
"1092","unknown","GSM4321403",0
"1093","<1","GSM4321404",0
"1094","1~17","GSM4321404",0
"1095","15","GSM4321404",0
"1096","18~40","GSM4321404",0
"1097","41~54","GSM4321404",26
"1098","55~","GSM4321404",0
"1099","unknown","GSM4321404",0
"1100","<1","GSM4321405",0
"1101","1~17","GSM4321405",0
"1102","15","GSM4321405",0
"1103","18~40","GSM4321405",0
"1104","41~54","GSM4321405",8
"1105","55~","GSM4321405",0
"1106","unknown","GSM4321405",0
"1107","<1","GSM4544005",0
"1108","1~17","GSM4544005",0
"1109","15","GSM4544005",0
"1110","18~40","GSM4544005",0
"1111","41~54","GSM4544005",0
"1112","55~","GSM4544005",0
"1113","unknown","GSM4544005",40
"1114","<1","GSM4544006",0
"1115","1~17","GSM4544006",0
"1116","15","GSM4544006",0
"1117","18~40","GSM4544006",0
"1118","41~54","GSM4544006",0
"1119","55~","GSM4544006",0
"1120","unknown","GSM4544006",43
"1121","<1","GSM4544007",0
"1122","1~17","GSM4544007",0
"1123","15","GSM4544007",0
"1124","18~40","GSM4544007",0
"1125","41~54","GSM4544007",0
"1126","55~","GSM4544007",0
"1127","unknown","GSM4544007",57
"1128","<1","GSM4763859",0
"1129","1~17","GSM4763859",0
"1130","15","GSM4763859",0
"1131","18~40","GSM4763859",0
"1132","41~54","GSM4763859",0
"1133","55~","GSM4763859",0
"1134","unknown","GSM4763859",14
"1135","<1","GSM4763860",0
"1136","1~17","GSM4763860",0
"1137","15","GSM4763860",0
"1138","18~40","GSM4763860",0
"1139","41~54","GSM4763860",0
"1140","55~","GSM4763860",0
"1141","unknown","GSM4763860",9
"1142","<1","GSM4763861",0
"1143","1~17","GSM4763861",0
"1144","15","GSM4763861",0
"1145","18~40","GSM4763861",0
"1146","41~54","GSM4763861",0
"1147","55~","GSM4763861",0
"1148","unknown","GSM4763861",4
"1149","<1","GSM4763862",0
"1150","1~17","GSM4763862",0
"1151","15","GSM4763862",0
"1152","18~40","GSM4763862",0
"1153","41~54","GSM4763862",0
"1154","55~","GSM4763862",0
"1155","unknown","GSM4763862",1
"1156","<1","GSM4763863",0
"1157","1~17","GSM4763863",0
"1158","15","GSM4763863",0
"1159","18~40","GSM4763863",0
"1160","41~54","GSM4763863",0
"1161","55~","GSM4763863",0
"1162","unknown","GSM4763863",4
"1163","<1","GSM4816089",0
"1164","1~17","GSM4816089",0
"1165","15","GSM4816089",0
"1166","18~40","GSM4816089",0
"1167","41~54","GSM4816089",0
"1168","55~","GSM4816089",0
"1169","unknown","GSM4816089",141
"1170","<1","GSM4876617",0
"1171","1~17","GSM4876617",0
"1172","15","GSM4876617",0
"1173","18~40","GSM4876617",15
"1174","41~54","GSM4876617",0
"1175","55~","GSM4876617",0
"1176","unknown","GSM4876617",0
"1177","<1","GSM4876620",0
"1178","1~17","GSM4876620",0
"1179","15","GSM4876620",0
"1180","18~40","GSM4876620",0
"1181","41~54","GSM4876620",0
"1182","55~","GSM4876620",13
"1183","unknown","GSM4876620",0
"1184","<1","GSM5100998",0
"1185","1~17","GSM5100998",0
"1186","15","GSM5100998",0
"1187","18~40","GSM5100998",0
"1188","41~54","GSM5100998",0
"1189","55~","GSM5100998",0
"1190","unknown","GSM5100998",152
"1191","<1","GSM5100999",0
"1192","1~17","GSM5100999",0
"1193","15","GSM5100999",0
"1194","18~40","GSM5100999",0
"1195","41~54","GSM5100999",0
"1196","55~","GSM5100999",0
"1197","unknown","GSM5100999",82
"1198","<1","GSM5101000",0
"1199","1~17","GSM5101000",0
"1200","15","GSM5101000",0
"1201","18~40","GSM5101000",0
"1202","41~54","GSM5101000",0
"1203","55~","GSM5101000",0
"1204","unknown","GSM5101000",78
"1205","<1","GSM5133588",0
"1206","1~17","GSM5133588",0
"1207","15","GSM5133588",0
"1208","18~40","GSM5133588",0
"1209","41~54","GSM5133588",0
"1210","55~","GSM5133588",339
"1211","unknown","GSM5133588",0
"1212","<1","GSM5133589",0
"1213","1~17","GSM5133589",0
"1214","15","GSM5133589",0
"1215","18~40","GSM5133589",0
"1216","41~54","GSM5133589",0
"1217","55~","GSM5133589",328
"1218","unknown","GSM5133589",0
"1219","<1","GSM5133590",0
"1220","1~17","GSM5133590",0
"1221","15","GSM5133590",0
"1222","18~40","GSM5133590",0
"1223","41~54","GSM5133590",0
"1224","55~","GSM5133590",178
"1225","unknown","GSM5133590",0
"1226","<1","GSM5133591",0
"1227","1~17","GSM5133591",0
"1228","15","GSM5133591",0
"1229","18~40","GSM5133591",0
"1230","41~54","GSM5133591",0
"1231","55~","GSM5133591",153
"1232","unknown","GSM5133591",0
"1233","<1","GSM5133592",0
"1234","1~17","GSM5133592",0
"1235","15","GSM5133592",0
"1236","18~40","GSM5133592",0
"1237","41~54","GSM5133592",0
"1238","55~","GSM5133592",153
"1239","unknown","GSM5133592",0
"1240","<1","GSM5133593",0
"1241","1~17","GSM5133593",0
"1242","15","GSM5133593",0
"1243","18~40","GSM5133593",0
"1244","41~54","GSM5133593",0
"1245","55~","GSM5133593",95
"1246","unknown","GSM5133593",0
"1247","<1","GSM5133594",0
"1248","1~17","GSM5133594",0
"1249","15","GSM5133594",0
"1250","18~40","GSM5133594",0
"1251","41~54","GSM5133594",0
"1252","55~","GSM5133594",221
"1253","unknown","GSM5133594",0
"1254","<1","GSM5133595",0
"1255","1~17","GSM5133595",0
"1256","15","GSM5133595",0
"1257","18~40","GSM5133595",0
"1258","41~54","GSM5133595",105
"1259","55~","GSM5133595",0
"1260","unknown","GSM5133595",0
"1261","<1","GSM5133596",0
"1262","1~17","GSM5133596",0
"1263","15","GSM5133596",0
"1264","18~40","GSM5133596",0
"1265","41~54","GSM5133596",68
"1266","55~","GSM5133596",0
"1267","unknown","GSM5133596",0
"1268","<1","GSM5133597",0
"1269","1~17","GSM5133597",0
"1270","15","GSM5133597",0
"1271","18~40","GSM5133597",67
"1272","41~54","GSM5133597",0
"1273","55~","GSM5133597",0
"1274","unknown","GSM5133597",0
"1275","<1","GSM5133598",0
"1276","1~17","GSM5133598",0
"1277","15","GSM5133598",0
"1278","18~40","GSM5133598",63
"1279","41~54","GSM5133598",0
"1280","55~","GSM5133598",0
"1281","unknown","GSM5133598",0
"1282","<1","GSM5133599",0
"1283","1~17","GSM5133599",0
"1284","15","GSM5133599",0
"1285","18~40","GSM5133599",0
"1286","41~54","GSM5133599",0
"1287","55~","GSM5133599",105
"1288","unknown","GSM5133599",0
"1289","<1","GSM5133600",0
"1290","1~17","GSM5133600",0
"1291","15","GSM5133600",0
"1292","18~40","GSM5133600",0
"1293","41~54","GSM5133600",0
"1294","55~","GSM5133600",93
"1295","unknown","GSM5133600",0
"1296","<1","GSM5133601",0
"1297","1~17","GSM5133601",0
"1298","15","GSM5133601",0
"1299","18~40","GSM5133601",0
"1300","41~54","GSM5133601",0
"1301","55~","GSM5133601",71
"1302","unknown","GSM5133601",0
"1303","<1","GSM5133602",0
"1304","1~17","GSM5133602",0
"1305","15","GSM5133602",0
"1306","18~40","GSM5133602",0
"1307","41~54","GSM5133602",0
"1308","55~","GSM5133602",83
"1309","unknown","GSM5133602",0
"1310","<1","GSM5133603",0
"1311","1~17","GSM5133603",0
"1312","15","GSM5133603",0
"1313","18~40","GSM5133603",71
"1314","41~54","GSM5133603",0
"1315","55~","GSM5133603",0
"1316","unknown","GSM5133603",0
"1317","<1","GSM5133604",0
"1318","1~17","GSM5133604",0
"1319","15","GSM5133604",0
"1320","18~40","GSM5133604",123
"1321","41~54","GSM5133604",0
"1322","55~","GSM5133604",0
"1323","unknown","GSM5133604",0
"1324","<1","GSM5133605",0
"1325","1~17","GSM5133605",0
"1326","15","GSM5133605",0
"1327","18~40","GSM5133605",0
"1328","41~54","GSM5133605",87
"1329","55~","GSM5133605",0
"1330","unknown","GSM5133605",0
"1331","<1","GSM5133606",0
"1332","1~17","GSM5133606",0
"1333","15","GSM5133606",0
"1334","18~40","GSM5133606",0
"1335","41~54","GSM5133606",117
"1336","55~","GSM5133606",0
"1337","unknown","GSM5133606",0
"1338","<1","GSM5206782",0
"1339","1~17","GSM5206782",0
"1340","15","GSM5206782",0
"1341","18~40","GSM5206782",0
"1342","41~54","GSM5206782",0
"1343","55~","GSM5206782",8
"1344","unknown","GSM5206782",0
"1345","<1","GSM5206783",0
"1346","1~17","GSM5206783",0
"1347","15","GSM5206783",0
"1348","18~40","GSM5206783",0
"1349","41~54","GSM5206783",0
"1350","55~","GSM5206783",7
"1351","unknown","GSM5206783",0
"1352","<1","GSM5206784",0
"1353","1~17","GSM5206784",0
"1354","15","GSM5206784",0
"1355","18~40","GSM5206784",0
"1356","41~54","GSM5206784",0
"1357","55~","GSM5206784",11
"1358","unknown","GSM5206784",0
"1359","<1","GSM5226574",0
"1360","1~17","GSM5226574",0
"1361","15","GSM5226574",0
"1362","18~40","GSM5226574",0
"1363","41~54","GSM5226574",0
"1364","55~","GSM5226574",59
"1365","unknown","GSM5226574",0
"1366","<1","GSM5226575",0
"1367","1~17","GSM5226575",0
"1368","15","GSM5226575",0
"1369","18~40","GSM5226575",0
"1370","41~54","GSM5226575",0
"1371","55~","GSM5226575",40
"1372","unknown","GSM5226575",0
"1373","<1","GSM5226576",0
"1374","1~17","GSM5226576",0
"1375","15","GSM5226576",0
"1376","18~40","GSM5226576",0
"1377","41~54","GSM5226576",0
"1378","55~","GSM5226576",84
"1379","unknown","GSM5226576",0
"1380","<1","GSM5226577",0
"1381","1~17","GSM5226577",0
"1382","15","GSM5226577",0
"1383","18~40","GSM5226577",0
"1384","41~54","GSM5226577",0
"1385","55~","GSM5226577",31
"1386","unknown","GSM5226577",0
"1387","<1","GSM5226578",0
"1388","1~17","GSM5226578",0
"1389","15","GSM5226578",0
"1390","18~40","GSM5226578",0
"1391","41~54","GSM5226578",0
"1392","55~","GSM5226578",39
"1393","unknown","GSM5226578",0
"1394","<1","GSM5226579",0
"1395","1~17","GSM5226579",0
"1396","15","GSM5226579",0
"1397","18~40","GSM5226579",0
"1398","41~54","GSM5226579",0
"1399","55~","GSM5226579",17
"1400","unknown","GSM5226579",0
"1401","<1","GSM5226580",0
"1402","1~17","GSM5226580",0
"1403","15","GSM5226580",0
"1404","18~40","GSM5226580",0
"1405","41~54","GSM5226580",0
"1406","55~","GSM5226580",36
"1407","unknown","GSM5226580",0
"1408","<1","GSM5282537",0
"1409","1~17","GSM5282537",0
"1410","15","GSM5282537",0
"1411","18~40","GSM5282537",0
"1412","41~54","GSM5282537",0
"1413","55~","GSM5282537",424
"1414","unknown","GSM5282537",0
"1415","<1","GSM5282538",0
"1416","1~17","GSM5282538",0
"1417","15","GSM5282538",0
"1418","18~40","GSM5282538",0
"1419","41~54","GSM5282538",0
"1420","55~","GSM5282538",79
"1421","unknown","GSM5282538",0
"1422","<1","GSM5282539",0
"1423","1~17","GSM5282539",0
"1424","15","GSM5282539",0
"1425","18~40","GSM5282539",0
"1426","41~54","GSM5282539",0
"1427","55~","GSM5282539",104
"1428","unknown","GSM5282539",0
"1429","<1","GSM5282540",0
"1430","1~17","GSM5282540",0
"1431","15","GSM5282540",0
"1432","18~40","GSM5282540",0
"1433","41~54","GSM5282540",0
"1434","55~","GSM5282540",85
"1435","unknown","GSM5282540",0
"1436","<1","GSM5282541",0
"1437","1~17","GSM5282541",0
"1438","15","GSM5282541",0
"1439","18~40","GSM5282541",0
"1440","41~54","GSM5282541",0
"1441","55~","GSM5282541",134
"1442","unknown","GSM5282541",0
"1443","<1","GSM5282542",0
"1444","1~17","GSM5282542",0
"1445","15","GSM5282542",0
"1446","18~40","GSM5282542",0
"1447","41~54","GSM5282542",0
"1448","55~","GSM5282542",42
"1449","unknown","GSM5282542",0
"1450","<1","GSM5282543",0
"1451","1~17","GSM5282543",0
"1452","15","GSM5282543",0
"1453","18~40","GSM5282543",0
"1454","41~54","GSM5282543",7
"1455","55~","GSM5282543",0
"1456","unknown","GSM5282543",0
"1457","<1","GSM5282544",0
"1458","1~17","GSM5282544",0
"1459","15","GSM5282544",0
"1460","18~40","GSM5282544",0
"1461","41~54","GSM5282544",0
"1462","55~","GSM5282544",125
"1463","unknown","GSM5282544",0
"1464","<1","GSM5282545",0
"1465","1~17","GSM5282545",0
"1466","15","GSM5282545",0
"1467","18~40","GSM5282545",0
"1468","41~54","GSM5282545",0
"1469","55~","GSM5282545",202
"1470","unknown","GSM5282545",0
"1471","<1","GSM5282546",0
"1472","1~17","GSM5282546",0
"1473","15","GSM5282546",0
"1474","18~40","GSM5282546",0
"1475","41~54","GSM5282546",0
"1476","55~","GSM5282546",49
"1477","unknown","GSM5282546",0
"1478","<1","GSM5282547",0
"1479","1~17","GSM5282547",0
"1480","15","GSM5282547",0
"1481","18~40","GSM5282547",0
"1482","41~54","GSM5282547",0
"1483","55~","GSM5282547",67
"1484","unknown","GSM5282547",0
"1485","<1","GSM5282548",0
"1486","1~17","GSM5282548",0
"1487","15","GSM5282548",0
"1488","18~40","GSM5282548",69
"1489","41~54","GSM5282548",0
"1490","55~","GSM5282548",0
"1491","unknown","GSM5282548",0
"1492","<1","GSM5501481",0
"1493","1~17","GSM5501481",0
"1494","15","GSM5501481",0
"1495","18~40","GSM5501481",0
"1496","41~54","GSM5501481",0
"1497","55~","GSM5501481",0
"1498","unknown","GSM5501481",119
"1499","<1","GSM5501482",0
"1500","1~17","GSM5501482",0
"1501","15","GSM5501482",0
"1502","18~40","GSM5501482",0
"1503","41~54","GSM5501482",0
"1504","55~","GSM5501482",0
"1505","unknown","GSM5501482",22
"1506","<1","GSM5870246",0
"1507","1~17","GSM5870246",0
"1508","15","GSM5870246",0
"1509","18~40","GSM5870246",0
"1510","41~54","GSM5870246",0
"1511","55~","GSM5870246",0
"1512","unknown","GSM5870246",81
"1513","<1","GSM5870247",0
"1514","1~17","GSM5870247",0
"1515","15","GSM5870247",0
"1516","18~40","GSM5870247",0
"1517","41~54","GSM5870247",0
"1518","55~","GSM5870247",0
"1519","unknown","GSM5870247",11
"1520","<1","GSM5870248",0
"1521","1~17","GSM5870248",0
"1522","15","GSM5870248",0
"1523","18~40","GSM5870248",0
"1524","41~54","GSM5870248",0
"1525","55~","GSM5870248",0
"1526","unknown","GSM5870248",104
"1527","<1","GSM5870249",0
"1528","1~17","GSM5870249",0
"1529","15","GSM5870249",0
"1530","18~40","GSM5870249",0
"1531","41~54","GSM5870249",0
"1532","55~","GSM5870249",0
"1533","unknown","GSM5870249",21
"1534","<1","GSM5870251",0
"1535","1~17","GSM5870251",0
"1536","15","GSM5870251",0
"1537","18~40","GSM5870251",0
"1538","41~54","GSM5870251",0
"1539","55~","GSM5870251",0
"1540","unknown","GSM5870251",38
"1541","<1","GSM5870252",0
"1542","1~17","GSM5870252",0
"1543","15","GSM5870252",0
"1544","18~40","GSM5870252",0
"1545","41~54","GSM5870252",0
"1546","55~","GSM5870252",0
"1547","unknown","GSM5870252",18
"1548","<1","GSM5870253",0
"1549","1~17","GSM5870253",0
"1550","15","GSM5870253",0
"1551","18~40","GSM5870253",0
"1552","41~54","GSM5870253",0
"1553","55~","GSM5870253",0
"1554","unknown","GSM5870253",48
"1555","<1","GSM5870254",0
"1556","1~17","GSM5870254",0
"1557","15","GSM5870254",0
"1558","18~40","GSM5870254",0
"1559","41~54","GSM5870254",0
"1560","55~","GSM5870254",0
"1561","unknown","GSM5870254",24
"1562","<1","GSM5870255",0
"1563","1~17","GSM5870255",0
"1564","15","GSM5870255",0
"1565","18~40","GSM5870255",0
"1566","41~54","GSM5870255",0
"1567","55~","GSM5870255",0
"1568","unknown","GSM5870255",45
"1569","<1","GSM5870257",0
"1570","1~17","GSM5870257",0
"1571","15","GSM5870257",0
"1572","18~40","GSM5870257",0
"1573","41~54","GSM5870257",0
"1574","55~","GSM5870257",0
"1575","unknown","GSM5870257",25
"1576","<1","GSM5873135",0
"1577","1~17","GSM5873135",0
"1578","15","GSM5873135",0
"1579","18~40","GSM5873135",0
"1580","41~54","GSM5873135",0
"1581","55~","GSM5873135",0
"1582","unknown","GSM5873135",272
"1583","<1","GSM5873136",0
"1584","1~17","GSM5873136",0
"1585","15","GSM5873136",0
"1586","18~40","GSM5873136",0
"1587","41~54","GSM5873136",0
"1588","55~","GSM5873136",0
"1589","unknown","GSM5873136",145
"1590","<1","GSM5873137",0
"1591","1~17","GSM5873137",0
"1592","15","GSM5873137",0
"1593","18~40","GSM5873137",0
"1594","41~54","GSM5873137",0
"1595","55~","GSM5873137",0
"1596","unknown","GSM5873137",418
"1597","<1","GSM5873138",0
"1598","1~17","GSM5873138",0
"1599","15","GSM5873138",0
"1600","18~40","GSM5873138",0
"1601","41~54","GSM5873138",0
"1602","55~","GSM5873138",0
"1603","unknown","GSM5873138",60
"1604","<1","GSM5873139",0
"1605","1~17","GSM5873139",0
"1606","15","GSM5873139",0
"1607","18~40","GSM5873139",0
"1608","41~54","GSM5873139",0
"1609","55~","GSM5873139",0
"1610","unknown","GSM5873139",119
"1611","<1","GSM5873140",0
"1612","1~17","GSM5873140",0
"1613","15","GSM5873140",0
"1614","18~40","GSM5873140",0
"1615","41~54","GSM5873140",0
"1616","55~","GSM5873140",0
"1617","unknown","GSM5873140",497
"1618","<1","GSM5873141",0
"1619","1~17","GSM5873141",0
"1620","15","GSM5873141",0
"1621","18~40","GSM5873141",0
"1622","41~54","GSM5873141",0
"1623","55~","GSM5873141",0
"1624","unknown","GSM5873141",234
"1625","<1","GSM5873142",0
"1626","1~17","GSM5873142",0
"1627","15","GSM5873142",0
"1628","18~40","GSM5873142",0
"1629","41~54","GSM5873142",0
"1630","55~","GSM5873142",0
"1631","unknown","GSM5873142",2460
"1632","<1","GSM5873143",0
"1633","1~17","GSM5873143",0
"1634","15","GSM5873143",0
"1635","18~40","GSM5873143",0
"1636","41~54","GSM5873143",0
"1637","55~","GSM5873143",0
"1638","unknown","GSM5873143",280
"1639","<1","GSM5873144",0
"1640","1~17","GSM5873144",0
"1641","15","GSM5873144",0
"1642","18~40","GSM5873144",0
"1643","41~54","GSM5873144",0
"1644","55~","GSM5873144",0
"1645","unknown","GSM5873144",42
"1646","<1","GSM5873145",0
"1647","1~17","GSM5873145",0
"1648","15","GSM5873145",0
"1649","18~40","GSM5873145",0
"1650","41~54","GSM5873145",0
"1651","55~","GSM5873145",0
"1652","unknown","GSM5873145",256
"1653","<1","GSM5873146",0
"1654","1~17","GSM5873146",0
"1655","15","GSM5873146",0
"1656","18~40","GSM5873146",0
"1657","41~54","GSM5873146",0
"1658","55~","GSM5873146",0
"1659","unknown","GSM5873146",224
"1660","<1","GSM7103257",0
"1661","1~17","GSM7103257",0
"1662","15","GSM7103257",0
"1663","18~40","GSM7103257",0
"1664","41~54","GSM7103257",7
"1665","55~","GSM7103257",0
"1666","unknown","GSM7103257",0
"1667","<1","GSM7103264",0
"1668","1~17","GSM7103264",0
"1669","15","GSM7103264",0
"1670","18~40","GSM7103264",0
"1671","41~54","GSM7103264",0
"1672","55~","GSM7103264",19
"1673","unknown","GSM7103264",0
"1674","<1","GSM7103271",0
"1675","1~17","GSM7103271",0
"1676","15","GSM7103271",0
"1677","18~40","GSM7103271",0
"1678","41~54","GSM7103271",0
"1679","55~","GSM7103271",7
"1680","unknown","GSM7103271",0
"1681","<1","GSM7103275",0
"1682","1~17","GSM7103275",0
"1683","15","GSM7103275",0
"1684","18~40","GSM7103275",0
"1685","41~54","GSM7103275",0
"1686","55~","GSM7103275",31
"1687","unknown","GSM7103275",0
"1688","<1","GSM7103276",0
"1689","1~17","GSM7103276",0
"1690","15","GSM7103276",0
"1691","18~40","GSM7103276",0
"1692","41~54","GSM7103276",0
"1693","55~","GSM7103276",67
"1694","unknown","GSM7103276",0
"1695","<1","GSM7103277",0
"1696","1~17","GSM7103277",0
"1697","15","GSM7103277",0
"1698","18~40","GSM7103277",0
"1699","41~54","GSM7103277",0
