"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"MRPS16",4.88334971691154e-05,1.74075384361069,0.265,0.095,1,"COPD","MRPS16"
"BUD31",4.94953696203741e-05,1.04197259048156,0.3,0.117,1,"COPD","BUD31"
"AC010642.2",4.9677784046964e-05,1.72045686809753,0.154,0.022,1,"COPD","AC010642.2"
"IFRD2",5.15438892607409e-05,1.39567056303569,0.241,0.073,1,"COPD","IFRD2"
"SMIM14",5.16117193950524e-05,0.84230500280441,0.569,0.387,1,"COPD","SMIM14"
"RPL38",5.18515859075225e-05,0.43414058844732,0.862,0.745,1,"COPD","RPL38"
"UQCRH",5.31558991354384e-05,0.732651936304989,0.652,0.46,1,"COPD","UQCRH"
"NDUFB11",5.37318075157941e-05,0.788146394437355,0.632,0.438,1,"COPD","NDUFB11"
"RAB5IF",5.38744232557397e-05,1.52280769886548,0.225,0.066,1,"COPD","RAB5IF"
"PSME2",5.45977932076362e-05,0.917757562622825,0.498,0.307,1,"COPD","PSME2"
"F3",5.51230966187143e-05,0.801450197591143,0.569,0.358,1,"COPD","F3"
"PFN1",5.51827168111092e-05,0.667167031895808,0.739,0.547,1,"COPD","PFN1"
"ATP5H",5.53813097625995e-05,3.52325332366245,0.111,0,1,"COPD","ATP5H"
"C14orf2",5.53813097625995e-05,3.21638633631387,0.111,0,1,"COPD","C14orf2"
"GLTSCR2",5.53813097625995e-05,3.1773605484485,0.111,0,1,"COPD","GLTSCR2"
"ATP5D",5.53813097625995e-05,3.13120922310433,0.111,0,1,"COPD","ATP5D"
"MMADHC",5.56165188963208e-05,0.981037382808601,0.368,0.175,1,"COPD","MMADHC"
"MSMB",5.61672361369055e-05,2.09277557958923,0.36,0.182,1,"COPD","MSMB"
"COX4I1",5.64726145817132e-05,0.65418628996795,0.735,0.591,1,"COPD","COX4I1"
"RAB14",5.67368388937918e-05,0.728080291031876,0.478,0.263,1,"COPD","RAB14"
"LRG1",5.72092302789984e-05,1.27079895877986,0.206,0.051,1,"COPD","LRG1"
"NDUFB2",5.8172616324963e-05,0.976315753764493,0.632,0.438,1,"COPD","NDUFB2"
"TWF2",5.83953051298065e-05,1.80323054140552,0.166,0.029,1,"COPD","TWF2"
"PSMD2",5.88264172309989e-05,0.928469410473157,0.372,0.175,1,"COPD","PSMD2"
"TNFRSF14",5.89756745152692e-05,1.17914422049214,0.308,0.124,1,"COPD","TNFRSF14"
"SLC25A6",5.96175271641587e-05,0.730766434335548,0.743,0.599,1,"COPD","SLC25A6"
"POLR3GL",6.0512443047063e-05,1.96231832105432,0.166,0.029,1,"COPD","POLR3GL"
"APOL6",6.12100354071283e-05,1.39395501838291,0.285,0.109,1,"COPD","APOL6"
"ZNF703",6.27111297112479e-05,1.47643517811185,0.126,0.007,1,"COPD","ZNF703"
"MAT2A",6.44317362855262e-05,1.45211413202747,0.281,0.109,1,"COPD","MAT2A"
"SYPL1",6.46164362291124e-05,1.11450836632452,0.435,0.234,1,"COPD","SYPL1"
"XBP1",6.49674763964395e-05,0.752261126725085,0.7,0.526,1,"COPD","XBP1"
"NAA10",6.50149761296035e-05,1.59668367882566,0.202,0.051,1,"COPD","NAA10"
"DNAJC8",6.51360656876987e-05,1.04195217003883,0.427,0.219,1,"COPD","DNAJC8"
"TRAM1",6.67282742081167e-05,0.766488167973191,0.636,0.453,1,"COPD","TRAM1"
"TP53RK",6.68612970264366e-05,1.22910974650417,0.154,0.022,1,"COPD","TP53RK"
"PSMB2",6.73916534999368e-05,0.96831000290191,0.451,0.255,1,"COPD","PSMB2"
"PSMB8",7.05487591671702e-05,0.95939033525501,0.383,0.204,1,"COPD","PSMB8"
"VDAC1",7.09278040262057e-05,0.899581007929011,0.482,0.277,1,"COPD","VDAC1"
"LGALS3BP",7.12789838482655e-05,0.72487766502535,0.617,0.489,1,"COPD","LGALS3BP"
"TUFM",7.18222849358305e-05,1.04184616358905,0.53,0.321,1,"COPD","TUFM"
"PSMB10",7.21275742043575e-05,1.85279360059,0.162,0.029,1,"COPD","PSMB10"
"FAM3D",7.22490640042176e-05,1.59612812177282,0.241,0.08,1,"COPD","FAM3D"
"GMPPB",7.2523607133174e-05,1.9973770376488,0.174,0.036,1,"COPD","GMPPB"
"PYCR2",7.32047227437882e-05,1.47496880702359,0.178,0.036,1,"COPD","PYCR2"
"SNRPA1",7.34249282548838e-05,1.04118253007676,0.364,0.161,1,"COPD","SNRPA1"
"ACTR10",7.35881815582045e-05,0.969857589183087,0.281,0.102,1,"COPD","ACTR10"
"NDUFB4",7.39687843893087e-05,0.631283961501359,0.617,0.409,1,"COPD","NDUFB4"
"TAF10",7.53200810803145e-05,1.23604403736004,0.324,0.139,1,"COPD","TAF10"
"C9orf3",7.68127483989575e-05,1.68825556222012,0.186,0.044,1,"COPD","C9orf3"
"ANKRD12",7.68939461035078e-05,0.908346389488025,0.474,0.277,1,"COPD","ANKRD12"
"ATP5G3",7.69215405008614e-05,3.04296317935294,0.107,0,1,"COPD","ATP5G3"
"MYEOV2",7.69215405008614e-05,3.02174021289901,0.107,0,1,"COPD","MYEOV2"
"SEP15",7.69215405008614e-05,2.95515103734843,0.107,0,1,"COPD","SEP15"
"MPG",7.71141166144345e-05,1.19499401481274,0.229,0.066,1,"COPD","MPG"
"CD9",7.80856894605826e-05,0.469708946308098,0.85,0.73,1,"COPD","CD9"
"PELO",7.86902960192872e-05,1.40406200656554,0.123,0.007,1,"COPD","PELO"
"AP3S1",7.88422354638535e-05,1.72892069081694,0.324,0.146,1,"COPD","AP3S1"
"S100A14",8.01817693305848e-05,0.766734851286131,0.613,0.416,1,"COPD","S100A14"
"ANP32B",8.19456721399988e-05,0.823224037833457,0.494,0.314,1,"COPD","ANP32B"
"COMT",8.24033934781095e-05,0.76716148528183,0.53,0.321,1,"COPD","COMT"
"RBM12",8.31388537957288e-05,1.69034497463619,0.174,0.036,1,"COPD","RBM12"
"GGT6",8.34210690985318e-05,1.24362738546263,0.233,0.073,1,"COPD","GGT6"
"BDH2",8.53824061618861e-05,1.80113772408329,0.221,0.066,1,"COPD","BDH2"
"MRPS26",8.55454173097396e-05,1.07433287648659,0.379,0.175,1,"COPD","MRPS26"
"NBEAL2",8.56238210192105e-05,1.29520507855579,0.19,0.044,1,"COPD","NBEAL2"
"C1orf122",8.71393549464625e-05,1.60240509962013,0.348,0.168,1,"COPD","C1orf122"
"HEBP2",8.94218348682237e-05,0.859598783843935,0.447,0.248,1,"COPD","HEBP2"
"EIF3M",9.05625704537655e-05,1.02731856783012,0.447,0.241,1,"COPD","EIF3M"
"COX6A1",9.11939593832228e-05,0.672653678164167,0.708,0.518,1,"COPD","COX6A1"
"IRF1",9.19190460435169e-05,0.926138031486978,0.462,0.27,1,"COPD","IRF1"
"DUT",9.2161096144765e-05,1.19229106721187,0.455,0.27,1,"COPD","DUT"
"GARS",9.22152611912248e-05,1.60746635168634,0.202,0.051,1,"COPD","GARS"
"ODF3B",9.23125827747561e-05,1.50012078624773,0.249,0.088,1,"COPD","ODF3B"
"SSB",9.27186456496416e-05,1.0534695751425,0.415,0.226,1,"COPD","SSB"
"COPS6",9.32096552664892e-05,1.21812537996201,0.372,0.168,1,"COPD","COPS6"
"HLA-E",9.38727872157576e-05,0.755532971439745,0.577,0.409,1,"COPD","HLA-E"
"ANG",9.39330693216253e-05,1.65730674916316,0.174,0.036,1,"COPD","ANG"
"MPC2",9.41611766438518e-05,1.02737130648591,0.466,0.292,1,"COPD","MPC2"
"TIA1",9.44144734925024e-05,1.4322881859612,0.225,0.073,1,"COPD","TIA1"
"NDRG2",9.61948819823959e-05,1.59264763499628,0.308,0.131,1,"COPD","NDRG2"
"MISP",9.89512900012257e-05,0.849747400523087,0.312,0.124,1,"COPD","MISP"
"PURA",9.92964215687058e-05,0.836541947883026,0.336,0.146,1,"COPD","PURA"
"ERP29",0.000100611564559117,0.819553403312821,0.597,0.401,1,"COPD","ERP29"
"FNTA",0.000101000845615031,1.2731418740093,0.221,0.066,1,"COPD","FNTA"
"IFITM1",0.00010129497645745,1.70694816932615,0.134,0.015,1,"COPD","IFITM1"
"NDUFB1",0.000101499800924555,0.761162273290566,0.617,0.409,1,"COPD","NDUFB1"
"ERLEC1",0.000102594913638826,0.951220620239723,0.427,0.219,1,"COPD","ERLEC1"
"CHP2",0.000104468000065067,2.2002784306557,0.134,0.015,1,"COPD","CHP2"
"SNHG8",0.000105072824145606,0.816940543792444,0.569,0.387,1,"COPD","SNHG8"
"HYI",0.000105404345939632,1.4405448553181,0.198,0.051,1,"COPD","HYI"
"TXNL4A",0.000105763752752393,0.785835761401637,0.423,0.219,1,"COPD","TXNL4A"
"ANXA1",0.000105928494962039,0.532093862684888,0.818,0.693,1,"COPD","ANXA1"
"NR4A1",0.000106660399306216,1.0398820047458,0.443,0.263,1,"COPD","NR4A1"
"ATP5A1",0.000106729206933501,3.05172426083247,0.103,0,1,"COPD","ATP5A1"
"VIMP",0.000106729206933501,3.04879239446758,0.103,0,1,"COPD","VIMP"
"USMG5",0.000106729206933501,3.0385307336157,0.103,0,1,"COPD","USMG5"
"TRMT2A",0.000106729206933501,1.73664943663721,0.103,0,1,"COPD","TRMT2A"
"TMEM246",0.000106729206933501,1.46320884420967,0.103,0,1,"COPD","TMEM246"
"HNRNPUL2",0.000107100570472795,1.06852038435997,0.225,0.066,1,"COPD","HNRNPUL2"
"EIF3G",0.000109345138226577,0.809483360019957,0.466,0.263,1,"COPD","EIF3G"
