"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"PET100",0.00326566809577438,0.105932448857993,0.455,0.342,1,"COPD","PET100"
"PREB",0.00328670317008005,0.282600237063217,0.154,0.097,1,"COPD","PREB"
"MTHFD2L",0.00330451514438114,0.0899629298536546,0.142,0.086,1,"COPD","MTHFD2L"
"FKBP14",0.00332379050836437,0.300329106079444,0.223,0.152,1,"COPD","FKBP14"
"PPP1R15B",0.00332667612275625,0.391944886147307,0.231,0.161,1,"COPD","PPP1R15B"
"RDX",0.00333619027655405,0.227523537565437,0.43,0.333,1,"COPD","RDX"
"RIOK3",0.00334022428580165,0.175690454006929,0.302,0.215,1,"COPD","RIOK3"
"GLRX3",0.00335495429899662,0.0739969791533788,0.317,0.229,1,"COPD","GLRX3"
"AKT2",0.00336041768322581,0.0394637134090372,0.214,0.141,1,"COPD","AKT2"
"EXOC7",0.00339723904971529,0.0583441064045109,0.186,0.12,1,"COPD","EXOC7"
"ARSB",0.00340522822229728,0.144787558293924,0.117,0.067,1,"COPD","ARSB"
"EBLN3P",0.00340586894603341,0.0808540068025385,0.235,0.16,1,"COPD","EBLN3P"
"GPS2",0.00341113764706883,0.140428245969163,0.187,0.121,1,"COPD","GPS2"
"MRPL47",0.00341435671731672,0.056566566313739,0.281,0.195,1,"COPD","MRPL47"
"TNFSF12",0.00342008211621333,0.257694118733265,0.249,0.172,1,"COPD","TNFSF12"
"DTX3",0.00342721548291995,0.437275796316441,0.111,0.064,1,"COPD","DTX3"
"NDUFV3",0.00343844635143284,0.149849302498089,0.294,0.213,1,"COPD","NDUFV3"
"DDX46",0.00346269445119207,0.157630805180729,0.448,0.353,1,"COPD","DDX46"
"LIN7C",0.00346325453132671,0.0628062707404387,0.184,0.118,1,"COPD","LIN7C"
"USP7",0.00347535443081672,0.173355396164237,0.26,0.181,1,"COPD","USP7"
"SMPD4",0.00348175937590221,0.0537036463299322,0.166,0.104,1,"COPD","SMPD4"
"RGS3",0.00348789683418465,0.233986271431775,0.252,0.175,1,"COPD","RGS3"
"PTPN23",0.0035076330642493,0.143729402698591,0.125,0.074,1,"COPD","PTPN23"
"NNMT",0.00353652177671443,0.20873894709709,0.737,0.643,1,"COPD","NNMT"
"DMAC2L",0.00357428860089283,0.0874725361637105,0.101,0.055,1,"COPD","DMAC2L"
"TRAPPC10",0.00357560292113382,0.0929182479692612,0.212,0.141,1,"COPD","TRAPPC10"
"SEMA5A",0.00359255811531237,0.111735441483005,0.268,0.186,1,"COPD","SEMA5A"
"EWSR1",0.00361390601144055,0.278820195399693,0.424,0.327,1,"COPD","EWSR1"
"PKIA",0.00361883777518184,0.16817000434033,0.121,0.071,1,"COPD","PKIA"
"BAD",0.0036223750304397,0.215916723552281,0.316,0.236,1,"COPD","BAD"
"PEX16",0.0036327582401049,0.113298037515834,0.149,0.092,1,"COPD","PEX16"
"HDAC3",0.00363682864706732,0.100711620688919,0.196,0.129,1,"COPD","HDAC3"
"NAP1L1",0.0036396283776475,0.185008467345673,0.757,0.675,1,"COPD","NAP1L1"
"BTG3",0.00364152878467199,0.234476600131934,0.418,0.322,1,"COPD","BTG3"
"MTDH",0.00364802544358554,0.176446355958473,0.656,0.597,1,"COPD","MTDH"
"ZNRF2",0.00365290041538007,0.506140245045786,0.143,0.092,1,"COPD","ZNRF2"
"FAM20B",0.00365729760683337,0.0454881383407959,0.182,0.118,1,"COPD","FAM20B"
"PITHD1",0.00365902960369552,0.222491008804833,0.285,0.204,1,"COPD","PITHD1"
"NFKBIB",0.00367961733910543,0.245817323267157,0.158,0.1,1,"COPD","NFKBIB"
"TATDN1",0.00368968493484723,0.265335200861166,0.252,0.176,1,"COPD","TATDN1"
"NADSYN1",0.00370405495183365,0.307718336403719,0.103,0.058,1,"COPD","NADSYN1"
"DEGS1",0.00370739449843213,0.175310221762874,0.385,0.29,1,"COPD","DEGS1"
"CLEC11A",0.00371908247018902,0.1751360563805,0.459,0.342,1,"COPD","CLEC11A"
"FAM216A",0.00372160645950657,0.0165396745218316,0.129,0.077,1,"COPD","FAM216A"
"CAVIN3",0.0037307127342918,0.25377532841743,0.509,0.442,1,"COPD","CAVIN3"
"RING1",0.0037308119445058,0.207238653562052,0.239,0.163,1,"COPD","RING1"
"UCHL5",0.00376158300053952,0.152675971627854,0.164,0.104,1,"COPD","UCHL5"
"CRTAP",0.00377951135868423,0.189733259620025,0.479,0.371,1,"COPD","CRTAP"
"TMEM230",0.00378361401235289,0.238398054411122,0.467,0.39,1,"COPD","TMEM230"
"ATP5PD",0.00378893960117087,0.285071648920239,0.52,0.426,1,"COPD","ATP5PD"
"TMEM248",0.00380525625838045,0.210028506665008,0.375,0.288,1,"COPD","TMEM248"
"MARCKSL1",0.00383438612989458,0.0635631454627819,0.249,0.169,1,"COPD","MARCKSL1"
"NDUFS1",0.00383478444875926,0.236010592245893,0.294,0.215,1,"COPD","NDUFS1"
"CBX6",0.00383960477345306,0.265311037802124,0.366,0.278,1,"COPD","CBX6"
"MSRB2",0.00384790615989443,0.214407939521998,0.369,0.279,1,"COPD","MSRB2"
"RTF2",0.00384978092932287,0.164928591016354,0.346,0.256,1,"COPD","RTF2"
