"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","celltype"
"1","ND4L",1.33105435765845e-29,1.22530911813509,0.861,0.408,1.21884647530784e-24,"Normal","ND4L","AT1"
"3","COX2",8.09898272868422e-28,1.20418021002963,0.856,0.416,7.41623848465614e-23,"Normal","COX2","AT1"
"4","COX1",9.54308448347887e-28,1.21298331325073,0.866,0.416,8.7386024615216e-23,"Normal","COX1","AT1"
"5","ND2",2.2236921175107e-27,1.19825861718627,0.856,0.416,2.03623487200455e-22,"Normal","ND2","AT1"
"6","ND1",9.36631599513974e-26,1.19157080187373,0.841,0.399,8.57673555674946e-21,"Normal","ND1","AT1"
"7","CYTB",2.15341856667563e-25,1.16045088162198,0.844,0.416,1.97188538150487e-20,"Normal","CYTB","AT1"
"8","ND5",3.3753693754676e-25,1.31645862641116,0.781,0.361,3.09082573711569e-20,"Normal","ND5","AT1"
"9","MTCO1P12",1.46604954993958e-24,1.19304449078731,0.821,0.412,1.34246157287967e-19,"Normal","MTCO1P12","AT1"
"11","ND3",1.65005357011578e-23,1.12863870477758,0.831,0.403,1.51095405415502e-18,"Normal","ND3","AT1"
"13","GPC5",2.38732390275768e-21,1.53553224266741,0.655,0.318,2.18607249775521e-16,"Normal","GPC5","AT1"
"14","MTND1P23",2.21189875985222e-20,1.18071234810744,0.738,0.378,2.02543569439668e-15,"Normal","MTND1P23","AT1"
"15","MAGI1",1.01055389193617e-19,0.896479894665928,0.854,0.618,9.25364198845954e-15,"Normal","MAGI1","AT1"
"16","MTATP8P1",2.25369373265685e-19,1.11267205480373,0.771,0.399,2.06370735099387e-14,"Normal","MTATP8P1","AT1"
"17","NEBL",4.79683467576934e-19,0.830157524725682,0.841,0.67,4.39246151260199e-14,"Normal","NEBL","AT1"
"18","ND6",5.48161240305105e-19,1.35298745624888,0.65,0.313,5.01951247747385e-14,"Normal","ND6","AT1"
"19","MTATP6P1",9.844256133406e-19,1.14926008421028,0.728,0.352,9.01438534135987e-14,"Normal","MTATP6P1","AT1"
"20","MECOM",2.76922230646041e-18,1.12320839664622,0.756,0.532,2.5357768660258e-13,"Normal","MECOM","AT1"
"21","PARD3",5.86229532921071e-17,0.978419005799856,0.763,0.511,5.36810383295825e-12,"Normal","PARD3","AT1"
"22","MTND2P28",2.15777547754905e-15,1.19821529896508,0.607,0.296,1.97587500479167e-10,"Normal","MTND2P28","AT1"
"23","CCSER1",1.28629849891104e-14,1.04623328495319,0.655,0.352,1.17786353545284e-09,"Normal","CCSER1","AT1"
"24","PRKG1",4.03595318313617e-14,1.31731372967378,0.577,0.309,3.69572232979779e-09,"Normal","PRKG1","AT1"
"25","PATJ",1.4123136920322e-13,0.783497308437239,0.766,0.597,1.29325564779389e-08,"Normal","PATJ","AT1"
"26","CUX1",2.10086053522299e-13,0.700727088390504,0.801,0.67,1.92375799210369e-08,"Normal","CUX1","AT1"
"27","PDE4D",2.10429999799319e-13,1.06067799791326,0.683,0.485,1.92690750816236e-08,"Normal","PDE4D","AT1"
"28","CYP4Z2P",3.09110423872462e-13,1.20545721856465,0.569,0.279,2.83052415140013e-08,"Normal","CYP4Z2P","AT1"
"29","LOC101928626",9.883957775847e-13,0.991122964172816,0.635,0.339,9.05074013534309e-08,"Normal","LOC101928626","AT1"
