"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ASAP1",0.00920596852024261,0.0780710274657479,0.8,0.782,1,"Normal","ASAP1"
"FGGY",0.00931640573120422,0.429157070538322,0.151,0.128,1,"Normal","FGGY"
"TNRC6B",0.0093643569667334,0.201396161403434,0.465,0.446,1,"Normal","TNRC6B"
"EVA1C",0.0094081026824899,0.224244384701555,0.155,0.129,1,"Normal","EVA1C"
"UBE2D2",0.00941192378142185,0.120316821834411,0.5,0.484,1,"Normal","UBE2D2"
"CEMIP2",0.00946089336402594,0.19992437162377,0.242,0.213,1,"Normal","CEMIP2"
"GABPB2",0.00949598665363275,0.444403526587853,0.103,0.083,1,"Normal","GABPB2"
"WDPCP",0.0094966932303016,0.284920378602484,0.287,0.26,1,"Normal","WDPCP"
"TBC1D7",0.0095347791170022,0.502080723792964,0.116,0.096,1,"Normal","TBC1D7"
"SF3A3",0.00956128535962414,0.00986463467357479,0.17,0.206,1,"Normal","SF3A3"
"FAM174C",0.00960188217100478,0.140789968353282,0.243,0.211,1,"Normal","FAM174C"
"LONP1",0.00962140523154803,0.366825435274219,0.182,0.159,1,"Normal","LONP1"
"HSPBAP1",0.00964224045709967,0.445108197930247,0.157,0.135,1,"Normal","HSPBAP1"
"SEPTIN7",0.00971937155699663,0.140424504749475,0.396,0.355,1,"Normal","SEPTIN7"
"RNMT",0.00981763769167608,0.267171376008564,0.332,0.311,1,"Normal","RNMT"
"PHACTR4",0.00996271355989299,0.217967719069371,0.364,0.343,1,"Normal","PHACTR4"
"SP1",0.00998742457471194,0.25330537181062,0.191,0.166,1,"Normal","SP1"
"PPM1M",0.0100333757646163,0.010828216871861,0.111,0.138,1,"Normal","PPM1M"
"PKN2",0.0100359440045434,0.213623003448383,0.403,0.382,1,"Normal","PKN2"
"ANKHD1-EIF4EBP3",0.0100795330357714,0.258656386601553,0.175,0.148,1,"Normal","ANKHD1-EIF4EBP3"
"CITED2",0.0100993810555422,0.20529743946112,0.459,0.444,1,"Normal","CITED2"
"LIMD1",0.0101597341237454,0.205709090939539,0.141,0.117,1,"Normal","LIMD1"
"BABAM2",0.0101942650838356,0.180958313988453,0.368,0.339,1,"Normal","BABAM2"
"IFNGR2",0.0103078689560018,0.12880417284474,0.626,0.61,1,"Normal","IFNGR2"
"TMEM168",0.0103173434662158,0.301765231798233,0.131,0.108,1,"Normal","TMEM168"
"CCDC69",0.0105064065231924,0.348743374875427,0.202,0.178,1,"Normal","CCDC69"
"RAPGEF6",0.0105638637627233,0.185255761440506,0.287,0.259,1,"Normal","RAPGEF6"
"FAM168B",0.0106495347546513,0.306449620410077,0.224,0.199,1,"Normal","FAM168B"
