"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"GCH1",0.00179146191559424,0.104006494498877,0.334,0.291,1,"COPD","GCH1"
"CDA",0.00180620480796852,0.138764206847989,0.192,0.159,1,"COPD","CDA"
"PEBP1",0.00182499121045548,0.261508141761407,0.142,0.116,1,"COPD","PEBP1"
"ATP6AP2",0.00185688307017959,0.146015198151515,0.411,0.369,1,"COPD","ATP6AP2"
"DUSP4",0.0018703977623635,0.260816190838077,0.12,0.096,1,"COPD","DUSP4"
"RPL27P4",0.00187731283670504,0.320390438523214,0.22,0.196,1,"COPD","RPL27P4"
"CCNH",0.00190342575622625,0.162154187895241,0.399,0.36,1,"COPD","CCNH"
"CYTH4",0.00190450062578232,0.122062053817619,0.217,0.181,1,"COPD","CYTH4"
"RBBP8",0.0019346238204159,0.197732339832407,0.141,0.115,1,"COPD","RBBP8"
"PRDX5",0.00195910900334946,0.16044513720281,0.361,0.321,1,"COPD","PRDX5"
"TNFAIP8",0.00196351623915032,0.0114188077347954,0.284,0.239,1,"COPD","TNFAIP8"
"RASSF5",0.00199978944523487,0.12928221977115,0.298,0.26,1,"COPD","RASSF5"
"NDST2",0.0020137667949457,0.301533497465815,0.109,0.086,1,"COPD","NDST2"
"CCNG2",0.00208781478811573,0.172298038869868,0.101,0.078,1,"COPD","CCNG2"
"FCGR1B",0.00209671922207922,0.251590650074139,0.137,0.112,1,"COPD","FCGR1B"
"MRPL3",0.00210977072774453,0.320065913828739,0.121,0.097,1,"COPD","MRPL3"
"XIST",0.00213669572356675,0.483875599903274,0.106,0.086,1,"COPD","XIST"
"ADCY7",0.00213833423077511,0.127728428787473,0.112,0.087,1,"COPD","ADCY7"
"PELI1",0.00216840339306894,0.0918710353062551,0.656,0.617,1,"COPD","PELI1"
"MAPRE1",0.00216938757360135,0.138170992282614,0.265,0.228,1,"COPD","MAPRE1"
"CCNK",0.00219274018563171,0.139698308555777,0.169,0.139,1,"COPD","CCNK"
"KMT2A",0.00219495395919405,0.128429857901113,0.143,0.116,1,"COPD","KMT2A"
"MAX",0.00221658611547509,0.145749437381465,0.191,0.16,1,"COPD","MAX"
