"","gene","p_val_adj","avg_log2FC","cluster","p_val","celltype","pct.1","pct.2"
"1","A4GALT",1.91005390433722e-35,0.285810115336077,"Normal",1.7998339825726e-36,"Secretory",0.0243710691823899,0.175059952038369
"2","AAAS",4.81153040754346e-08,0.064395190530139,"Normal",2.53616441845248e-08,"Secretory",0.0243710691823899,0.0727418065547562
"3","AACS",8.41903330527893e-11,0.0926665407198372,"Normal",3.54116110672339e-11,"Secretory",0.0157232704402516,0.0687450039968026
"4","AADAC",1.90878935566434e-10,0.120353488850712,"Normal",8.25783787290412e-11,"Secretory",0.0267295597484277,0.08792965627498
"5","AAED1",1.91375815123814e-16,0.128005328039921,"Normal",5.36688514227306e-17,"Secretory",0.0102201257861635,0.0783373301358913
"6","AAGAB",7.07664427214786e-09,0.0714136768825817,"Normal",3.48403166967653e-09,"Secretory",0.029874213836478,0.0863309352517986
"7","AAK1",2.20713728663893e-18,0.174562724480136,"Normal",5.47551153081288e-19,"Secretory",0.0408805031446541,0.146282973621103
"8","AAMDC",1.20398052983871e-33,0.29816363891775,"Normal",1.23891925768927e-34,"Secretory",0.0424528301886792,0.206235011990408
"9","AAMP",2.20486113768475e-41,0.398727235775828,"Normal",1.49295133739161e-42,"Secretory",0.0589622641509434,0.26378896882494
"10","AAR2",3.20837062424533e-09,0.0618573163862165,"Normal",1.53194881541267e-09,"Secretory",0.0180817610062893,0.0671462829736211
"11","AARD",0.0282526790742146,0.00809536830459939,"COPD",0.0269710365278193,"Secretory",0.0416666666666667,0.0631494804156675
"12","AARS",7.08164670278859e-11,0.0926167978823555,"Normal",2.96269358804956e-11,"Secretory",0.0283018867924528,0.0919264588329337
"13","AARS2",0.00205981059793905,0.0149975707041126,"Normal",0.00168501850948817,"Secretory",0.00628930817610063,0.0207833733013589
"14","AARSD1",0.00019077956965248,0.0218114000863696,"Normal",0.000139934714364844,"Secretory",0.020440251572327,0.0487609912070344
"15","AASDH",1.25631704621961e-09,0.0775836516176781,"Normal",5.79024709344213e-10,"Secretory",0.0212264150943396,0.0743405275779376
"16","AASDHPPT",4.50415043286773e-09,0.0611049141072331,"Normal",2.18108752198657e-09,"Secretory",0.0581761006289308,0.13189448441247
"17","AASS",1.33953328987968e-07,0.0580252147947784,"Normal",7.34777349969024e-08,"Secretory",0.014937106918239,0.0543565147881695
"18","AATF",5.62411509668666e-13,0.109109344436889,"Normal",2.00164469918768e-13,"Secretory",0.0345911949685535,0.112709832134293
"19","ABAT",0.000214952511760296,0.0310553937042184,"Normal",0.000158418137002793,"Secretory",0.00707547169811321,0.026378896882494
"20","ABC7-42404400C24.1",0.044052723919127,0.00745839141653155,"Normal",0.0436412908738516,"Secretory",0,0.00319744204636291
"21","ABCA1",0.00478759048087025,0.0187401142931395,"Normal",0.00408414364737347,"Secretory",0.0212264150943396,0.0415667466027178
"22","ABCA10",0.0182624289690525,0.00528003211227271,"Normal",0.0168568067260208,"Secretory",0.00314465408805031,0.0111910471622702
"23","ABCA12",0.00689517233233295,0.0156037626024909,"Normal",0.00599705198684396,"Secretory",0.000786163522012579,0.00799360511590727
"24","ABCA13",3.29699342103259e-22,0.213306206515058,"Normal",6.52965258084756e-23,"Secretory",0.029874213836478,0.142286171063149
"25","ABCA2",0.0018432690325357,0.0167842259209449,"Normal",0.00150111452399464,"Secretory",0.00314465408805031,0.0151878497202238
"26","ABCA3",2.87734149519844e-05,0.0630463429631959,"Normal",1.95213895971769e-05,"Secretory",0.0432389937106918,0.08792965627498
"27","ABCA4",0.000680693066392165,0.021979007832415,"Normal",0.000527321429851836,"Secretory",0.00235849056603774,0.0151878497202238
"28","ABCA5",4.64503329187916e-21,0.204113447599393,"Normal",9.79206484478863e-22,"Secretory",0.0361635220125786,0.147881694644285
"29","ABCA7",0.000102726813030504,0.0421648546395068,"Normal",7.34986704304304e-05,"Secretory",0.0306603773584906,0.0647482014388489
"30","ABCA8",0.0460884507958861,0.00586134426001303,"Normal",0.0457656164173959,"Secretory",0.00628930817610063,0.0143884892086331
"31","ABCB10",0.000299977226506365,0.0305457318870297,"Normal",0.000224307520854118,"Secretory",0.00786163522012579,0.0271782573940847
"32","ABCB7",4.07352678981492e-09,0.0565738569836062,"Normal",1.96508943287853e-09,"Secretory",0.0220125786163522,0.0743405275779376
"33","ABCB8",2.91714896141892e-10,0.0903245160298321,"Normal",1.28050968419856e-10,"Secretory",0.0165094339622642,0.0679456434852118
"34","ABCB9",0.00186472945402718,0.0161624255068378,"Normal",0.0015196798660947,"Secretory",0.00235849056603774,0.0135891286970424
"35","ABCC1",2.83953799265795e-07,0.07042600062676,"Normal",1.60280459242009e-07,"Secretory",0.0196540880503145,0.0607513988808953
"36","ABCC10",1.87041733857259e-09,0.0580312689215214,"Normal",8.74691497224407e-10,"Secretory",0.00314465408805031,0.0375699440447642
"37","ABCC3",2.48838053147078e-19,0.161493099277567,"Normal",5.87234565048557e-20,"Secretory",0.0180817610062893,0.106314948041567
"38","ABCC4",8.28578442247768e-08,0.0629647914528815,"Normal",4.44759792590801e-08,"Secretory",0.050314465408805,0.112709832134293
"39","ABCC5",6.6191244252607e-15,0.156684949341053,"Normal",2.05367400143513e-15,"Secretory",0.0338050314465409,0.118305355715428
"40","ABCC6",0.000238607391734945,0.012182587378831,"Normal",0.000176707158605574,"Secretory",0.035377358490566,0.070343725019984
"41","ABCC9",0.0310438960419513,0.00976571629929837,"Normal",0.0297883682250445,"Secretory",0.00471698113207547,0.0127897681854516
"42","ABCD3",4.31614042415257e-26,0.240810624749714,"Normal",6.7700634905195e-27,"Secretory",0.0393081761006289,0.173461231015188
"43","ABCD4",4.18370778862024e-09,0.0809691015687499,"Normal",2.02068341491732e-09,"Secretory",0.0212264150943396,0.0719424460431655
"44","ABCE1",6.96742351585575e-16,0.16372763161227,"Normal",2.02131974747016e-16,"Secretory",0.0495283018867925,0.149480415667466
"45","ABCF1",6.2049909757726e-29,0.306174406623521,"Normal",8.29436335403893e-30,"Secretory",0.0581761006289308,0.217426059152678
"46","ABCF2",3.26044887456999e-08,0.0674950281750729,"Normal",1.69547691642916e-08,"Secretory",0.0196540880503145,0.0655475619504396
"47","ABCF3",1.96032536614654e-13,0.139342162769071,"Normal",6.7349403840258e-14,"Secretory",0.0275157232704403,0.100719424460432
"48","ABCG1",0.00268719844712313,0.0155827649233528,"Normal",0.0022204344073168,"Secretory",0.0172955974842767,0.0375699440447642
"49","ABCG2",0.0196879772798532,0.0121824749576573,"Normal",0.0182612884659612,"Secretory",0.000786163522012579,0.00639488409272582
"50","ABHD1",0.025394858826239,0.00664226541254605,"Normal",0.0240586216748583,"Secretory",0,0.00399680255795364
"51","ABHD10",1.32814735968956e-06,0.0518582856200682,"Normal",7.95869490220912e-07,"Secretory",0.0133647798742138,0.0471622701838529
"52","ABHD11",1.64050932792515e-44,0.378700675950742,"Normal",9.30242113900185e-46,"Secretory",0.0314465408805031,0.21982414068745
"53","ABHD12",5.20192978149985e-13,0.123599960120538,"Normal",1.84618188376112e-13,"Secretory",0.0581761006289308,0.151079136690647
"54","ABHD12B",3.28899513038679e-06,0.0315999846944531,"Normal",2.04218293369413e-06,"Secretory",0,0.017585931254996
"55","ABHD13",1.59013257422656e-13,0.125784775066909,"Normal",5.43127336893929e-14,"Secretory",0.0235849056603774,0.0943245403677058
"56","ABHD14A",3.39849734290917e-08,0.0737397903723787,"Normal",1.77094812340222e-08,"Secretory",0.0369496855345912,0.0935251798561151
"57","ABHD14B",3.07455735804658e-09,0.0481187957958168,"Normal",1.46549114898218e-09,"Secretory",0.0856918238993711,0.176658673061551
"58","ABHD15",0.0343451784565335,0.0250668346546535,"Normal",0.0333055437183979,"Secretory",0.00864779874213836,0.0183852917665867
"59","ABHD17A",2.50450197260555e-24,0.200426466384132,"Normal",4.36909450191028e-25,"Secretory",0.0259433962264151,0.139888089528377
"60","ABHD17B",1.79707139561551e-08,0.0654256244083444,"Normal",9.17567391206952e-09,"Secretory",0.0133647798742138,0.0551558752997602
"61","ABHD17C",7.40914812600821e-10,0.0855564021397899,"Normal",3.34993338385728e-10,"Secretory",0.0377358490566038,0.103117505995204
"62","ABHD18",0.0329843155989373,0.00205833263876041,"Normal",0.0318290944055123,"Secretory",0.0220125786163522,0.0367705835331735
"63","ABHD2",7.69514243879152e-37,0.360015514319105,"Normal",6.68640628854299e-38,"Secretory",0.0723270440251572,0.276578737010392
"64","ABHD3",8.05928163728846e-13,0.0962836869552394,"Normal",2.91066951059843e-13,"Secretory",0.0157232704402516,0.0775379696243006
"65","ABHD4",0.0125799187775234,0.0125133227544844,"Normal",0.0113326269641082,"Secretory",0.0117924528301887,0.0255795363709033
"66","ABHD5",2.51302336800448e-09,0.0881070393142067,"Normal",1.18903390510819e-09,"Secretory",0.0715408805031447,0.152677857713829
"67","ABHD8",0.00220706022282266,0.000740665998198659,"COPD",0.00181026053633119,"Secretory",0.0196540880503145,0.0415667466027178
"68","ABI1",2.85803624009582e-24,0.235617356535493,"Normal",5.00251673445724e-25,"Secretory",0.0550314465408805,0.195043964828137
"69","ABI2",8.68585941554772e-14,0.132934681765478,"Normal",2.91387695369817e-14,"Secretory",0.044811320754717,0.132693844924061
"70","ABI3BP",0.0475295564586606,0.00872778401233826,"COPD",0.0473987629827487,"Secretory",0.0172955974842767,0.0295763389288569
"71","ABITRAM",0.00120646855243722,0.0662024659635627,"COPD",0.000961593264192374,"Secretory",0.020440251572327,0.00559552358113509
"72","ABL1",2.73663881662883e-05,0.0393279004854482,"Normal",1.85234300154905e-05,"Secretory",0.0227987421383648,0.0567545963229417
"73","ABL2",7.79301654569725e-05,0.0268753520478483,"Normal",5.51203855408639e-05,"Secretory",0.0345911949685535,0.0719424460431655
"74","ABLIM1",6.76426541511397e-35,0.338199039988132,"Normal",6.5375113543338e-36,"Secretory",0.0770440251572327,0.278177458033573
"75","ABO",0.000103540344086719,0.0324675113063803,"Normal",7.41325378859714e-05,"Secretory",0.0455974842767296,0.0863309352517986
"76","ABR",0.000167999817157944,0.028249165391533,"Normal",0.000122721680979286,"Secretory",0.0471698113207547,0.0871302957633893
"77","ABRACL",1.12219158976494e-37,0.357892254464735,"Normal",9.23618328133752e-39,"Secretory",0.0809748427672956,0.301358912869704
"78","ABT1",6.8418885896552e-10,0.0761989290515744,"Normal",3.08261541443521e-10,"Secretory",0.050314465408805,0.123900879296563
"79","ABTB1",4.88395277923007e-05,0.0382087198212786,"Normal",3.38561536472144e-05,"Secretory",0.0330188679245283,0.070343725019984
"80","AC004130.1",0.00733468472582098,0.0104278853602917,"Normal",0.00640928629435274,"Secretory",0.00314465408805031,0.0127897681854516
"81","AC004556.1",0.00178031382981631,0.0212585837482463,"Normal",0.00144509463137358,"Secretory",0.00235849056603774,0.0135891286970424
"82","AC004832.1",0.0207932183303051,0.0404985854536394,"COPD",0.0193835380015411,"Secretory",0.0110062893081761,0.00319744204636291
"83","AC005261.1",0.025582823052072,0.0201519477545957,"Normal",0.0242430954939749,"Secretory",0.0125786163522013,0.0247801758593125
"84","AC006449.2",0.0489198821667589,0.00297854895220841,"Normal",0.0489076440374643,"Secretory",0.00235849056603774,0.00799360511590727
"85","AC007009.1",0.0362167547413369,0.0614001462385604,"COPD",0.0352473102556824,"Secretory",0.0259433962264151,0.0143884892086331
"86","AC007325.2",0.0140221189402254,0.0173040821421816,"Normal",0.0127086038123051,"Secretory",0.00471698113207547,0.0143884892086331
"87","AC007325.4",2.76425110777269e-09,0.0733183088805536,"Normal",1.31135961908929e-09,"Secretory",0.00628930817610063,0.04396482813749
"88","AC007384.1",3.54601057521248e-05,0.059270187351161,"COPD",2.42679359496071e-05,"Secretory",0.0141509433962264,0
"89","AC007405.3",2.00596169671246e-13,0.374125300868793,"COPD",6.90009339471221e-14,"Secretory",0.108490566037736,0.0343725019984013
"90","AC007569.1",0.0277837849919161,0.0147598477400777,"COPD",0.0264909771178759,"Secretory",0.00393081761006289,0
"91","AC007906.2",0.000309990452414238,0.12226552589352,"COPD",0.000232234341601861,"Secretory",0.0455974842767296,0.0199840127897682
"92","AC008014.1",0.00528065473745876,0.0792345380321493,"COPD",0.0045333839661556,"Secretory",0.0275157232704403,0.0119904076738609
"93","AC008268.1",1.25746713014782e-10,0.388239139519068,"COPD",5.35304344513395e-11,"Secretory",0.127358490566038,0.0575539568345324
"94","AC008915.2",0.0186799800570652,0.0367059465884621,"COPD",0.0172687007098586,"Secretory",0.0125786163522013,0.00399680255795364
"95","AC009093.2",0.0133486073134166,0.0297830552275378,"COPD",0.0120707386346472,"Secretory",0.00707547169811321,0.000799360511590727
"96","AC009133.1",0.0296018901742174,0.0671793759780736,"COPD",0.0282960696353448,"Secretory",0.0243710691823899,0.0127897681854516
"97","AC009299.3",0.000434063636825526,0.0287820389317652,"Normal",0.000329933042907363,"Secretory",0.00314465408805031,0.017585931254996
