"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SLC9B2",0.0037205840662479,0.520437230654214,0.188,0.087,1,"Normal","SLC9B2"
"PLEKHG1",0.00372518305853233,1.10817904652754,0.148,0.066,1,"Normal","PLEKHG1"
"NHS",0.00374082799678917,1.25357754389758,0.166,0.079,1,"Normal","NHS"
"TMEM184B",0.00374642027636328,1.06381100677121,0.24,0.14,1,"Normal","TMEM184B"
"PRICKLE2",0.00380651852310567,0.794392330172399,0.319,0.201,1,"Normal","PRICKLE2"
"RFTN2",0.00383984506250367,0.988387841051839,0.105,0.035,1,"Normal","RFTN2"
"DTWD1",0.00384538498188234,1.02597936852106,0.144,0.061,1,"Normal","DTWD1"
"NUBPL",0.00387244199133916,1.03234436780385,0.162,0.074,1,"Normal","NUBPL"
"HERC2P9",0.00387831808220064,0.905637898720357,0.144,0.061,1,"Normal","HERC2P9"
"TRPM4",0.00391865546587545,0.8402312112544,0.105,0.035,1,"Normal","TRPM4"
"EIF2AK3",0.00392653010780787,1.06568981669536,0.17,0.083,1,"Normal","EIF2AK3"
"LRRC37A3",0.00394495407050234,0.752554503250602,0.144,0.061,1,"Normal","LRRC37A3"
"RABGAP1L",0.00395703506987958,0.625938413522795,0.332,0.205,1,"Normal","RABGAP1L"
"CYB5B",0.00396450266484407,1.05466919282818,0.249,0.148,1,"Normal","CYB5B"
"SAMD4A",0.00400883362437659,0.816916285521716,0.319,0.21,1,"Normal","SAMD4A"
"PRKCE",0.00401177447071019,0.762817456857036,0.266,0.157,1,"Normal","PRKCE"
"UGGT2",0.00403491456756707,0.842109079712952,0.297,0.192,1,"Normal","UGGT2"
"ZNF438",0.00410178967851244,1.23784061607383,0.153,0.07,1,"Normal","ZNF438"
"CLMN",0.00411326469451711,0.562122519498178,0.485,0.362,1,"Normal","CLMN"
"RPS6KC1",0.00416055197323271,1.00774605532669,0.166,0.079,1,"Normal","RPS6KC1"
"MAP2K5",0.00423616748969197,1.07445013816819,0.135,0.057,1,"Normal","MAP2K5"
"LINC02202",0.00423872660604861,0.754657690277732,0.118,0.044,1,"Normal","LINC02202"
"HIP1",0.00425161296470147,0.591429571341826,0.537,0.428,1,"Normal","HIP1"
"LINC01278",0.00427212978095812,0.869091481241921,0.197,0.1,1,"Normal","LINC01278"
"SEPTIN7P2",0.00428158743222903,0.819049999688223,0.17,0.079,1,"Normal","SEPTIN7P2"
"LINC01138",0.00433066542902161,1.49351339008286,0.127,0.052,1,"Normal","LINC01138"
"TAOK3",0.00433783451458913,0.570962262928533,0.354,0.231,1,"Normal","TAOK3"
"RNF149",0.00434024484185141,0.964266656828341,0.192,0.1,1,"Normal","RNF149"
"CWC27",0.0043875355141217,1.03219239988001,0.192,0.1,1,"Normal","CWC27"
"SNHG6",0.00441821449069802,0.486427505587309,0.227,0.118,1,"Normal","SNHG6"
"ZMYM4",0.00445175671251341,0.631512283982153,0.314,0.197,1,"Normal","ZMYM4"
"NIBAN2",0.00447421209004263,1.0337421166651,0.148,0.066,1,"Normal","NIBAN2"
"MYO10",0.00450947849901676,0.616184896740534,0.406,0.279,1,"Normal","MYO10"
"DNMBP",0.00451193134309222,0.72349012147983,0.245,0.135,1,"Normal","DNMBP"
"FKBP5",0.00455287695198587,0.36314404574185,0.738,0.59,1,"Normal","FKBP5"
"KATNAL1",0.0045733088633329,1.43863011558502,0.144,0.066,1,"Normal","KATNAL1"
"APOC1",0.00458585523962901,0.845889048466865,0.279,0.175,1,"Normal","APOC1"
"CBWD3",0.00459564840705922,1.17577117590691,0.122,0.048,1,"Normal","CBWD3"
"ENTPD1-AS1",0.00460107552076607,1.00463121011299,0.183,0.092,1,"Normal","ENTPD1-AS1"
"PSME3IP1",0.00461666868403309,0.949099664110038,0.122,0.048,1,"Normal","PSME3IP1"
"PLXNA2",0.0047144397667691,1.40781288225419,0.127,0.052,1,"Normal","PLXNA2"
"PEMT",0.00474333071786166,0.65896110023622,0.118,0.044,1,"Normal","PEMT"
"LHFPL3",0.00474738957856571,1.27191001268034,0.144,0.066,1,"Normal","LHFPL3"
"DOCK6",0.0047538051223371,1.03401620653747,0.218,0.122,1,"Normal","DOCK6"
"DOCK5",0.00476673856445103,1.11906258079413,0.153,0.07,1,"Normal","DOCK5"
"RIC1",0.00476964845116107,0.673178503996946,0.275,0.166,1,"Normal","RIC1"
"CYRIA",0.00479842264963336,0.903764031501248,0.148,0.066,1,"Normal","CYRIA"
"PUM2",0.00481559766986297,0.60572253349343,0.38,0.249,1,"Normal","PUM2"
"STEAP4",0.00485935181278275,0.446702984075472,0.14,0.057,1,"Normal","STEAP4"
"DENND3",0.00498201297196822,1.10226893287808,0.201,0.109,1,"Normal","DENND3"
"LOC102724050",0.00499423091257183,0.955981906554159,0.166,0.079,1,"Normal","LOC102724050"
"SCFD1",0.00500415004682145,0.817495108758681,0.275,0.17,1,"Normal","SCFD1"
"RPL7AP30",0.00505089206142106,1.23361683855045,0.144,0.066,1,"Normal","RPL7AP30"
"SPPL3",0.00505221894110443,0.980351306755873,0.301,0.201,1,"Normal","SPPL3"
