"","gene","p_val_adj","avg_log2FC","cluster","p_val","celltype","pct.1","pct.2"
"1","A2M",0.0391841942946507,0.12896659438551,"COPD",0.0332063483208931,"AT1",0.0794044665012407,0.0442260442260442
"2","AAK1",0.0192423297430833,0.164956559074159,"Normal",0.0105507599219478,"AT1",0.129032258064516,0.194103194103194
"3","ABCA3",0.00600397819493758,0.220942830213825,"Normal",0.00201622864163427,"AT1",0.129032258064516,0.211302211302211
"4","ABCC1",0.0340789318883152,0.14747674884063,"Normal",0.0266474208663045,"AT1",0.156327543424318,0.221130221130221
"5","ABCC3",3.83956733845013e-06,0.29666352002985,"Normal",2.30856426870618e-07,"AT1",0.0570719602977667,0.174447174447174
"6","ABCC9",0.00655705778899106,0.0786394747229196,"Normal",0.00227133500438278,"AT1",0.00248138957816377,0.0294840294840295
"7","ABCF2",0.00329937730359021,0.0613541020591755,"Normal",0.00090009934216999,"AT1",0,0.027027027027027
"8","ABHD14A",0.0128217334269903,0.117037848524074,"COPD",0.00581446242157264,"AT1",0.086848635235732,0.0393120393120393
"9","ABHD6",0.0149570508209148,0.0751525436360404,"Normal",0.00724363304787945,"AT1",0.00744416873449132,0.0343980343980344
"10","ABI3BP",0.0237737897431713,0.223337899533331,"Normal",0.0148559517719069,"AT1",0.163771712158809,0.221130221130221
"11","ABL1",0.00344469153195625,0.19648239048702,"Normal",0.00095828989671532,"AT1",0.054590570719603,0.117936117936118
"12","ABLIM3",0.0203654508557391,0.038430684596711,"Normal",0.0115138205555928,"AT1",0.00248138957816377,0.0221130221130221
"13","AC002467.1",0.0326546339238081,0.0230904871516871,"COPD",0.0243480086218313,"AT1",0.0124069478908189,0
"14","AC003991.1",0.0233796342050921,0.0437061568513601,"Normal",0.0145271389707684,"AT1",0,0.0147420147420147
"15","AC004148.2",0.0326546339238081,0.0269696202820473,"COPD",0.0243480086218313,"AT1",0.0124069478908189,0
"16","AC004918.1",0.0326546339238081,0.0321511767471237,"COPD",0.0243480086218313,"AT1",0.0124069478908189,0
"17","AC005154.6",0.0160207093368283,0.0330432770781354,"Normal",0.00825236658032255,"AT1",0,0.0171990171990172
"18","AC005261.1",0.00688177746691018,0.107643788783835,"COPD",0.00244354975921526,"AT1",0.0694789081885856,0.0245700245700246
"19","AC005332.7",0.0457862165339285,0.0360170572559033,"COPD",0.0420500218866494,"AT1",0.0297766749379653,0.00982800982800983
"20","AC005498.3",0.0473772606856547,0.0261845846644233,"Normal",0.0463048790639617,"AT1",0,0.00982800982800983
"21","AC005921.2",0.00137003164380864,0.0862132434369853,"COPD",0.000262517853789428,"AT1",0.032258064516129,0
"22","AC006480.2",0.0468109777508249,0.0249959755466389,"COPD",0.0441784728698333,"AT1",0.00992555831265509,0
"23","AC007038.1",0.0402016893974077,0.0508516179872494,"Normal",0.0351629493861861,"AT1",0.00496277915632754,0.0221130221130221
"24","AC007325.2",0.0295402363525055,0.0522206901490995,"Normal",0.0208186649256665,"AT1",0.00744416873449132,0.0294840294840295
"25","AC007686.3",0.0225386726648026,0.0520010846407319,"COPD",0.0135784884076914,"AT1",0.0148883374689826,0
"26","AC007906.2",0.00688177746691018,0.0872899393290661,"COPD",0.00245380758018454,"AT1",0.0223325062034739,0
"27","AC008014.1",0.0266508132624001,0.0948592604192807,"Normal",0.0173562367062692,"AT1",0.00992555831265509,0.0343980343980344
"28","AC008264.2",0.0468109777508249,0.0340587526188415,"COPD",0.0441784728698333,"AT1",0.00992555831265509,0
"29","AC008268.1",0.000625808134546504,0.257699182063718,"COPD",9.95901667899312e-05,"AT1",0.138957816377171,0.058968058968059
"30","AC008771.1",0.0154389131884282,0.0944768630933985,"Normal",0.00774485713939396,"AT1",0.0173697270471464,0.0515970515970516
"31","AC009118.3",0.0326546339238081,0.0312666217503131,"COPD",0.0243480086218313,"AT1",0.0124069478908189,0
"32","AC009299.3",0.0473772606856547,0.0309210143357018,"Normal",0.0463048790639617,"AT1",0,0.00982800982800983
"33","AC009690.2",0.00495388444062147,0.0703195221534629,"Normal",0.00155892504682434,"AT1",0,0.0245700245700246
"34","AC009948.1",0.00688177746691018,0.0541171935308025,"COPD",0.00245380758018454,"AT1",0.0223325062034739,0
"35","AC010329.1",0.0092752472802465,0.135742701797705,"COPD",0.00363740627711731,"AT1",0.0967741935483871,0.0442260442260442
"36","AC010503.4",0.0325957528206271,0.0693278920779181,"COPD",0.0239081022782464,"AT1",0.0446650124069479,0.0171990171990172
"37","AC010618.3",0.00888994170655381,0.157171629443263,"COPD",0.00343045910902017,"AT1",0.0421836228287841,0.00982800982800983
"38","AC010642.2",0.023813500170289,0.104232891085988,"COPD",0.0149163832954189,"AT1",0.054590570719603,0.0221130221130221
"39","AC011603.2",0.00924008562720011,0.146716053014692,"COPD",0.00361532515715757,"AT1",0.0421836228287841,0.00982800982800983
"40","AC012651.1",0.0225386726648026,0.0352634029630303,"COPD",0.0135784884076914,"AT1",0.0148883374689826,0
"41","AC013394.1",0.0374752930948626,0.0924196981314742,"Normal",0.0306931954812246,"AT1",0.0372208436724566,0.0712530712530713
"42","AC015802.6",0.0460196798261892,0.0720739115217087,"COPD",0.0424166901121705,"AT1",0.0372208436724566,0.0147420147420147
"43","AC016717.2",0.0197230184338628,0.0602828772738868,"COPD",0.0109028232323597,"AT1",0.032258064516129,0.00737100737100737
"44","AC016727.1",0.0326546339238081,0.0380221105183472,"COPD",0.0243480086218313,"AT1",0.0124069478908189,0
"45","AC016831.5",0.00100018174863815,0.150366144025982,"COPD",0.00017652026075277,"AT1",0.0843672456575682,0.0245700245700246
"46","AC018362.1",0.0154177483756639,0.0878537977129078,"Normal",0.00772962796219347,"AT1",0.00744416873449132,0.0343980343980344
"47","AC019117.1",0.0369743621372453,0.120171430314547,"Normal",0.0301337148763214,"AT1",0.0198511166253102,0.0466830466830467
"48","AC020656.1",0.00688177746691018,0.0529215667279566,"COPD",0.00245380758018454,"AT1",0.0223325062034739,0
"49","AC020916.1",0.0406381577577736,0.102154028337922,"COPD",0.035880045687857,"AT1",0.116625310173697,0.0712530712530713
"50","AC020922.3",0.0225386726648026,0.0802487828970113,"COPD",0.0135784884076914,"AT1",0.0148883374689826,0
"51","AC020978.5",0.000845917018069276,0.160957145440609,"COPD",0.000141956161273366,"AT1",0.0769230769230769,0.0196560196560197
"52","AC023590.1",0.0215448313847582,0.117413661592453,"Normal",0.0125430891867518,"AT1",0.0148883374689826,0.0442260442260442
"53","AC025164.1",0.00389855273364115,0.112081297608019,"COPD",0.00112052657499624,"AT1",0.032258064516129,0.00245700245700246
"54","AC026202.2",0.0287875017500071,0.049907604835519,"Normal",0.0199351081517399,"AT1",0.00248138957816377,0.0196560196560197
"55","AC027097.2",0.0333572338050698,0.0440217762852662,"Normal",0.0257837547568951,"AT1",0,0.0122850122850123
"56","AC027277.1",0.0287370760967784,0.126871473539872,"COPD",0.0198359453838034,"AT1",0.106699751861042,0.0614250614250614
"57","AC027288.3",0.000516328838486823,0.301480459447209,"COPD",7.84609781487604e-05,"AT1",0.260545905707196,0.135135135135135
"58","AC027644.3",6.40746218779281e-05,0.146530922113963,"COPD",6.09504330157976e-06,"AT1",0.0620347394540943,0.00491400491400491
"59","AC034102.4",0.0468109777508249,0.0502629103998461,"COPD",0.0441783917023034,"AT1",0.00992555831265509,0
"60","AC044849.1",0.000885423366530707,0.193475647075662,"COPD",0.000150704724964395,"AT1",0.0347394540942928,0
"61","AC083843.3",0.00939355781724312,0.115025026617413,"COPD",0.00371190244588039,"AT1",0.0794044665012407,0.0319410319410319
"62","AC090510.1",0.0326546339238081,0.0428503747168694,"COPD",0.0243480086218313,"AT1",0.0124069478908189,0
"63","AC092683.1",0.00223637792545109,0.114810035946786,"COPD",0.000513771536567885,"AT1",0.0570719602977667,0.0122850122850123
"64","AC092747.4",0.0252789470035374,0.062210313777013,"COPD",0.016174593969658,"AT1",0.0347394540942928,0.00982800982800983
"65","AC093157.1",0.0473772606856547,0.0223694749276146,"Normal",0.0463048790639617,"AT1",0,0.00982800982800983
"66","AC093323.1",0.0200739949616532,0.0664694881760025,"COPD",0.0112510953145416,"AT1",0.0272952853598015,0.00491400491400491
"67","AC093484.3",0.0272884071457812,0.0830288144566526,"COPD",0.0180807124821733,"AT1",0.0198511166253102,0.00245700245700246
"68","AC096733.2",0.0468109777508249,0.0243215415270988,"COPD",0.0441784728698333,"AT1",0.00992555831265509,0
"69","AC097376.2",0.00305282823126431,0.0933879632292213,"COPD",0.000807268966927205,"AT1",0.0496277915632754,0.00982800982800983
"70","AC105942.1",0.036724285831638,0.0482756909710796,"COPD",0.0298034661864295,"AT1",0.0272952853598015,0.00737100737100737
"71","AC107375.1",0.0468109777508249,0.0253115157009269,"COPD",0.0441784728698333,"AT1",0.00992555831265509,0
"72","AC107959.1",0.0110091755506073,0.0541568386619817,"Normal",0.00471586580570437,"AT1",0,0.0196560196560197
"73","AC116366.1",0.0326546339238081,0.0300275537515319,"COPD",0.0243480086218313,"AT1",0.0124069478908189,0
"74","AC245041.2",4.16877985578611e-05,0.32844362794671,"COPD",3.60388088041336e-06,"AT1",0.200992555831266,0.085995085995086
"75","AC245140.2",0.0277204959740822,0.110827076931202,"COPD",0.0185411393951683,"AT1",0.0248138957816377,0.00491400491400491
"76","AC245297.3",2.07061956541213e-05,0.249929981797388,"COPD",1.53608630637813e-06,"AT1",0.126550868486352,0.0343980343980344
"77","ACAA2",0.0299235431428352,0.189435834386413,"COPD",0.0211903790540169,"AT1",0.178660049627792,0.125307125307125
"78","ACACA",1.84327616384438e-05,0.367475493521192,"Normal",1.32883504482948e-06,"AT1",0.104218362282878,0.226044226044226
"79","ACAP2",0.00109069693433977,0.241436271164023,"Normal",0.000196410276539796,"AT1",0.104218362282878,0.199017199017199
"80","ACKR1",0.0391325506936404,0.0450515250417651,"COPD",0.0331346307810577,"AT1",0.0223325062034739,0.00491400491400491
"81","ACKR4",0.000821087993730645,0.203264361750163,"COPD",0.000137543905620449,"AT1",0.116625310173697,0.0442260442260442
"82","ACOXL",0.000275077478794427,0.253914120681524,"Normal",3.61229474097379e-05,"AT1",0.0397022332506203,0.117936117936118
"83","ACPP",0.0160207093368283,0.0383385939527183,"Normal",0.00825236658032255,"AT1",0,0.0171990171990172
"84","ACSM3",0.0271653503035994,0.0696676632949672,"Normal",0.0179179172657603,"AT1",0.00992555831265509,0.0343980343980344
"85","ACSS3",0.00121243935380824,0.169230086313752,"Normal",0.000224136261039035,"AT1",0.0223325062034739,0.0786240786240786
"86","ACTG1",0.00244141112291105,0.535991380534598,"COPD",0.000581445984475849,"AT1",0.806451612903226,0.658476658476658
"87","ACTR3B",0.0392200661905421,0.0383494617983097,"Normal",0.0332719436782463,"AT1",0.00744416873449132,0.027027027027027
"88","ACTR3C",0.0173448231321628,0.0841984507715749,"Normal",0.00917828062243375,"AT1",0.0223325062034739,0.058968058968059
"89","ACTR5",0.0405366086555164,0.0287635384642603,"Normal",0.0356862815654157,"AT1",0.00496277915632754,0.0221130221130221
"90","ACTR6",0.0322159324822356,0.0999057581424661,"COPD",0.0235813301776939,"AT1",0.0769230769230769,0.0393120393120393
"91","ACVRL1",0.0390051822011988,0.0581625868197611,"Normal",0.0329429397115954,"AT1",0.00744416873449132,0.027027027027027
"92","ACY1",0.00329937730359021,0.0673122903550374,"Normal",0.00090009934216999,"AT1",0,0.027027027027027
"93","ACYP2",4.67320348180552e-05,0.292259515661432,"Normal",4.12382598603838e-06,"AT1",0.0719602977667494,0.179361179361179
"94","ADAM17",0.00211947501641265,0.22135691390214,"Normal",0.000475502920224197,"AT1",0.101736972704715,0.189189189189189
"95","ADAM23",0.0473772606856547,0.0298155166169444,"Normal",0.0463048790639617,"AT1",0,0.00982800982800983
"96","ADAMTSL1",0.0243185339960402,0.134914206531931,"Normal",0.0153345706442276,"AT1",0.0124069478908189,0.0393120393120393
"97","ADAMTSL3",0.0396558358378423,0.038098676756536,"Normal",0.033856073027246,"AT1",0.00248138957816377,0.0171990171990172
"98","ADCY8",0.0333572338050698,0.0368038765545756,"Normal",0.0257837547568951,"AT1",0,0.0122850122850123
"99","ADCY9",0.00794901832955571,0.280322250628616,"Normal",0.00299366260152876,"AT1",0.176178660049628,0.250614250614251
"100","ADD3",0.0396558358378423,0.074427198679576,"Normal",0.0339815865018751,"AT1",0.0496277915632754,0.0884520884520884
"101","ADGRE3",0.0021410764011176,0.0947696124144569,"COPD",0.000481630108776678,"AT1",0.0421836228287841,0.00491400491400491
"102","ADGRG6",0.0486053660625679,0.0636550667570029,"Normal",0.0481255643634758,"AT1",0.0248138957816377,0.0515970515970516
"103","ADGRL2",0.04443006783265,0.074474135295938,"Normal",0.0405492482672495,"AT1",0.0173697270471464,0.0417690417690418
"104","ADI1",0.0134642763238249,0.287517183400249,"COPD",0.00621056359298173,"AT1",0.339950372208437,0.262899262899263
"105","ADIRF",3.20108929395923e-09,0.802690596153565,"COPD",7.94766411602202e-11,"AT1",0.672456575682382,0.508599508599509
"106","ADK",1.44778286816594e-06,0.619967001420168,"Normal",7.66549708840474e-08,"AT1",0.30272952853598,0.474201474201474
"107","ADNP2",0.0363528849489221,0.113581565100038,"Normal",0.029295662605356,"AT1",0.0446650124069479,0.0810810810810811
"108","ADORA2B",0.0473772606856547,0.0162032110763885,"Normal",0.0463048790639617,"AT1",0,0.00982800982800983
"109","ADRB2",0.0100955765465578,0.269788194275424,"COPD",0.00412520417666705,"AT1",0.325062034739454,0.235872235872236
"110","ADSS",0.0214166917339423,0.129788575208814,"Normal",0.0124284720202956,"AT1",0.101736972704715,0.164619164619165
"111","AFDN",0.0198847634433649,0.302747205346891,"COPD",0.0110636135221833,"AT1",0.419354838709677,0.307125307125307
"112","AFF1",0.00688177746691018,0.251596202489798,"Normal",0.00245348712248651,"AT1",0.166253101736973,0.248157248157248
"113","AFF3",0.0032670226696392,0.175016352945009,"Normal",0.000883454529869528,"AT1",0.0347394540942928,0.0909090909090909
"114","AFMID",0.0233898518600997,0.0642482423786211,"Normal",0.0145530636760417,"AT1",0.0148883374689826,0.0442260442260442
"115","AGAP1",2.02781248975988e-06,0.392517085407163,"Normal",1.09791821910421e-07,"AT1",0.0744416873449131,0.201474201474201
"116","AGAP9",0.00289708121305686,0.0688325284488616,"Normal",0.000741819179891316,"AT1",0.00248138957816377,0.0343980343980344
"117","AGBL1",1.0352581201873e-07,0.339765018522103,"Normal",3.65421651756211e-09,"AT1",0.0148883374689826,0.117936117936118
"118","AGBL2",0.0153078210335307,0.0618301972011612,"COPD",0.00763509267401768,"AT1",0.0173697270471464,0
"119","AGBL4",0.0467042504155828,0.0495281731877751,"Normal",0.0432255311952776,"AT1",0.0173697270471464,0.0417690417690418
"120","AGO2",0.0271938332655647,0.160478915381563,"COPD",0.0179448388225653,"AT1",0.196029776674938,0.135135135135135
"121","AGO4",0.00751281841555239,0.17582279122217,"Normal",0.00277728331367881,"AT1",0.0843672456575682,0.152334152334152
"122","AGPAT3",0.0278852775989294,0.140558851896629,"Normal",0.018709745035716,"AT1",0.0843672456575682,0.135135135135135
"123","AGR3",3.45371588662219e-05,0.533995106999011,"COPD",2.82705241745037e-06,"AT1",0.464019851116625,0.321867321867322
"124","AHCTF1",0.00309523941506932,0.175846908411342,"Normal",0.000820335663102428,"AT1",0.054590570719603,0.12039312039312
"125","AHCYL2",0.000215198313616354,0.327001234961704,"Normal",2.70365814295149e-05,"AT1",0.109181141439206,0.213759213759214
"126","AHI1",0.0122416743919162,0.247137536790626,"Normal",0.00543439165979967,"AT1",0.223325062034739,0.304668304668305
"127","AHNAK",0.00170461415067636,0.439354496511285,"COPD",0.000352854619284487,"AT1",0.580645161290323,0.486486486486487
"128","AIDA",0.0403994537037526,0.132948207562548,"COPD",0.0354641297226313,"AT1",0.121588089330025,0.0786240786240786
"129","AIFM1",0.036188804132082,0.0610919851821819,"Normal",0.0291028344053219,"AT1",0.0223325062034739,0.0515970515970516
"130","AIMP1",0.0422168238156682,0.178238572587459,"COPD",0.0377589898919677,"AT1",0.186104218362283,0.137592137592138
"131","AIMP2",0.0421624406015114,0.08735790752576,"Normal",0.037647288422229,"AT1",0.0620347394540943,0.103194103194103
"132","AIP",0.00924893143225854,0.182367603971723,"COPD",0.00362412217990043,"AT1",0.13151364764268,0.0712530712530713
"133","AK6",0.0416328646388929,0.107729806470664,"COPD",0.037074794504931,"AT1",0.104218362282878,0.0638820638820639
"134","AKAP11",0.00408076214113072,0.219947418458778,"COPD",0.00118589016042814,"AT1",0.176178660049628,0.0982800982800983
"135","AKAP13",0.00585416439996559,0.373020447444232,"Normal",0.00194905323875612,"AT1",0.444168734491315,0.574938574938575
"136","AKAP7",9.33342210993412e-11,0.454482016916601,"Normal",1.36804571757934e-12,"AT1",0.032258064516129,0.189189189189189
"137","AKIRIN1",0.0231571589405039,0.189497824535544,"COPD",0.0140480760787741,"AT1",0.166253101736973,0.110565110565111
"138","AKR1E2",0.0333572338050698,0.0280048623518519,"Normal",0.0257837547568951,"AT1",0,0.0122850122850123
"139","AKR7A2",0.0212141629002016,0.14897756612172,"COPD",0.0122538284655367,"AT1",0.133995037220844,0.0810810810810811
"140","AKT3",0.0107713348558331,0.120261602318541,"Normal",0.00453987759852492,"AT1",0.0297766749379653,0.0737100737100737
"141","AL021368.2",0.00696712803672365,0.0745555169057495,"COPD",0.00249049297154794,"AT1",0.0397022332506203,0.00737100737100737
"142","AL022068.1",0.0385189556339082,0.0668642484138375,"Normal",0.0319726638802195,"AT1",0.00744416873449132,0.027027027027027
"143","AL024507.2",0.0326546339238081,0.0631816949104513,"COPD",0.0243479649392226,"AT1",0.0124069478908189,0
