"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ZNF32",7.65884469985209e-13,0.702421019514101,0.128,0.047,2.07707868259989e-08,"COPD","ZNF32"
"GPAA1",8.20481637754725e-13,0.763580824611855,0.183,0.085,2.22514620159081e-08,"COPD","GPAA1"
"FUS",8.25635705316232e-13,0.450178093856484,0.618,0.508,2.23912403281762e-08,"COPD","FUS"
"HDGF",8.49079910085593e-13,0.704996506281917,0.197,0.096,2.30270471615213e-08,"COPD","HDGF"
"GIPC1",8.49829672446603e-13,0.637901175313346,0.168,0.074,2.30473807167519e-08,"COPD","GIPC1"
"TYMP",8.56368077173391e-13,0.793107687072724,0.215,0.113,2.32247022529424e-08,"COPD","TYMP"
"BOD1",8.58224001042538e-13,0.428767555986686,0.119,0.041,2.32750349082736e-08,"COPD","BOD1"
"AP1S1",8.59448294815507e-13,0.593196643446183,0.133,0.05,2.33082377553965e-08,"COPD","AP1S1"
"SAP30",9.04411392266429e-13,0.672531002425048,0.143,0.058,2.45276369582656e-08,"COPD","SAP30"
"GADD45GIP1",9.20575426600803e-13,0.78540937722016,0.299,0.19,2.49660055694138e-08,"COPD","GADD45GIP1"
"NOC2L",9.4038256168523e-13,0.668857306358365,0.15,0.062,2.55031750729035e-08,"COPD","NOC2L"
"CENPE",9.42841053489162e-13,0.402449799238795,0.108,0.035,2.55698493706261e-08,"COPD","CENPE"
"YPEL5",9.61093970574062e-13,0.666150697354648,0.439,0.339,2.60648684819686e-08,"COPD","YPEL5"
"UBL5",9.71170191967265e-13,0.450977110553629,0.574,0.49,2.63381356061522e-08,"COPD","UBL5"
"SERBP1",9.76720213890394e-13,0.561725706117733,0.479,0.373,2.64886522007075e-08,"COPD","SERBP1"
"FAM98A",1.0164062928659e-12,0.436261332705172,0.102,0.031,2.75649386625231e-08,"COPD","FAM98A"
"TUBGCP2",1.02042098501082e-12,0.648725038939915,0.169,0.076,2.76738171134935e-08,"COPD","TUBGCP2"
"RGS10",1.03818058703006e-12,0.601584949269382,0.343,0.218,2.81554575202551e-08,"COPD","RGS10"
"CUEDC2",1.06809386767816e-12,0.64366358274175,0.165,0.073,2.89667056914316e-08,"COPD","CUEDC2"
"UBE2M",1.09951144550269e-12,0.767586316907288,0.216,0.114,2.98187504020329e-08,"COPD","UBE2M"
"IER2",1.1635490905426e-12,0.389734469204658,0.624,0.516,3.15554513355153e-08,"COPD","IER2"
"SLC25A1",1.21606590896518e-12,0.632701458669091,0.131,0.05,3.29797074511358e-08,"COPD","SLC25A1"
"MYOF",1.22944449866893e-12,0.302131586961666,0.105,0.033,3.33425348039013e-08,"COPD","MYOF"
"HMG20B",1.42738036343794e-12,0.500708004178013,0.144,0.059,3.8710555456437e-08,"COPD","HMG20B"
"PSMG3",1.43543839927638e-12,0.576598131762883,0.156,0.066,3.89290893883754e-08,"COPD","PSMG3"
"NMB",1.50618988997896e-12,0.663470208511155,0.1,0.03,4.08478698162295e-08,"COPD","NMB"
"C6orf120",1.50661763927927e-12,0.577562192475036,0.104,0.033,4.08594703772537e-08,"COPD","C6orf120"
"TMEM214",1.52544499259324e-12,0.498864505449184,0.101,0.031,4.13700681991288e-08,"COPD","TMEM214"
"FABP5",1.57098415708382e-12,0.819248247969274,0.204,0.104,4.26050903401131e-08,"COPD","FABP5"
"TXN",1.60526195222882e-12,0.549379146848333,0.453,0.359,4.35347041444457e-08,"COPD","TXN"
"CREB3",1.67257271558776e-12,0.614690981457719,0.131,0.05,4.53601720467401e-08,"COPD","CREB3"
"STAT1",1.71551618968746e-12,0.595596292634982,0.233,0.125,4.65247990643238e-08,"COPD","STAT1"
"ASF1A",1.75671234987418e-12,0.788174655910363,0.131,0.051,4.76420389285878e-08,"COPD","ASF1A"
"YTHDF1",1.83379314763993e-12,0.604714463797349,0.106,0.035,4.9732470163995e-08,"COPD","YTHDF1"
"PGP",1.85397874154884e-12,0.766840954041724,0.186,0.09,5.02799034708046e-08,"COPD","PGP"
"NPM3",1.87262584679295e-12,0.44362906139084,0.116,0.04,5.07856129650247e-08,"COPD","NPM3"
"PLOD3",2.01999098045807e-12,0.544088627592676,0.116,0.041,5.47821553900228e-08,"COPD","PLOD3"
"HELLS",2.1730837449817e-12,0.574101549240013,0.131,0.05,5.89340311639038e-08,"COPD","HELLS"
"GEMIN6",2.18023192994963e-12,0.451104864238647,0.1,0.03,5.91278899402338e-08,"COPD","GEMIN6"
"MTA1",2.18280233077976e-12,0.436508245655409,0.109,0.036,5.9197599210747e-08,"COPD","MTA1"
"NXT1",2.2033137301968e-12,0.688598687315076,0.217,0.113,5.97538683629373e-08,"COPD","NXT1"
"C6orf48",2.20672108335923e-12,1.29062063058924,0.199,0.114,5.98462757807024e-08,"COPD","C6orf48"
"C4orf48",2.27401944551622e-12,0.749774809197219,0.263,0.155,6.16714073623999e-08,"COPD","C4orf48"
"NIPA2",2.35313218481947e-12,0.513835829285229,0.169,0.076,6.3816944852304e-08,"COPD","NIPA2"
"SMS",2.39391264497018e-12,0.872299808207786,0.207,0.111,6.49229109315912e-08,"COPD","SMS"
"BAD",2.44479653712448e-12,0.673743174182299,0.175,0.082,6.63028820868158e-08,"COPD","BAD"
"C11orf68",2.52495218141844e-12,0.518856387822143,0.105,0.034,6.84767031600681e-08,"COPD","C11orf68"
"REXO2",2.54693137678739e-12,0.734754617149001,0.189,0.092,6.9072778938474e-08,"COPD","REXO2"
"PERP",2.57568513434595e-12,0.66458134627007,0.177,0.082,6.98525808434622e-08,"COPD","PERP"
"POLR3GL",2.60032774439626e-12,0.771629993875261,0.241,0.136,7.05208884280266e-08,"COPD","POLR3GL"
"LARP7",2.6032597527797e-12,0.652335177304567,0.242,0.136,7.06004044953856e-08,"COPD","LARP7"
"CENPX",2.65372680941547e-12,0.862045432577554,0.191,0.099,7.19690710713474e-08,"COPD","CENPX"
"MARCKSL1",2.69183611416701e-12,0.811616970385122,0.21,0.111,7.30025954162093e-08,"COPD","MARCKSL1"
"EDF1",2.70003265854634e-12,0.478717156606181,0.58,0.48,7.32248856997767e-08,"COPD","EDF1"
"WSB2",2.73750965339104e-12,0.560452810731762,0.143,0.058,7.42412617999651e-08,"COPD","WSB2"
"TMEM60",2.74735376581884e-12,0.440329410176952,0.11,0.037,7.45082341290069e-08,"COPD","TMEM60"
"BASP1",2.7493290424943e-12,0.73110470307266,0.143,0.06,7.45618036324453e-08,"COPD","BASP1"
"SLC25A6",2.75766431684573e-12,0.433256243023439,0.655,0.576,7.47878562728563e-08,"COPD","SLC25A6"
"TMCO3",2.82941497036991e-12,0.423900515611166,0.122,0.044,7.67337339964319e-08,"COPD","TMCO3"
"SMIM10L1",2.91878267656613e-12,0.697778350238066,0.186,0.09,7.91573861884734e-08,"COPD","SMIM10L1"
"C22orf39",3.01906471665535e-12,0.707391345567509,0.115,0.041,8.1877035115693e-08,"COPD","C22orf39"
"IFT20",3.04601581433491e-12,0.812913287302075,0.131,0.052,8.26079488847628e-08,"COPD","IFT20"
"DNAJC10",3.14171865583894e-12,0.39263902969865,0.131,0.051,8.52034099463522e-08,"COPD","DNAJC10"
"CLPTM1L",3.24542803703099e-12,0.500132603119925,0.161,0.071,8.80160083642804e-08,"COPD","CLPTM1L"
"DYNC1LI2",3.27209182819745e-12,0.721706774597251,0.161,0.073,8.87391303807149e-08,"COPD","DYNC1LI2"
"NBEAL1",3.32046142767024e-12,0.792880228709811,0.362,0.249,9.00509139184168e-08,"COPD","NBEAL1"
"CCT5",3.4014109806689e-12,0.729408671400271,0.205,0.104,9.22462657957405e-08,"COPD","CCT5"
"SNAPC2",3.46434765346043e-12,0.635797204979325,0.112,0.039,9.39531083618468e-08,"COPD","SNAPC2"
"ARHGAP18",3.47863488013574e-12,0.629775909886116,0.236,0.129,9.43405779492814e-08,"COPD","ARHGAP18"
"DDX5",3.6017808165365e-12,0.218689119468022,0.85,0.806,9.768029574447e-08,"COPD","DDX5"
"ZYX",3.63087382467646e-12,0.703573022620601,0.23,0.126,9.84692981252257e-08,"COPD","ZYX"
"ACTL6A",3.71144093306617e-12,0.661528595207827,0.114,0.041,1.00654278104754e-07,"COPD","ACTL6A"
"COPS7A",3.71146831551979e-12,0.519039903199489,0.115,0.041,1.00655020716897e-07,"COPD","COPS7A"
"RECQL",3.91624384679053e-12,0.681246008286146,0.222,0.119,1.06208533124959e-07,"COPD","RECQL"
"MRPL23",4.09791818301422e-12,0.680520541752804,0.196,0.098,1.11135541123346e-07,"COPD","MRPL23"
"S100A11",4.13075462623663e-12,0.447381815681849,0.554,0.471,1.12026065463537e-07,"COPD","S100A11"
"TIMM13",4.15532192929352e-12,0.899916837976637,0.211,0.118,1.1269233072244e-07,"COPD","TIMM13"
"SERTAD1",4.23001245244309e-12,0.639139753716165,0.263,0.155,1.14717937710257e-07,"COPD","SERTAD1"
"PDCD2",4.32653509543465e-12,0.710269457740394,0.231,0.127,1.17335631788188e-07,"COPD","PDCD2"
"IRAK1",4.4085432729536e-12,0.54274564661399,0.171,0.079,1.19559693562502e-07,"COPD","IRAK1"
"TSPAN17",4.63568233057751e-12,0.545519168585482,0.105,0.035,1.25719704805262e-07,"COPD","TSPAN17"
"PEBP1",4.7942960338982e-12,0.602312646842073,0.395,0.274,1.30021308439319e-07,"COPD","PEBP1"
"APRT",4.94267384468262e-12,0.546190629746324,0.488,0.376,1.34045314667793e-07,"COPD","APRT"
"DEK",5.26975359625032e-12,0.504829343600473,0.449,0.351,1.42915717530309e-07,"COPD","DEK"
"KDSR",5.30030042729024e-12,0.547547144458351,0.179,0.085,1.43744147588111e-07,"COPD","KDSR"
"C19orf53",5.45516438632488e-12,0.557979706510576,0.434,0.333,1.47944058157131e-07,"COPD","C19orf53"
"TCEAL4",5.54458265381321e-12,0.496525081947703,0.133,0.053,1.50369081571414e-07,"COPD","TCEAL4"
"BRD2",5.61986693469391e-12,0.434399212641793,0.522,0.398,1.52410791268899e-07,"COPD","BRD2"
"PNMA1",5.71275706494102e-12,0.53319480995627,0.111,0.039,1.54929971601201e-07,"COPD","PNMA1"
"COX7C",5.74972660389841e-12,0.312250457351197,0.765,0.701,1.55932585497725e-07,"COPD","COX7C"
"TAF10",5.9510288636566e-12,0.694406258005936,0.25,0.143,1.61391902782367e-07,"COPD","TAF10"
"ZDHHC16",5.97444609186336e-12,0.351141166940722,0.105,0.035,1.62026978011334e-07,"COPD","ZDHHC16"
"DYNLL2",5.98078089299612e-12,0.604622036094652,0.19,0.094,1.62198777818055e-07,"COPD","DYNLL2"
"WDR55",6.03951605318012e-12,0.796490550190555,0.109,0.038,1.63791675362245e-07,"COPD","WDR55"
"POLDIP2",6.16137860331486e-12,0.616746462815918,0.137,0.056,1.67096587721899e-07,"COPD","POLDIP2"
