"","experiment","accession","counts"
"2358","GSE161382","GSM3489182",0
"2359","GSE167295","GSM3489182",0
"2360","GSE168191","GSM3489182",0
"2361","GSE169471","GSM3489182",0
"2362","GSE171524","GSM3489182",0
"2363","GSE173896","GSM3489182",0
"2364","GSE181388","GSM3489182",0
"2365","GSE196303","GSM3489182",0
"2366","GSE196341","GSM3489182",0
"2367","GSE227136","GSM3489182",0
"2368","HCL","GSM3489182",0
"2369","HTAN_MSK","GSM3489182",0
"2370","munich_cohort_human","GSM3489182",0
"2371","P115_Syn21041850_Lung_scRNASEQ","GSM3489182",0
"2372","P86_COVID19CELLATLAS_Lung_Parenchyma_scRNASEQ","GSM3489182",0
"2373","P87_COVID19CELLATLAS_Lung_Bronchi_scRNASEQ","GSM3489182",0
"2374","P88_COVID19CELLATLAS_Lung_Nasal_scRNASEQ","GSM3489182",0
"2375","P90_COVID19CELLATLAS_Lung_scRNASEQ","GSM3489182",0
"2376","P91_COVID19CELLATLAS_Lung_scRNASEQ","GSM3489182",0
"2377","Travaglini_Krasnow_2020","GSM3489182",0
"2378","Vieira_Teichmann_2019","GSM3489182",0
"2379","E-MTAB-11278","GSM3489185",0
"2380","EGAS00001004481","GSM3489185",0
"2381","ERP114453","GSM3489185",0
"2382","Fib_Atlas","GSM3489185",0
"2383","GSE121080","GSM3489185",0
"2384","GSE122960","GSM3489185",28
"2385","GSE126030","GSM3489185",0
"2386","GSE132771","GSM3489185",0
"2387","GSE132914","GSM3489185",0
"2388","GSE134355","GSM3489185",0
"2389","GSE135893","GSM3489185",0
"2390","GSE136831","GSM3489185",0
"2391","GSE137026","GSM3489185",0
"2392","GSE139534","GSM3489185",0
"2393","GSE139555","GSM3489185",0
"2394","GSE139819","GSM3489185",0
"2395","GSE150247","GSM3489185",0
"2396","GSE157376","GSM3489185",0
"2397","GSE158942","GSM3489185",0
"2398","GSE160664","GSM3489185",0
"2399","GSE161382","GSM3489185",0
"2400","GSE167295","GSM3489185",0
"2401","GSE168191","GSM3489185",0
"2402","GSE169471","GSM3489185",0
"2403","GSE171524","GSM3489185",0
"2404","GSE173896","GSM3489185",0
"2405","GSE181388","GSM3489185",0
"2406","GSE196303","GSM3489185",0
"2407","GSE196341","GSM3489185",0
"2408","GSE227136","GSM3489185",0
"2409","HCL","GSM3489185",0
"2410","HTAN_MSK","GSM3489185",0
"2411","munich_cohort_human","GSM3489185",0
"2412","P115_Syn21041850_Lung_scRNASEQ","GSM3489185",0
"2413","P86_COVID19CELLATLAS_Lung_Parenchyma_scRNASEQ","GSM3489185",0
"2414","P87_COVID19CELLATLAS_Lung_Bronchi_scRNASEQ","GSM3489185",0
"2415","P88_COVID19CELLATLAS_Lung_Nasal_scRNASEQ","GSM3489185",0
"2416","P90_COVID19CELLATLAS_Lung_scRNASEQ","GSM3489185",0
"2417","P91_COVID19CELLATLAS_Lung_scRNASEQ","GSM3489185",0
"2418","Travaglini_Krasnow_2020","GSM3489185",0
"2419","Vieira_Teichmann_2019","GSM3489185",0
"2420","E-MTAB-11278","GSM3489187",0
"2421","EGAS00001004481","GSM3489187",0
"2422","ERP114453","GSM3489187",0
"2423","Fib_Atlas","GSM3489187",0
"2424","GSE121080","GSM3489187",0
"2425","GSE122960","GSM3489187",35
"2426","GSE126030","GSM3489187",0
"2427","GSE132771","GSM3489187",0
"2428","GSE132914","GSM3489187",0
"2429","GSE134355","GSM3489187",0
"2430","GSE135893","GSM3489187",0
"2431","GSE136831","GSM3489187",0
"2432","GSE137026","GSM3489187",0
"2433","GSE139534","GSM3489187",0
"2434","GSE139555","GSM3489187",0
"2435","GSE139819","GSM3489187",0
"2436","GSE150247","GSM3489187",0
"2437","GSE157376","GSM3489187",0
"2438","GSE158942","GSM3489187",0
"2439","GSE160664","GSM3489187",0
"2440","GSE161382","GSM3489187",0
"2441","GSE167295","GSM3489187",0
"2442","GSE168191","GSM3489187",0
"2443","GSE169471","GSM3489187",0
"2444","GSE171524","GSM3489187",0
"2445","GSE173896","GSM3489187",0
"2446","GSE181388","GSM3489187",0
"2447","GSE196303","GSM3489187",0
"2448","GSE196341","GSM3489187",0
"2449","GSE227136","GSM3489187",0
"2450","HCL","GSM3489187",0
"2451","HTAN_MSK","GSM3489187",0
"2452","munich_cohort_human","GSM3489187",0
"2453","P115_Syn21041850_Lung_scRNASEQ","GSM3489187",0
"2454","P86_COVID19CELLATLAS_Lung_Parenchyma_scRNASEQ","GSM3489187",0
"2455","P87_COVID19CELLATLAS_Lung_Bronchi_scRNASEQ","GSM3489187",0
"2456","P88_COVID19CELLATLAS_Lung_Nasal_scRNASEQ","GSM3489187",0
"2457","P90_COVID19CELLATLAS_Lung_scRNASEQ","GSM3489187",0
"2458","P91_COVID19CELLATLAS_Lung_scRNASEQ","GSM3489187",0
"2459","Travaglini_Krasnow_2020","GSM3489187",0
"2460","Vieira_Teichmann_2019","GSM3489187",0
"2461","E-MTAB-11278","GSM3489189",0
"2462","EGAS00001004481","GSM3489189",0
"2463","ERP114453","GSM3489189",0
"2464","Fib_Atlas","GSM3489189",0
"2465","GSE121080","GSM3489189",0
"2466","GSE122960","GSM3489189",28
"2467","GSE126030","GSM3489189",0
"2468","GSE132771","GSM3489189",0
"2469","GSE132914","GSM3489189",0
"2470","GSE134355","GSM3489189",0
"2471","GSE135893","GSM3489189",0
"2472","GSE136831","GSM3489189",0
"2473","GSE137026","GSM3489189",0
"2474","GSE139534","GSM3489189",0
"2475","GSE139555","GSM3489189",0
"2476","GSE139819","GSM3489189",0
"2477","GSE150247","GSM3489189",0
"2478","GSE157376","GSM3489189",0
"2479","GSE158942","GSM3489189",0
"2480","GSE160664","GSM3489189",0
"2481","GSE161382","GSM3489189",0
"2482","GSE167295","GSM3489189",0
"2483","GSE168191","GSM3489189",0
"2484","GSE169471","GSM3489189",0
"2485","GSE171524","GSM3489189",0
"2486","GSE173896","GSM3489189",0
"2487","GSE181388","GSM3489189",0
"2488","GSE196303","GSM3489189",0
"2489","GSE196341","GSM3489189",0
"2490","GSE227136","GSM3489189",0
"2491","HCL","GSM3489189",0
"2492","HTAN_MSK","GSM3489189",0
"2493","munich_cohort_human","GSM3489189",0
"2494","P115_Syn21041850_Lung_scRNASEQ","GSM3489189",0
"2495","P86_COVID19CELLATLAS_Lung_Parenchyma_scRNASEQ","GSM3489189",0
"2496","P87_COVID19CELLATLAS_Lung_Bronchi_scRNASEQ","GSM3489189",0
"2497","P88_COVID19CELLATLAS_Lung_Nasal_scRNASEQ","GSM3489189",0
"2498","P90_COVID19CELLATLAS_Lung_scRNASEQ","GSM3489189",0
"2499","P91_COVID19CELLATLAS_Lung_scRNASEQ","GSM3489189",0
"2500","Travaglini_Krasnow_2020","GSM3489189",0
"2501","Vieira_Teichmann_2019","GSM3489189",0
"2502","E-MTAB-11278","GSM3489191",0
"2503","EGAS00001004481","GSM3489191",0
"2504","ERP114453","GSM3489191",0
"2505","Fib_Atlas","GSM3489191",0
"2506","GSE121080","GSM3489191",0
"2507","GSE122960","GSM3489191",29
"2508","GSE126030","GSM3489191",0
"2509","GSE132771","GSM3489191",0
"2510","GSE132914","GSM3489191",0
"2511","GSE134355","GSM3489191",0
"2512","GSE135893","GSM3489191",0
"2513","GSE136831","GSM3489191",0
"2514","GSE137026","GSM3489191",0
"2515","GSE139534","GSM3489191",0
"2516","GSE139555","GSM3489191",0
"2517","GSE139819","GSM3489191",0
"2518","GSE150247","GSM3489191",0
"2519","GSE157376","GSM3489191",0
"2520","GSE158942","GSM3489191",0
"2521","GSE160664","GSM3489191",0
"2522","GSE161382","GSM3489191",0
"2523","GSE167295","GSM3489191",0
"2524","GSE168191","GSM3489191",0
"2525","GSE169471","GSM3489191",0
"2526","GSE171524","GSM3489191",0
"2527","GSE173896","GSM3489191",0
"2528","GSE181388","GSM3489191",0
"2529","GSE196303","GSM3489191",0
"2530","GSE196341","GSM3489191",0
"2531","GSE227136","GSM3489191",0
"2532","HCL","GSM3489191",0
"2533","HTAN_MSK","GSM3489191",0
"2534","munich_cohort_human","GSM3489191",0
"2535","P115_Syn21041850_Lung_scRNASEQ","GSM3489191",0
"2536","P86_COVID19CELLATLAS_Lung_Parenchyma_scRNASEQ","GSM3489191",0
"2537","P87_COVID19CELLATLAS_Lung_Bronchi_scRNASEQ","GSM3489191",0
"2538","P88_COVID19CELLATLAS_Lung_Nasal_scRNASEQ","GSM3489191",0
"2539","P90_COVID19CELLATLAS_Lung_scRNASEQ","GSM3489191",0
"2540","P91_COVID19CELLATLAS_Lung_scRNASEQ","GSM3489191",0
"2541","Travaglini_Krasnow_2020","GSM3489191",0
"2542","Vieira_Teichmann_2019","GSM3489191",0
"2543","E-MTAB-11278","GSM3489193",0
"2544","EGAS00001004481","GSM3489193",0
"2545","ERP114453","GSM3489193",0
"2546","Fib_Atlas","GSM3489193",0
"2547","GSE121080","GSM3489193",0
"2548","GSE122960","GSM3489193",27
"2549","GSE126030","GSM3489193",0
"2550","GSE132771","GSM3489193",0
"2551","GSE132914","GSM3489193",0
"2552","GSE134355","GSM3489193",0
"2553","GSE135893","GSM3489193",0
"2554","GSE136831","GSM3489193",0
"2555","GSE137026","GSM3489193",0
"2556","GSE139534","GSM3489193",0
"2557","GSE139555","GSM3489193",0
"2558","GSE139819","GSM3489193",0
"2559","GSE150247","GSM3489193",0
"2560","GSE157376","GSM3489193",0
"2561","GSE158942","GSM3489193",0
"2562","GSE160664","GSM3489193",0
"2563","GSE161382","GSM3489193",0
"2564","GSE167295","GSM3489193",0
"2565","GSE168191","GSM3489193",0
"2566","GSE169471","GSM3489193",0
"2567","GSE171524","GSM3489193",0
"2568","GSE173896","GSM3489193",0
"2569","GSE181388","GSM3489193",0
"2570","GSE196303","GSM3489193",0
"2571","GSE196341","GSM3489193",0
"2572","GSE227136","GSM3489193",0
"2573","HCL","GSM3489193",0
"2574","HTAN_MSK","GSM3489193",0
"2575","munich_cohort_human","GSM3489193",0
"2576","P115_Syn21041850_Lung_scRNASEQ","GSM3489193",0
"2577","P86_COVID19CELLATLAS_Lung_Parenchyma_scRNASEQ","GSM3489193",0
"2578","P87_COVID19CELLATLAS_Lung_Bronchi_scRNASEQ","GSM3489193",0
"2579","P88_COVID19CELLATLAS_Lung_Nasal_scRNASEQ","GSM3489193",0
"2580","P90_COVID19CELLATLAS_Lung_scRNASEQ","GSM3489193",0
"2581","P91_COVID19CELLATLAS_Lung_scRNASEQ","GSM3489193",0
"2582","Travaglini_Krasnow_2020","GSM3489193",0
"2583","Vieira_Teichmann_2019","GSM3489193",0
"2584","E-MTAB-11278","GSM3489195",0
"2585","EGAS00001004481","GSM3489195",0
"2586","ERP114453","GSM3489195",0
"2587","Fib_Atlas","GSM3489195",0
"2588","GSE121080","GSM3489195",0
"2589","GSE122960","GSM3489195",54
"2590","GSE126030","GSM3489195",0
"2591","GSE132771","GSM3489195",0
"2592","GSE132914","GSM3489195",0
"2593","GSE134355","GSM3489195",0
"2594","GSE135893","GSM3489195",0
"2595","GSE136831","GSM3489195",0
"2596","GSE137026","GSM3489195",0
"2597","GSE139534","GSM3489195",0
"2598","GSE139555","GSM3489195",0
"2599","GSE139819","GSM3489195",0
"2600","GSE150247","GSM3489195",0
"2601","GSE157376","GSM3489195",0
"2602","GSE158942","GSM3489195",0
"2603","GSE160664","GSM3489195",0
"2604","GSE161382","GSM3489195",0
"2605","GSE167295","GSM3489195",0
"2606","GSE168191","GSM3489195",0
"2607","GSE169471","GSM3489195",0
"2608","GSE171524","GSM3489195",0
"2609","GSE173896","GSM3489195",0
"2610","GSE181388","GSM3489195",0
"2611","GSE196303","GSM3489195",0
"2612","GSE196341","GSM3489195",0
"2613","GSE227136","GSM3489195",0
"2614","HCL","GSM3489195",0
"2615","HTAN_MSK","GSM3489195",0
"2616","munich_cohort_human","GSM3489195",0
"2617","P115_Syn21041850_Lung_scRNASEQ","GSM3489195",0
"2618","P86_COVID19CELLATLAS_Lung_Parenchyma_scRNASEQ","GSM3489195",0
"2619","P87_COVID19CELLATLAS_Lung_Bronchi_scRNASEQ","GSM3489195",0
"2620","P88_COVID19CELLATLAS_Lung_Nasal_scRNASEQ","GSM3489195",0
"2621","P90_COVID19CELLATLAS_Lung_scRNASEQ","GSM3489195",0
"2622","P91_COVID19CELLATLAS_Lung_scRNASEQ","GSM3489195",0
"2623","Travaglini_Krasnow_2020","GSM3489195",0
"2624","Vieira_Teichmann_2019","GSM3489195",0
"2625","E-MTAB-11278","GSM3489197",0
"2626","EGAS00001004481","GSM3489197",0
"2627","ERP114453","GSM3489197",0
"2628","Fib_Atlas","GSM3489197",0
"2629","GSE121080","GSM3489197",0
"2630","GSE122960","GSM3489197",49
"2631","GSE126030","GSM3489197",0
"2632","GSE132771","GSM3489197",0
"2633","GSE132914","GSM3489197",0
"2634","GSE134355","GSM3489197",0
"2635","GSE135893","GSM3489197",0
"2636","GSE136831","GSM3489197",0
"2637","GSE137026","GSM3489197",0
"2638","GSE139534","GSM3489197",0
"2639","GSE139555","GSM3489197",0
"2640","GSE139819","GSM3489197",0
"2641","GSE150247","GSM3489197",0
"2642","GSE157376","GSM3489197",0
"2643","GSE158942","GSM3489197",0
"2644","GSE160664","GSM3489197",0
"2645","GSE161382","GSM3489197",0
"2646","GSE167295","GSM3489197",0
"2647","GSE168191","GSM3489197",0
"2648","GSE169471","GSM3489197",0
"2649","GSE171524","GSM3489197",0
"2650","GSE173896","GSM3489197",0
"2651","GSE181388","GSM3489197",0
"2652","GSE196303","GSM3489197",0
"2653","GSE196341","GSM3489197",0
"2654","GSE227136","GSM3489197",0
"2655","HCL","GSM3489197",0
"2656","HTAN_MSK","GSM3489197",0
"2657","munich_cohort_human","GSM3489197",0
"2658","P115_Syn21041850_Lung_scRNASEQ","GSM3489197",0
"2659","P86_COVID19CELLATLAS_Lung_Parenchyma_scRNASEQ","GSM3489197",0
"2660","P87_COVID19CELLATLAS_Lung_Bronchi_scRNASEQ","GSM3489197",0
"2661","P88_COVID19CELLATLAS_Lung_Nasal_scRNASEQ","GSM3489197",0
"2662","P90_COVID19CELLATLAS_Lung_scRNASEQ","GSM3489197",0
"2663","P91_COVID19CELLATLAS_Lung_scRNASEQ","GSM3489197",0
"2664","Travaglini_Krasnow_2020","GSM3489197",0
"2665","Vieira_Teichmann_2019","GSM3489197",0
"2666","E-MTAB-11278","GSM3589406",0
"2667","EGAS00001004481","GSM3589406",0
"2668","ERP114453","GSM3589406",0
"2669","Fib_Atlas","GSM3589406",0
"2670","GSE121080","GSM3589406",0
"2671","GSE122960","GSM3589406",0
"2672","GSE126030","GSM3589406",15
"2673","GSE132771","GSM3589406",0
"2674","GSE132914","GSM3589406",0
"2675","GSE134355","GSM3589406",0
"2676","GSE135893","GSM3589406",0
"2677","GSE136831","GSM3589406",0
"2678","GSE137026","GSM3589406",0
"2679","GSE139534","GSM3589406",0
"2680","GSE139555","GSM3589406",0
"2681","GSE139819","GSM3589406",0
"2682","GSE150247","GSM3589406",0
"2683","GSE157376","GSM3589406",0
"2684","GSE158942","GSM3589406",0
"2685","GSE160664","GSM3589406",0
"2686","GSE161382","GSM3589406",0
"2687","GSE167295","GSM3589406",0
"2688","GSE168191","GSM3589406",0
"2689","GSE169471","GSM3589406",0
"2690","GSE171524","GSM3589406",0
"2691","GSE173896","GSM3589406",0
"2692","GSE181388","GSM3589406",0
"2693","GSE196303","GSM3589406",0
"2694","GSE196341","GSM3589406",0
"2695","GSE227136","GSM3589406",0
"2696","HCL","GSM3589406",0
"2697","HTAN_MSK","GSM3589406",0
"2698","munich_cohort_human","GSM3589406",0
"2699","P115_Syn21041850_Lung_scRNASEQ","GSM3589406",0
"2700","P86_COVID19CELLATLAS_Lung_Parenchyma_scRNASEQ","GSM3589406",0
"2701","P87_COVID19CELLATLAS_Lung_Bronchi_scRNASEQ","GSM3589406",0
"2702","P88_COVID19CELLATLAS_Lung_Nasal_scRNASEQ","GSM3589406",0
"2703","P90_COVID19CELLATLAS_Lung_scRNASEQ","GSM3589406",0
"2704","P91_COVID19CELLATLAS_Lung_scRNASEQ","GSM3589406",0
"2705","Travaglini_Krasnow_2020","GSM3589406",0
"2706","Vieira_Teichmann_2019","GSM3589406",0
"2707","E-MTAB-11278","GSM3589407",0
"2708","EGAS00001004481","GSM3589407",0
"2709","ERP114453","GSM3589407",0
"2710","Fib_Atlas","GSM3589407",0
"2711","GSE121080","GSM3589407",0
"2712","GSE122960","GSM3589407",0
"2713","GSE126030","GSM3589407",16
"2714","GSE132771","GSM3589407",0
"2715","GSE132914","GSM3589407",0
"2716","GSE134355","GSM3589407",0
"2717","GSE135893","GSM3589407",0
"2718","GSE136831","GSM3589407",0
"2719","GSE137026","GSM3589407",0
"2720","GSE139534","GSM3589407",0
"2721","GSE139555","GSM3589407",0
"2722","GSE139819","GSM3589407",0
"2723","GSE150247","GSM3589407",0
"2724","GSE157376","GSM3589407",0
"2725","GSE158942","GSM3589407",0
"2726","GSE160664","GSM3589407",0
"2727","GSE161382","GSM3589407",0
"2728","GSE167295","GSM3589407",0
"2729","GSE168191","GSM3589407",0
"2730","GSE169471","GSM3589407",0
"2731","GSE171524","GSM3589407",0
"2732","GSE173896","GSM3589407",0
"2733","GSE181388","GSM3589407",0
"2734","GSE196303","GSM3589407",0
"2735","GSE196341","GSM3589407",0
"2736","GSE227136","GSM3589407",0
"2737","HCL","GSM3589407",0
"2738","HTAN_MSK","GSM3589407",0
"2739","munich_cohort_human","GSM3589407",0
"2740","P115_Syn21041850_Lung_scRNASEQ","GSM3589407",0
"2741","P86_COVID19CELLATLAS_Lung_Parenchyma_scRNASEQ","GSM3589407",0
"2742","P87_COVID19CELLATLAS_Lung_Bronchi_scRNASEQ","GSM3589407",0
"2743","P88_COVID19CELLATLAS_Lung_Nasal_scRNASEQ","GSM3589407",0
"2744","P90_COVID19CELLATLAS_Lung_scRNASEQ","GSM3589407",0
"2745","P91_COVID19CELLATLAS_Lung_scRNASEQ","GSM3589407",0
"2746","Travaglini_Krasnow_2020","GSM3589407",0
"2747","Vieira_Teichmann_2019","GSM3589407",0
"2748","E-MTAB-11278","GSM3891620",0
"2749","EGAS00001004481","GSM3891620",0
"2750","ERP114453","GSM3891620",0
"2751","Fib_Atlas","GSM3891620",0
"2752","GSE121080","GSM3891620",0
"2753","GSE122960","GSM3891620",0
"2754","GSE126030","GSM3891620",0
"2755","GSE132771","GSM3891620",117
"2756","GSE132914","GSM3891620",0
"2757","GSE134355","GSM3891620",0
"2758","GSE135893","GSM3891620",0
"2759","GSE136831","GSM3891620",0
"2760","GSE137026","GSM3891620",0
"2761","GSE139534","GSM3891620",0
"2762","GSE139555","GSM3891620",0
"2763","GSE139819","GSM3891620",0
"2764","GSE150247","GSM3891620",0
"2765","GSE157376","GSM3891620",0
"2766","GSE158942","GSM3891620",0
"2767","GSE160664","GSM3891620",0
"2768","GSE161382","GSM3891620",0
"2769","GSE167295","GSM3891620",0
"2770","GSE168191","GSM3891620",0
"2771","GSE169471","GSM3891620",0
"2772","GSE171524","GSM3891620",0
"2773","GSE173896","GSM3891620",0
"2774","GSE181388","GSM3891620",0
"2775","GSE196303","GSM3891620",0
"2776","GSE196341","GSM3891620",0
"2777","GSE227136","GSM3891620",0
"2778","HCL","GSM3891620",0
"2779","HTAN_MSK","GSM3891620",0
"2780","munich_cohort_human","GSM3891620",0
"2781","P115_Syn21041850_Lung_scRNASEQ","GSM3891620",0
"2782","P86_COVID19CELLATLAS_Lung_Parenchyma_scRNASEQ","GSM3891620",0
"2783","P87_COVID19CELLATLAS_Lung_Bronchi_scRNASEQ","GSM3891620",0
"2784","P88_COVID19CELLATLAS_Lung_Nasal_scRNASEQ","GSM3891620",0
"2785","P90_COVID19CELLATLAS_Lung_scRNASEQ","GSM3891620",0
"2786","P91_COVID19CELLATLAS_Lung_scRNASEQ","GSM3891620",0
"2787","Travaglini_Krasnow_2020","GSM3891620",0
"2788","Vieira_Teichmann_2019","GSM3891620",0
"2789","E-MTAB-11278","GSM3891621",0
"2790","EGAS00001004481","GSM3891621",0
"2791","ERP114453","GSM3891621",0
"2792","Fib_Atlas","GSM3891621",0
"2793","GSE121080","GSM3891621",0
"2794","GSE122960","GSM3891621",0
"2795","GSE126030","GSM3891621",0
"2796","GSE132771","GSM3891621",51
"2797","GSE132914","GSM3891621",0
"2798","GSE134355","GSM3891621",0
"2799","GSE135893","GSM3891621",0
"2800","GSE136831","GSM3891621",0
"2801","GSE137026","GSM3891621",0
"2802","GSE139534","GSM3891621",0
"2803","GSE139555","GSM3891621",0
"2804","GSE139819","GSM3891621",0
"2805","GSE150247","GSM3891621",0
"2806","GSE157376","GSM3891621",0
"2807","GSE158942","GSM3891621",0
"2808","GSE160664","GSM3891621",0
"2809","GSE161382","GSM3891621",0
"2810","GSE167295","GSM3891621",0
"2811","GSE168191","GSM3891621",0
"2812","GSE169471","GSM3891621",0
"2813","GSE171524","GSM3891621",0
"2814","GSE173896","GSM3891621",0
"2815","GSE181388","GSM3891621",0
"2816","GSE196303","GSM3891621",0
"2817","GSE196341","GSM3891621",0
"2818","GSE227136","GSM3891621",0
"2819","HCL","GSM3891621",0
"2820","HTAN_MSK","GSM3891621",0
"2821","munich_cohort_human","GSM3891621",0
"2822","P115_Syn21041850_Lung_scRNASEQ","GSM3891621",0
"2823","P86_COVID19CELLATLAS_Lung_Parenchyma_scRNASEQ","GSM3891621",0
"2824","P87_COVID19CELLATLAS_Lung_Bronchi_scRNASEQ","GSM3891621",0
"2825","P88_COVID19CELLATLAS_Lung_Nasal_scRNASEQ","GSM3891621",0
"2826","P90_COVID19CELLATLAS_Lung_scRNASEQ","GSM3891621",0
"2827","P91_COVID19CELLATLAS_Lung_scRNASEQ","GSM3891621",0
"2828","Travaglini_Krasnow_2020","GSM3891621",0
"2829","Vieira_Teichmann_2019","GSM3891621",0
"2830","E-MTAB-11278","GSM3891622",0
"2831","EGAS00001004481","GSM3891622",0
"2832","ERP114453","GSM3891622",0
"2833","Fib_Atlas","GSM3891622",0
"2834","GSE121080","GSM3891622",0
"2835","GSE122960","GSM3891622",0
"2836","GSE126030","GSM3891622",0
"2837","GSE132771","GSM3891622",55
"2838","GSE132914","GSM3891622",0
"2839","GSE134355","GSM3891622",0
"2840","GSE135893","GSM3891622",0
"2841","GSE136831","GSM3891622",0
"2842","GSE137026","GSM3891622",0
"2843","GSE139534","GSM3891622",0
"2844","GSE139555","GSM3891622",0
"2845","GSE139819","GSM3891622",0
"2846","GSE150247","GSM3891622",0
"2847","GSE157376","GSM3891622",0
"2848","GSE158942","GSM3891622",0
"2849","GSE160664","GSM3891622",0
"2850","GSE161382","GSM3891622",0
"2851","GSE167295","GSM3891622",0
"2852","GSE168191","GSM3891622",0
"2853","GSE169471","GSM3891622",0
"2854","GSE171524","GSM3891622",0
"2855","GSE173896","GSM3891622",0
"2856","GSE181388","GSM3891622",0
"2857","GSE196303","GSM3891622",0
"2858","GSE196341","GSM3891622",0
"2859","GSE227136","GSM3891622",0
"2860","HCL","GSM3891622",0
"2861","HTAN_MSK","GSM3891622",0
"2862","munich_cohort_human","GSM3891622",0
"2863","P115_Syn21041850_Lung_scRNASEQ","GSM3891622",0
"2864","P86_COVID19CELLATLAS_Lung_Parenchyma_scRNASEQ","GSM3891622",0
"2865","P87_COVID19CELLATLAS_Lung_Bronchi_scRNASEQ","GSM3891622",0
"2866","P88_COVID19CELLATLAS_Lung_Nasal_scRNASEQ","GSM3891622",0
"2867","P90_COVID19CELLATLAS_Lung_scRNASEQ","GSM3891622",0
"2868","P91_COVID19CELLATLAS_Lung_scRNASEQ","GSM3891622",0
"2869","Travaglini_Krasnow_2020","GSM3891622",0
"2870","Vieira_Teichmann_2019","GSM3891622",0
"2871","E-MTAB-11278","GSM3891623",0
"2872","EGAS00001004481","GSM3891623",0
"2873","ERP114453","GSM3891623",0
"2874","Fib_Atlas","GSM3891623",0
"2875","GSE121080","GSM3891623",0
"2876","GSE122960","GSM3891623",0
"2877","GSE126030","GSM3891623",0
"2878","GSE132771","GSM3891623",63
"2879","GSE132914","GSM3891623",0
"2880","GSE134355","GSM3891623",0
"2881","GSE135893","GSM3891623",0
"2882","GSE136831","GSM3891623",0
"2883","GSE137026","GSM3891623",0
"2884","GSE139534","GSM3891623",0
"2885","GSE139555","GSM3891623",0
"2886","GSE139819","GSM3891623",0
"2887","GSE150247","GSM3891623",0
"2888","GSE157376","GSM3891623",0
"2889","GSE158942","GSM3891623",0
"2890","GSE160664","GSM3891623",0
"2891","GSE161382","GSM3891623",0
"2892","GSE167295","GSM3891623",0
"2893","GSE168191","GSM3891623",0
"2894","GSE169471","GSM3891623",0
"2895","GSE171524","GSM3891623",0
"2896","GSE173896","GSM3891623",0
"2897","GSE181388","GSM3891623",0
"2898","GSE196303","GSM3891623",0
"2899","GSE196341","GSM3891623",0
"2900","GSE227136","GSM3891623",0
"2901","HCL","GSM3891623",0
"2902","HTAN_MSK","GSM3891623",0
"2903","munich_cohort_human","GSM3891623",0
"2904","P115_Syn21041850_Lung_scRNASEQ","GSM3891623",0
"2905","P86_COVID19CELLATLAS_Lung_Parenchyma_scRNASEQ","GSM3891623",0
"2906","P87_COVID19CELLATLAS_Lung_Bronchi_scRNASEQ","GSM3891623",0
"2907","P88_COVID19CELLATLAS_Lung_Nasal_scRNASEQ","GSM3891623",0
"2908","P90_COVID19CELLATLAS_Lung_scRNASEQ","GSM3891623",0
"2909","P91_COVID19CELLATLAS_Lung_scRNASEQ","GSM3891623",0
"2910","Travaglini_Krasnow_2020","GSM3891623",0
"2911","Vieira_Teichmann_2019","GSM3891623",0
"2912","E-MTAB-11278","GSM3891624",0
"2913","EGAS00001004481","GSM3891624",0
"2914","ERP114453","GSM3891624",0
"2915","Fib_Atlas","GSM3891624",0
"2916","GSE121080","GSM3891624",0
"2917","GSE122960","GSM3891624",0
"2918","GSE126030","GSM3891624",0
"2919","GSE132771","GSM3891624",33
"2920","GSE132914","GSM3891624",0
"2921","GSE134355","GSM3891624",0
"2922","GSE135893","GSM3891624",0
"2923","GSE136831","GSM3891624",0
"2924","GSE137026","GSM3891624",0
"2925","GSE139534","GSM3891624",0
"2926","GSE139555","GSM3891624",0
"2927","GSE139819","GSM3891624",0
"2928","GSE150247","GSM3891624",0
"2929","GSE157376","GSM3891624",0
"2930","GSE158942","GSM3891624",0
"2931","GSE160664","GSM3891624",0
"2932","GSE161382","GSM3891624",0
"2933","GSE167295","GSM3891624",0
"2934","GSE168191","GSM3891624",0
"2935","GSE169471","GSM3891624",0
"2936","GSE171524","GSM3891624",0
"2937","GSE173896","GSM3891624",0
"2938","GSE181388","GSM3891624",0
"2939","GSE196303","GSM3891624",0
"2940","GSE196341","GSM3891624",0
"2941","GSE227136","GSM3891624",0
"2942","HCL","GSM3891624",0
"2943","HTAN_MSK","GSM3891624",0
"2944","munich_cohort_human","GSM3891624",0
"2945","P115_Syn21041850_Lung_scRNASEQ","GSM3891624",0
"2946","P86_COVID19CELLATLAS_Lung_Parenchyma_scRNASEQ","GSM3891624",0
"2947","P87_COVID19CELLATLAS_Lung_Bronchi_scRNASEQ","GSM3891624",0
"2948","P88_COVID19CELLATLAS_Lung_Nasal_scRNASEQ","GSM3891624",0
"2949","P90_COVID19CELLATLAS_Lung_scRNASEQ","GSM3891624",0
"2950","P91_COVID19CELLATLAS_Lung_scRNASEQ","GSM3891624",0
"2951","Travaglini_Krasnow_2020","GSM3891624",0
"2952","Vieira_Teichmann_2019","GSM3891624",0
"2953","E-MTAB-11278","GSM3891625",0
"2954","EGAS00001004481","GSM3891625",0
"2955","ERP114453","GSM3891625",0
"2956","Fib_Atlas","GSM3891625",0
"2957","GSE121080","GSM3891625",0
"2958","GSE122960","GSM3891625",0
