"","experiment","accession","counts"
"104","GSE167295","1A1DFBng_LUNG",0
"105","GSE168191","1A1DFBng_LUNG",0
"106","GSE169471","1A1DFBng_LUNG",0
"107","GSE171524","1A1DFBng_LUNG",0
"108","GSE173896","1A1DFBng_LUNG",0
"109","GSE181388","1A1DFBng_LUNG",0
"110","GSE196303","1A1DFBng_LUNG",0
"111","GSE196341","1A1DFBng_LUNG",0
"112","GSE227136","1A1DFBng_LUNG",0
"113","HCL","1A1DFBng_LUNG",0
"114","HTAN_MSK","1A1DFBng_LUNG",0
"115","munich_cohort_human","1A1DFBng_LUNG",0
"116","P115_Syn21041850_Lung_scRNASEQ","1A1DFBng_LUNG",0
"117","P86_COVID19CELLATLAS_Lung_Parenchyma_scRNASEQ","1A1DFBng_LUNG",0
"118","P87_COVID19CELLATLAS_Lung_Bronchi_scRNASEQ","1A1DFBng_LUNG",0
"119","P88_COVID19CELLATLAS_Lung_Nasal_scRNASEQ","1A1DFBng_LUNG",0
"120","P90_COVID19CELLATLAS_Lung_scRNASEQ","1A1DFBng_LUNG",22
"121","P91_COVID19CELLATLAS_Lung_scRNASEQ","1A1DFBng_LUNG",0
"122","Travaglini_Krasnow_2020","1A1DFBng_LUNG",0
"123","Vieira_Teichmann_2019","1A1DFBng_LUNG",0
"124","E-MTAB-11278","343B_0h",0
"125","EGAS00001004481","343B_0h",0
"126","ERP114453","343B_0h",19
"127","Fib_Atlas","343B_0h",0
"128","GSE121080","343B_0h",0
"129","GSE122960","343B_0h",0
"130","GSE126030","343B_0h",0
"131","GSE132771","343B_0h",0
"132","GSE132914","343B_0h",0
"133","GSE134355","343B_0h",0
"134","GSE135893","343B_0h",0
"135","GSE136831","343B_0h",0
"136","GSE137026","343B_0h",0
"137","GSE139534","343B_0h",0
"138","GSE139555","343B_0h",0
"139","GSE139819","343B_0h",0
"140","GSE150247","343B_0h",0
"141","GSE157376","343B_0h",0
"142","GSE158942","343B_0h",0
"143","GSE160664","343B_0h",0
"144","GSE161382","343B_0h",0
"145","GSE167295","343B_0h",0
"146","GSE168191","343B_0h",0
"147","GSE169471","343B_0h",0
"148","GSE171524","343B_0h",0
"149","GSE173896","343B_0h",0
"150","GSE181388","343B_0h",0
"151","GSE196303","343B_0h",0
"152","GSE196341","343B_0h",0
"153","GSE227136","343B_0h",0
"154","HCL","343B_0h",0
"155","HTAN_MSK","343B_0h",0
"156","munich_cohort_human","343B_0h",0
"157","P115_Syn21041850_Lung_scRNASEQ","343B_0h",0
"158","P86_COVID19CELLATLAS_Lung_Parenchyma_scRNASEQ","343B_0h",0
"159","P87_COVID19CELLATLAS_Lung_Bronchi_scRNASEQ","343B_0h",0
"160","P88_COVID19CELLATLAS_Lung_Nasal_scRNASEQ","343B_0h",0
"161","P90_COVID19CELLATLAS_Lung_scRNASEQ","343B_0h",0
"162","P91_COVID19CELLATLAS_Lung_scRNASEQ","343B_0h",0
"163","Travaglini_Krasnow_2020","343B_0h",0
"164","Vieira_Teichmann_2019","343B_0h",0
"165","E-MTAB-11278","343B_24h",0
"166","EGAS00001004481","343B_24h",0
"167","ERP114453","343B_24h",15
"168","Fib_Atlas","343B_24h",0
"169","GSE121080","343B_24h",0
"170","GSE122960","343B_24h",0
"171","GSE126030","343B_24h",0
"172","GSE132771","343B_24h",0
"173","GSE132914","343B_24h",0
"174","GSE134355","343B_24h",0
"175","GSE135893","343B_24h",0
"176","GSE136831","343B_24h",0
"177","GSE137026","343B_24h",0
"178","GSE139534","343B_24h",0
"179","GSE139555","343B_24h",0
"180","GSE139819","343B_24h",0
"181","GSE150247","343B_24h",0
"182","GSE157376","343B_24h",0
"183","GSE158942","343B_24h",0
"184","GSE160664","343B_24h",0
"185","GSE161382","343B_24h",0
"186","GSE167295","343B_24h",0
"187","GSE168191","343B_24h",0
"188","GSE169471","343B_24h",0
"189","GSE171524","343B_24h",0
"190","GSE173896","343B_24h",0
"191","GSE181388","343B_24h",0
"192","GSE196303","343B_24h",0
"193","GSE196341","343B_24h",0
"194","GSE227136","343B_24h",0
"195","HCL","343B_24h",0
"196","HTAN_MSK","343B_24h",0
"197","munich_cohort_human","343B_24h",0
"198","P115_Syn21041850_Lung_scRNASEQ","343B_24h",0
"199","P86_COVID19CELLATLAS_Lung_Parenchyma_scRNASEQ","343B_24h",0
"200","P87_COVID19CELLATLAS_Lung_Bronchi_scRNASEQ","343B_24h",0
"201","P88_COVID19CELLATLAS_Lung_Nasal_scRNASEQ","343B_24h",0
"202","P90_COVID19CELLATLAS_Lung_scRNASEQ","343B_24h",0
"203","P91_COVID19CELLATLAS_Lung_scRNASEQ","343B_24h",0
"204","Travaglini_Krasnow_2020","343B_24h",0
"205","Vieira_Teichmann_2019","343B_24h",0
"206","E-MTAB-11278","343B_72h",0
"207","EGAS00001004481","343B_72h",0
"208","ERP114453","343B_72h",31
"209","Fib_Atlas","343B_72h",0
"210","GSE121080","343B_72h",0
"211","GSE122960","343B_72h",0
"212","GSE126030","343B_72h",0
"213","GSE132771","343B_72h",0
"214","GSE132914","343B_72h",0
"215","GSE134355","343B_72h",0
"216","GSE135893","343B_72h",0
"217","GSE136831","343B_72h",0
"218","GSE137026","343B_72h",0
"219","GSE139534","343B_72h",0
"220","GSE139555","343B_72h",0
"221","GSE139819","343B_72h",0
"222","GSE150247","343B_72h",0
"223","GSE157376","343B_72h",0
"224","GSE158942","343B_72h",0
"225","GSE160664","343B_72h",0
"226","GSE161382","343B_72h",0
"227","GSE167295","343B_72h",0
"228","GSE168191","343B_72h",0
"229","GSE169471","343B_72h",0
"230","GSE171524","343B_72h",0
"231","GSE173896","343B_72h",0
"232","GSE181388","343B_72h",0
"233","GSE196303","343B_72h",0
"234","GSE196341","343B_72h",0
"235","GSE227136","343B_72h",0
"236","HCL","343B_72h",0
"237","HTAN_MSK","343B_72h",0
"238","munich_cohort_human","343B_72h",0
"239","P115_Syn21041850_Lung_scRNASEQ","343B_72h",0
"240","P86_COVID19CELLATLAS_Lung_Parenchyma_scRNASEQ","343B_72h",0
"241","P87_COVID19CELLATLAS_Lung_Bronchi_scRNASEQ","343B_72h",0
"242","P88_COVID19CELLATLAS_Lung_Nasal_scRNASEQ","343B_72h",0
"243","P90_COVID19CELLATLAS_Lung_scRNASEQ","343B_72h",0
"244","P91_COVID19CELLATLAS_Lung_scRNASEQ","343B_72h",0
"245","Travaglini_Krasnow_2020","343B_72h",0
"246","Vieira_Teichmann_2019","343B_72h",0
"247","E-MTAB-11278","356C_0h",0
"248","EGAS00001004481","356C_0h",0
"249","ERP114453","356C_0h",28
"250","Fib_Atlas","356C_0h",0
"251","GSE121080","356C_0h",0
"252","GSE122960","356C_0h",0
"253","GSE126030","356C_0h",0
"254","GSE132771","356C_0h",0
"255","GSE132914","356C_0h",0
"256","GSE134355","356C_0h",0
"257","GSE135893","356C_0h",0
"258","GSE136831","356C_0h",0
"259","GSE137026","356C_0h",0
"260","GSE139534","356C_0h",0
"261","GSE139555","356C_0h",0
"262","GSE139819","356C_0h",0
"263","GSE150247","356C_0h",0
"264","GSE157376","356C_0h",0
"265","GSE158942","356C_0h",0
"266","GSE160664","356C_0h",0
"267","GSE161382","356C_0h",0
"268","GSE167295","356C_0h",0
"269","GSE168191","356C_0h",0
"270","GSE169471","356C_0h",0
"271","GSE171524","356C_0h",0
"272","GSE173896","356C_0h",0
"273","GSE181388","356C_0h",0
"274","GSE196303","356C_0h",0
"275","GSE196341","356C_0h",0
"276","GSE227136","356C_0h",0
"277","HCL","356C_0h",0
"278","HTAN_MSK","356C_0h",0
"279","munich_cohort_human","356C_0h",0
"280","P115_Syn21041850_Lung_scRNASEQ","356C_0h",0
"281","P86_COVID19CELLATLAS_Lung_Parenchyma_scRNASEQ","356C_0h",0
"282","P87_COVID19CELLATLAS_Lung_Bronchi_scRNASEQ","356C_0h",0
"283","P88_COVID19CELLATLAS_Lung_Nasal_scRNASEQ","356C_0h",0
"284","P90_COVID19CELLATLAS_Lung_scRNASEQ","356C_0h",0
"285","P91_COVID19CELLATLAS_Lung_scRNASEQ","356C_0h",0
"286","Travaglini_Krasnow_2020","356C_0h",0
"287","Vieira_Teichmann_2019","356C_0h",0
"288","E-MTAB-11278","356C_12h",0
"289","EGAS00001004481","356C_12h",0
"290","ERP114453","356C_12h",28
"291","Fib_Atlas","356C_12h",0
"292","GSE121080","356C_12h",0
"293","GSE122960","356C_12h",0
"294","GSE126030","356C_12h",0
"295","GSE132771","356C_12h",0
"296","GSE132914","356C_12h",0
"297","GSE134355","356C_12h",0
"298","GSE135893","356C_12h",0
"299","GSE136831","356C_12h",0
"300","GSE137026","356C_12h",0
"301","GSE139534","356C_12h",0
"302","GSE139555","356C_12h",0
"303","GSE139819","356C_12h",0
"304","GSE150247","356C_12h",0
"305","GSE157376","356C_12h",0
"306","GSE158942","356C_12h",0
"307","GSE160664","356C_12h",0
"308","GSE161382","356C_12h",0
"309","GSE167295","356C_12h",0
"310","GSE168191","356C_12h",0
"311","GSE169471","356C_12h",0
"312","GSE171524","356C_12h",0
"313","GSE173896","356C_12h",0
"314","GSE181388","356C_12h",0
"315","GSE196303","356C_12h",0
"316","GSE196341","356C_12h",0
"317","GSE227136","356C_12h",0
"318","HCL","356C_12h",0
"319","HTAN_MSK","356C_12h",0
"320","munich_cohort_human","356C_12h",0
