"","celltype","accession","counts"
"686","Stromal","ERR8048273",23
"687","Airway Epithelial","ERR8048274",13
"688","AT1","ERR8048274",0
"689","AT2","ERR8048274",0
"690","Basal","ERR8048274",3
"691","Ciliated","ERR8048274",0
"692","DC","ERR8048274",2
"693","Endothelial","ERR8048274",9
"694","Fibroblast","ERR8048274",10
"695","Macrophages","ERR8048274",26
"696","Monocytes","ERR8048274",0
"697","NK+T","ERR8048274",0
"698","Plasma+B","ERR8048274",0
"699","Secretory","ERR8048274",5
"700","Stromal","ERR8048274",10
"701","Airway Epithelial","FetalLung_1",0
"702","AT1","FetalLung_1",1
"703","AT2","FetalLung_1",1
"704","Basal","FetalLung_1",0
"705","Ciliated","FetalLung_1",0
"706","DC","FetalLung_1",1
"707","Endothelial","FetalLung_1",0
"708","Fibroblast","FetalLung_1",0
"709","Macrophages","FetalLung_1",0
"710","Monocytes","FetalLung_1",0
"711","NK+T","FetalLung_1",0
"712","Plasma+B","FetalLung_1",0
"713","Secretory","FetalLung_1",0
"714","Stromal","FetalLung_1",1
"715","Airway Epithelial","FetalLung_2",0
"716","AT1","FetalLung_2",1
"717","AT2","FetalLung_2",0
"718","Basal","FetalLung_2",0
"719","Ciliated","FetalLung_2",0
"720","DC","FetalLung_2",0
"721","Endothelial","FetalLung_2",1
"722","Fibroblast","FetalLung_2",0
"723","Macrophages","FetalLung_2",0
"724","Monocytes","FetalLung_2",0
"725","NK+T","FetalLung_2",0
"726","Plasma+B","FetalLung_2",0
"727","Secretory","FetalLung_2",0
"728","Stromal","FetalLung_2",2
"729","Airway Epithelial","Fib_Atlas",0
"730","AT1","Fib_Atlas",0
"731","AT2","Fib_Atlas",0
"732","Basal","Fib_Atlas",0
"733","Ciliated","Fib_Atlas",0
"734","DC","Fib_Atlas",0
"735","Endothelial","Fib_Atlas",0
"736","Fibroblast","Fib_Atlas",8
"737","Macrophages","Fib_Atlas",0
"738","Monocytes","Fib_Atlas",0
"739","NK+T","Fib_Atlas",0
"740","Plasma+B","Fib_Atlas",0
"741","Secretory","Fib_Atlas",0
"742","Stromal","Fib_Atlas",0
"743","Airway Epithelial","GSM3425686",0
"744","AT1","GSM3425686",0
"745","AT2","GSM3425686",0
"746","Basal","GSM3425686",0
"747","Ciliated","GSM3425686",2
"748","DC","GSM3425686",0
"749","Endothelial","GSM3425686",1
"750","Fibroblast","GSM3425686",0
"751","Macrophages","GSM3425686",0
"752","Monocytes","GSM3425686",7
"753","NK+T","GSM3425686",26
"754","Plasma+B","GSM3425686",0
"755","Secretory","GSM3425686",0
"756","Stromal","GSM3425686",0
"757","Airway Epithelial","GSM3425687",0
"758","AT1","GSM3425687",0
"759","AT2","GSM3425687",0
"760","Basal","GSM3425687",0
"761","Ciliated","GSM3425687",2
"762","DC","GSM3425687",0
"763","Endothelial","GSM3425687",1
"764","Fibroblast","GSM3425687",0
"765","Macrophages","GSM3425687",2
"766","Monocytes","GSM3425687",0
"767","NK+T","GSM3425687",22
"768","Plasma+B","GSM3425687",0
"769","Secretory","GSM3425687",0
"770","Stromal","GSM3425687",0
"771","Airway Epithelial","GSM3425692",0
"772","AT1","GSM3425692",0
"773","AT2","GSM3425692",0
"774","Basal","GSM3425692",0
"775","Ciliated","GSM3425692",2
"776","DC","GSM3425692",0
"777","Endothelial","GSM3425692",0
"778","Fibroblast","GSM3425692",0
"779","Macrophages","GSM3425692",1
"780","Monocytes","GSM3425692",13
"781","NK+T","GSM3425692",54
"782","Plasma+B","GSM3425692",4
"783","Secretory","GSM3425692",0
"784","Stromal","GSM3425692",2
"785","Airway Epithelial","GSM3425693",0
"786","AT1","GSM3425693",0
"787","AT2","GSM3425693",0
"788","Basal","GSM3425693",0
"789","Ciliated","GSM3425693",3
"790","DC","GSM3425693",0
"791","Endothelial","GSM3425693",0
"792","Fibroblast","GSM3425693",0
"793","Macrophages","GSM3425693",0
"794","Monocytes","GSM3425693",2
"795","NK+T","GSM3425693",37
"796","Plasma+B","GSM3425693",0
"797","Secretory","GSM3425693",0
"798","Stromal","GSM3425693",0
"799","Airway Epithelial","GSM3489182",0
"800","AT1","GSM3489182",1
"801","AT2","GSM3489182",11
"802","Basal","GSM3489182",0
"803","Ciliated","GSM3489182",0
"804","DC","GSM3489182",0
"805","Endothelial","GSM3489182",0
"806","Fibroblast","GSM3489182",0
"807","Macrophages","GSM3489182",6
"808","Monocytes","GSM3489182",1
"809","NK+T","GSM3489182",1
"810","Plasma+B","GSM3489182",0
"811","Secretory","GSM3489182",0
"812","Stromal","GSM3489182",0
"813","Airway Epithelial","GSM3489185",0
"814","AT1","GSM3489185",2
"815","AT2","GSM3489185",16
"816","Basal","GSM3489185",0
"817","Ciliated","GSM3489185",0
"818","DC","GSM3489185",2
"819","Endothelial","GSM3489185",0
"820","Fibroblast","GSM3489185",1
"821","Macrophages","GSM3489185",6
"822","Monocytes","GSM3489185",0
"823","NK+T","GSM3489185",0
"824","Plasma+B","GSM3489185",0
"825","Secretory","GSM3489185",1
"826","Stromal","GSM3489185",0
"827","Airway Epithelial","GSM3489187",0
"828","AT1","GSM3489187",0
"829","AT2","GSM3489187",16
"830","Basal","GSM3489187",0
"831","Ciliated","GSM3489187",2
"832","DC","GSM3489187",0
"833","Endothelial","GSM3489187",1
"834","Fibroblast","GSM3489187",0
"835","Macrophages","GSM3489187",5
"836","Monocytes","GSM3489187",1
"837","NK+T","GSM3489187",0
"838","Plasma+B","GSM3489187",4
"839","Secretory","GSM3489187",6
"840","Stromal","GSM3489187",0
"841","Airway Epithelial","GSM3489189",0
"842","AT1","GSM3489189",0
"843","AT2","GSM3489189",14
"844","Basal","GSM3489189",0
"845","Ciliated","GSM3489189",1
"846","DC","GSM3489189",0
"847","Endothelial","GSM3489189",0
"848","Fibroblast","GSM3489189",0
"849","Macrophages","GSM3489189",4
"850","Monocytes","GSM3489189",0
"851","NK+T","GSM3489189",0
"852","Plasma+B","GSM3489189",2
"853","Secretory","GSM3489189",7
"854","Stromal","GSM3489189",0
"855","Airway Epithelial","GSM3489191",0
"856","AT1","GSM3489191",0
"857","AT2","GSM3489191",18
"858","Basal","GSM3489191",0
"859","Ciliated","GSM3489191",0
"860","DC","GSM3489191",2
"861","Endothelial","GSM3489191",0
"862","Fibroblast","GSM3489191",0
"863","Macrophages","GSM3489191",4
"864","Monocytes","GSM3489191",0
"865","NK+T","GSM3489191",0
"866","Plasma+B","GSM3489191",0
"867","Secretory","GSM3489191",5
"868","Stromal","GSM3489191",0
"869","Airway Epithelial","GSM3489193",0
"870","AT1","GSM3489193",5
"871","AT2","GSM3489193",9
"872","Basal","GSM3489193",0
"873","Ciliated","GSM3489193",0
"874","DC","GSM3489193",2
"875","Endothelial","GSM3489193",0
"876","Fibroblast","GSM3489193",0
"877","Macrophages","GSM3489193",3
"878","Monocytes","GSM3489193",6
"879","NK+T","GSM3489193",1
"880","Plasma+B","GSM3489193",1
"881","Secretory","GSM3489193",0
"882","Stromal","GSM3489193",0
"883","Airway Epithelial","GSM3489195",0
"884","AT1","GSM3489195",0
"885","AT2","GSM3489195",30
"886","Basal","GSM3489195",0
"887","Ciliated","GSM3489195",1
"888","DC","GSM3489195",0
"889","Endothelial","GSM3489195",2
"890","Fibroblast","GSM3489195",0
"891","Macrophages","GSM3489195",5
"892","Monocytes","GSM3489195",6
"893","NK+T","GSM3489195",0
"894","Plasma+B","GSM3489195",0
"895","Secretory","GSM3489195",10
"896","Stromal","GSM3489195",0
"897","Airway Epithelial","GSM3489197",0
"898","AT1","GSM3489197",1
"899","AT2","GSM3489197",26
"900","Basal","GSM3489197",0
"901","Ciliated","GSM3489197",0
"902","DC","GSM3489197",1
"903","Endothelial","GSM3489197",3
"904","Fibroblast","GSM3489197",0
"905","Macrophages","GSM3489197",6
"906","Monocytes","GSM3489197",6
"907","NK+T","GSM3489197",1
"908","Plasma+B","GSM3489197",2
"909","Secretory","GSM3489197",3
"910","Stromal","GSM3489197",0
"911","Airway Epithelial","GSM3589406",0
"912","AT1","GSM3589406",0
"913","AT2","GSM3589406",0
"914","Basal","GSM3589406",0
"915","Ciliated","GSM3589406",2
"916","DC","GSM3589406",0
"917","Endothelial","GSM3589406",0
"918","Fibroblast","GSM3589406",0
"919","Macrophages","GSM3589406",0
"920","Monocytes","GSM3589406",0
"921","NK+T","GSM3589406",13
"922","Plasma+B","GSM3589406",0
"923","Secretory","GSM3589406",0
"924","Stromal","GSM3589406",0
"925","Airway Epithelial","GSM3589407",0
"926","AT1","GSM3589407",0
"927","AT2","GSM3589407",0
"928","Basal","GSM3589407",0
"929","Ciliated","GSM3589407",0
"930","DC","GSM3589407",0
"931","Endothelial","GSM3589407",0
"932","Fibroblast","GSM3589407",0
"933","Macrophages","GSM3589407",0
"934","Monocytes","GSM3589407",1
"935","NK+T","GSM3589407",13
"936","Plasma+B","GSM3589407",1
"937","Secretory","GSM3589407",0
"938","Stromal","GSM3589407",1
"939","Airway Epithelial","GSM3891620",0
"940","AT1","GSM3891620",0
"941","AT2","GSM3891620",0
"942","Basal","GSM3891620",0
"943","Ciliated","GSM3891620",0
"944","DC","GSM3891620",0
"945","Endothelial","GSM3891620",0
"946","Fibroblast","GSM3891620",65
"947","Macrophages","GSM3891620",1
"948","Monocytes","GSM3891620",0
"949","NK+T","GSM3891620",0
"950","Plasma+B","GSM3891620",0
"951","Secretory","GSM3891620",0
"952","Stromal","GSM3891620",51
"953","Airway Epithelial","GSM3891621",0
"954","AT1","GSM3891621",1
"955","AT2","GSM3891621",10
"956","Basal","GSM3891621",0
"957","Ciliated","GSM3891621",0
"958","DC","GSM3891621",8
"959","Endothelial","GSM3891621",12
"960","Fibroblast","GSM3891621",4
"961","Macrophages","GSM3891621",12
"962","Monocytes","GSM3891621",3
"963","NK+T","GSM3891621",0
"964","Plasma+B","GSM3891621",0
"965","Secretory","GSM3891621",0
"966","Stromal","GSM3891621",1
"967","Airway Epithelial","GSM3891622",0
"968","AT1","GSM3891622",0
"969","AT2","GSM3891622",1
"970","Basal","GSM3891622",0
"971","Ciliated","GSM3891622",0
"972","DC","GSM3891622",0
"973","Endothelial","GSM3891622",0
"974","Fibroblast","GSM3891622",32
"975","Macrophages","GSM3891622",1
"976","Monocytes","GSM3891622",0
"977","NK+T","GSM3891622",0
"978","Plasma+B","GSM3891622",0
"979","Secretory","GSM3891622",2
"980","Stromal","GSM3891622",19
"981","Airway Epithelial","GSM3891623",0
"982","AT1","GSM3891623",1
"983","AT2","GSM3891623",5
"984","Basal","GSM3891623",0
"985","Ciliated","GSM3891623",0
"986","DC","GSM3891623",6
"987","Endothelial","GSM3891623",11
"988","Fibroblast","GSM3891623",2
"989","Macrophages","GSM3891623",3
"990","Monocytes","GSM3891623",11
"991","NK+T","GSM3891623",7
"992","Plasma+B","GSM3891623",5
"993","Secretory","GSM3891623",2
"994","Stromal","GSM3891623",10
"995","Airway Epithelial","GSM3891624",0
"996","AT1","GSM3891624",0
"997","AT2","GSM3891624",1
"998","Basal","GSM3891624",1
"999","Ciliated","GSM3891624",0
"1000","DC","GSM3891624",0
"1001","Endothelial","GSM3891624",0
"1002","Fibroblast","GSM3891624",12
"1003","Macrophages","GSM3891624",0
"1004","Monocytes","GSM3891624",0
"1005","NK+T","GSM3891624",0
"1006","Plasma+B","GSM3891624",0
"1007","Secretory","GSM3891624",2
"1008","Stromal","GSM3891624",17
"1009","Airway Epithelial","GSM3891625",0
"1010","AT1","GSM3891625",0
"1011","AT2","GSM3891625",1
"1012","Basal","GSM3891625",0
"1013","Ciliated","GSM3891625",0
"1014","DC","GSM3891625",9
"1015","Endothelial","GSM3891625",5
"1016","Fibroblast","GSM3891625",0
"1017","Macrophages","GSM3891625",9
"1018","Monocytes","GSM3891625",25
"1019","NK+T","GSM3891625",13
"1020","Plasma+B","GSM3891625",4
"1021","Secretory","GSM3891625",2
"1022","Stromal","GSM3891625",0
"1023","Airway Epithelial","GSM3891632",0
"1024","AT1","GSM3891632",0
"1025","AT2","GSM3891632",0
"1026","Basal","GSM3891632",0
"1027","Ciliated","GSM3891632",0
"1028","DC","GSM3891632",0
"1029","Endothelial","GSM3891632",0
"1030","Fibroblast","GSM3891632",33
"1031","Macrophages","GSM3891632",0
"1032","Monocytes","GSM3891632",0
"1033","NK+T","GSM3891632",0
"1034","Plasma+B","GSM3891632",0
"1035","Secretory","GSM3891632",0
"1036","Stromal","GSM3891632",96
"1037","Airway Epithelial","GSM3891633",0
"1038","AT1","GSM3891633",0
"1039","AT2","GSM3891633",0
"1040","Basal","GSM3891633",0
"1041","Ciliated","GSM3891633",0
"1042","DC","GSM3891633",4
"1043","Endothelial","GSM3891633",7
"1044","Fibroblast","GSM3891633",2
"1045","Macrophages","GSM3891633",0
"1046","Monocytes","GSM3891633",1
"1047","NK+T","GSM3891633",1
"1048","Plasma+B","GSM3891633",105
"1049","Secretory","GSM3891633",0
"1050","Stromal","GSM3891633",2
"1051","Airway Epithelial","GSM3891634",0
"1052","AT1","GSM3891634",0
"1053","AT2","GSM3891634",0
"1054","Basal","GSM3891634",0
"1055","Ciliated","GSM3891634",0
"1056","DC","GSM3891634",0
"1057","Endothelial","GSM3891634",0
"1058","Fibroblast","GSM3891634",12
"1059","Macrophages","GSM3891634",0
"1060","Monocytes","GSM3891634",0
"1061","NK+T","GSM3891634",0
"1062","Plasma+B","GSM3891634",0
"1063","Secretory","GSM3891634",1
"1064","Stromal","GSM3891634",28
"1065","Airway Epithelial","GSM3891635",0
"1066","AT1","GSM3891635",0
"1067","AT2","GSM3891635",0
"1068","Basal","GSM3891635",0
"1069","Ciliated","GSM3891635",0
"1070","DC","GSM3891635",24
"1071","Endothelial","GSM3891635",10
"1072","Fibroblast","GSM3891635",0
"1073","Macrophages","GSM3891635",19
"1074","Monocytes","GSM3891635",9
"1075","NK+T","GSM3891635",3
"1076","Plasma+B","GSM3891635",3
"1077","Secretory","GSM3891635",2
"1078","Stromal","GSM3891635",2
"1079","Airway Epithelial","GSM3896324",0
"1080","AT1","GSM3896324",1
"1081","AT2","GSM3896324",12
"1082","Basal","GSM3896324",0
"1083","Ciliated","GSM3896324",5
"1084","DC","GSM3896324",0
"1085","Endothelial","GSM3896324",0
"1086","Fibroblast","GSM3896324",0
"1087","Macrophages","GSM3896324",0
"1088","Monocytes","GSM3896324",0
"1089","NK+T","GSM3896324",0
"1090","Plasma+B","GSM3896324",0
"1091","Secretory","GSM3896324",15
"1092","Stromal","GSM3896324",0
"1093","Airway Epithelial","GSM3896325",0
"1094","AT1","GSM3896325",0
"1095","AT2","GSM3896325",3
"1096","Basal","GSM3896325",0
"1097","Ciliated","GSM3896325",17
"1098","DC","GSM3896325",0
"1099","Endothelial","GSM3896325",0
"1100","Fibroblast","GSM3896325",0
"1101","Macrophages","GSM3896325",0
"1102","Monocytes","GSM3896325",0
"1103","NK+T","GSM3896325",0
"1104","Plasma+B","GSM3896325",0
"1105","Secretory","GSM3896325",29
"1106","Stromal","GSM3896325",0
"1107","Airway Epithelial","GSM3896326",0
"1108","AT1","GSM3896326",0
"1109","AT2","GSM3896326",12
"1110","Basal","GSM3896326",0
"1111","Ciliated","GSM3896326",0
"1112","DC","GSM3896326",0
"1113","Endothelial","GSM3896326",0
"1114","Fibroblast","GSM3896326",0
"1115","Macrophages","GSM3896326",0
"1116","Monocytes","GSM3896326",0
"1117","NK+T","GSM3896326",1
"1118","Plasma+B","GSM3896326",0
"1119","Secretory","GSM3896326",0
"1120","Stromal","GSM3896326",0
"1121","Airway Epithelial","GSM4008628",0
"1122","AT1","GSM4008628",0
"1123","AT2","GSM4008628",15
"1124","Basal","GSM4008628",0
"1125","Ciliated","GSM4008628",0
"1126","DC","GSM4008628",0
"1127","Endothelial","GSM4008628",0
"1128","Fibroblast","GSM4008628",0
"1129","Macrophages","GSM4008628",1
"1130","Monocytes","GSM4008628",0
"1131","NK+T","GSM4008628",0
"1132","Plasma+B","GSM4008628",1
"1133","Secretory","GSM4008628",1
"1134","Stromal","GSM4008628",0
"1135","Airway Epithelial","GSM4008629",0
"1136","AT1","GSM4008629",0
"1137","AT2","GSM4008629",1
"1138","Basal","GSM4008629",0
"1139","Ciliated","GSM4008629",0
"1140","DC","GSM4008629",0
"1141","Endothelial","GSM4008629",0
"1142","Fibroblast","GSM4008629",0
"1143","Macrophages","GSM4008629",0
"1144","Monocytes","GSM4008629",0
"1145","NK+T","GSM4008629",0
"1146","Plasma+B","GSM4008629",0
"1147","Secretory","GSM4008629",0
"1148","Stromal","GSM4008629",0
"1149","Airway Epithelial","GSM4008630",0
"1150","AT1","GSM4008630",0
"1151","AT2","GSM4008630",0
"1152","Basal","GSM4008630",0
"1153","Ciliated","GSM4008630",0
"1154","DC","GSM4008630",0
"1155","Endothelial","GSM4008630",0
"1156","Fibroblast","GSM4008630",0
"1157","Macrophages","GSM4008630",0
"1158","Monocytes","GSM4008630",0
"1159","NK+T","GSM4008630",0
"1160","Plasma+B","GSM4008630",3
"1161","Secretory","GSM4008630",0
"1162","Stromal","GSM4008630",0
"1163","Airway Epithelial","GSM4008631",0
"1164","AT1","GSM4008631",0
"1165","AT2","GSM4008631",1
"1166","Basal","GSM4008631",0
"1167","Ciliated","GSM4008631",0
"1168","DC","GSM4008631",0
"1169","Endothelial","GSM4008631",0
"1170","Fibroblast","GSM4008631",0
"1171","Macrophages","GSM4008631",0
"1172","Monocytes","GSM4008631",0
"1173","NK+T","GSM4008631",0
"1174","Plasma+B","GSM4008631",0
"1175","Secretory","GSM4008631",0
"1176","Stromal","GSM4008631",0
"1177","Airway Epithelial","GSM4008632",0
"1178","AT1","GSM4008632",0
"1179","AT2","GSM4008632",0
"1180","Basal","GSM4008632",0
"1181","Ciliated","GSM4008632",0
"1182","DC","GSM4008632",0
"1183","Endothelial","GSM4008632",1
"1184","Fibroblast","GSM4008632",0
"1185","Macrophages","GSM4008632",0
"1186","Monocytes","GSM4008632",0
"1187","NK+T","GSM4008632",0
"1188","Plasma+B","GSM4008632",1
"1189","Secretory","GSM4008632",1
"1190","Stromal","GSM4008632",0
"1191","Airway Epithelial","GSM4008633",0
"1192","AT1","GSM4008633",0
"1193","AT2","GSM4008633",1
"1194","Basal","GSM4008633",0
"1195","Ciliated","GSM4008633",0
"1196","DC","GSM4008633",0
"1197","Endothelial","GSM4008633",0
"1198","Fibroblast","GSM4008633",1
"1199","Macrophages","GSM4008633",0
"1200","Monocytes","GSM4008633",0
"1201","NK+T","GSM4008633",0
"1202","Plasma+B","GSM4008633",1
"1203","Secretory","GSM4008633",0
"1204","Stromal","GSM4008633",0
"1205","Airway Epithelial","GSM4037301",0
"1206","AT1","GSM4037301",0
"1207","AT2","GSM4037301",2
"1208","Basal","GSM4037301",0
"1209","Ciliated","GSM4037301",6
"1210","DC","GSM4037301",3
"1211","Endothelial","GSM4037301",11
"1212","Fibroblast","GSM4037301",0
"1213","Macrophages","GSM4037301",5
"1214","Monocytes","GSM4037301",0
"1215","NK+T","GSM4037301",3
"1216","Plasma+B","GSM4037301",1
"1217","Secretory","GSM4037301",14
"1218","Stromal","GSM4037301",0
"1219","Airway Epithelial","GSM4037302",0
"1220","AT1","GSM4037302",0
"1221","AT2","GSM4037302",6
"1222","Basal","GSM4037302",0
"1223","Ciliated","GSM4037302",12
"1224","DC","GSM4037302",2
"1225","Endothelial","GSM4037302",3
"1226","Fibroblast","GSM4037302",1
"1227","Macrophages","GSM4037302",0
"1228","Monocytes","GSM4037302",2
"1229","NK+T","GSM4037302",10
"1230","Plasma+B","GSM4037302",1
"1231","Secretory","GSM4037302",9
"1232","Stromal","GSM4037302",0
"1233","Airway Epithelial","GSM4037305",0
"1234","AT1","GSM4037305",9
"1235","AT2","GSM4037305",15
"1236","Basal","GSM4037305",0
"1237","Ciliated","GSM4037305",7
"1238","DC","GSM4037305",6
"1239","Endothelial","GSM4037305",7
"1240","Fibroblast","GSM4037305",0
"1241","Macrophages","GSM4037305",4
"1242","Monocytes","GSM4037305",12
"1243","NK+T","GSM4037305",27
"1244","Plasma+B","GSM4037305",7
"1245","Secretory","GSM4037305",9
"1246","Stromal","GSM4037305",0
"1247","Airway Epithelial","GSM4037306",0
"1248","AT1","GSM4037306",0
"1249","AT2","GSM4037306",1
"1250","Basal","GSM4037306",0
"1251","Ciliated","GSM4037306",1
"1252","DC","GSM4037306",4
"1253","Endothelial","GSM4037306",12
"1254","Fibroblast","GSM4037306",0
"1255","Macrophages","GSM4037306",24
"1256","Monocytes","GSM4037306",2
"1257","NK+T","GSM4037306",0
"1258","Plasma+B","GSM4037306",0
"1259","Secretory","GSM4037306",0
"1260","Stromal","GSM4037306",2
"1261","Airway Epithelial","GSM4037309",0
"1262","AT1","GSM4037309",0
"1263","AT2","GSM4037309",0
"1264","Basal","GSM4037309",0
"1265","Ciliated","GSM4037309",0
"1266","DC","GSM4037309",0
"1267","Endothelial","GSM4037309",1
"1268","Fibroblast","GSM4037309",0
"1269","Macrophages","GSM4037309",0
"1270","Monocytes","GSM4037309",2
"1271","NK+T","GSM4037309",8
"1272","Plasma+B","GSM4037309",1
"1273","Secretory","GSM4037309",0
"1274","Stromal","GSM4037309",1
"1275","Airway Epithelial","GSM4037313",0
"1276","AT1","GSM4037313",0
"1277","AT2","GSM4037313",15
"1278","Basal","GSM4037313",0
"1279","Ciliated","GSM4037313",1
"1280","DC","GSM4037313",4
"1281","Endothelial","GSM4037313",1
"1282","Fibroblast","GSM4037313",0
"1283","Macrophages","GSM4037313",3
"1284","Monocytes","GSM4037313",5
"1285","NK+T","GSM4037313",3
"1286","Plasma+B","GSM4037313",0
"1287","Secretory","GSM4037313",2
"1288","Stromal","GSM4037313",0
"1289","Airway Epithelial","GSM4037316",0
"1290","AT1","GSM4037316",2
"1291","AT2","GSM4037316",0
"1292","Basal","GSM4037316",0
"1293","Ciliated","GSM4037316",1
"1294","DC","GSM4037316",0
"1295","Endothelial","GSM4037316",6
"1296","Fibroblast","GSM4037316",0
"1297","Macrophages","GSM4037316",10
"1298","Monocytes","GSM4037316",0
"1299","NK+T","GSM4037316",1
"1300","Plasma+B","GSM4037316",0
"1301","Secretory","GSM4037316",2
"1302","Stromal","GSM4037316",0
"1303","Airway Epithelial","GSM4037323",0
"1304","AT1","GSM4037323",0
"1305","AT2","GSM4037323",1
"1306","Basal","GSM4037323",0
"1307","Ciliated","GSM4037323",2
"1308","DC","GSM4037323",0
"1309","Endothelial","GSM4037323",0
"1310","Fibroblast","GSM4037323",0
"1311","Macrophages","GSM4037323",8
"1312","Monocytes","GSM4037323",0
"1313","NK+T","GSM4037323",0
"1314","Plasma+B","GSM4037323",0
"1315","Secretory","GSM4037323",3
"1316","Stromal","GSM4037323",0
"1317","Airway Epithelial","GSM4037324",0
"1318","AT1","GSM4037324",2
"1319","AT2","GSM4037324",11
"1320","Basal","GSM4037324",0
"1321","Ciliated","GSM4037324",0
"1322","DC","GSM4037324",1
"1323","Endothelial","GSM4037324",2
"1324","Fibroblast","GSM4037324",0
"1325","Macrophages","GSM4037324",6
"1326","Monocytes","GSM4037324",5
"1327","NK+T","GSM4037324",0
"1328","Plasma+B","GSM4037324",1
"1329","Secretory","GSM4037324",6
"1330","Stromal","GSM4037324",1
"1331","Airway Epithelial","GSM4037325",0
"1332","AT1","GSM4037325",0
"1333","AT2","GSM4037325",0
"1334","Basal","GSM4037325",0
"1335","Ciliated","GSM4037325",1
"1336","DC","GSM4037325",5
"1337","Endothelial","GSM4037325",14
"1338","Fibroblast","GSM4037325",0
"1339","Macrophages","GSM4037325",6
"1340","Monocytes","GSM4037325",6
"1341","NK+T","GSM4037325",9
"1342","Plasma+B","GSM4037325",3
"1343","Secretory","GSM4037325",0
"1344","Stromal","GSM4037325",0
"1345","Airway Epithelial","GSM4058901",0
"1346","AT1","GSM4058901",0
"1347","AT2","GSM4058901",0
"1348","Basal","GSM4058901",0
"1349","Ciliated","GSM4058901",0
"1350","DC","GSM4058901",1
"1351","Endothelial","GSM4058901",0
"1352","Fibroblast","GSM4058901",0
"1353","Macrophages","GSM4058901",0
"1354","Monocytes","GSM4058901",5
"1355","NK+T","GSM4058901",3
"1356","Plasma+B","GSM4058901",4
"1357","Secretory","GSM4058901",0
"1358","Stromal","GSM4058901",0
"1359","Airway Epithelial","GSM4058904",1
"1360","AT1","GSM4058904",0
"1361","AT2","GSM4058904",2
"1362","Basal","GSM4058904",0
"1363","Ciliated","GSM4058904",1
"1364","DC","GSM4058904",33
"1365","Endothelial","GSM4058904",1
"1366","Fibroblast","GSM4058904",0
"1367","Macrophages","GSM4058904",46
"1368","Monocytes","GSM4058904",52
"1369","NK+T","GSM4058904",11
"1370","Plasma+B","GSM4058904",5
"1371","Secretory","GSM4058904",0
"1372","Stromal","GSM4058904",0
"1373","Airway Epithelial","GSM4058905",1
"1374","AT1","GSM4058905",0
"1375","AT2","GSM4058905",0
"1376","Basal","GSM4058905",0
"1377","Ciliated","GSM4058905",1
"1378","DC","GSM4058905",1
"1379","Endothelial","GSM4058905",0
"1380","Fibroblast","GSM4058905",0
"1381","Macrophages","GSM4058905",0
"1382","Monocytes","GSM4058905",0
"1383","NK+T","GSM4058905",0
"1384","Plasma+B","GSM4058905",0
"1385","Secretory","GSM4058905",0
"1386","Stromal","GSM4058905",0
"1387","Airway Epithelial","GSM4058907",0
"1388","AT1","GSM4058907",0
"1389","AT2","GSM4058907",0
"1390","Basal","GSM4058907",0
"1391","Ciliated","GSM4058907",1
"1392","DC","GSM4058907",2
"1393","Endothelial","GSM4058907",1
"1394","Fibroblast","GSM4058907",0
"1395","Macrophages","GSM4058907",6
"1396","Monocytes","GSM4058907",2
"1397","NK+T","GSM4058907",14
"1398","Plasma+B","GSM4058907",10
"1399","Secretory","GSM4058907",0
"1400","Stromal","GSM4058907",0
"1401","Airway Epithelial","GSM4058908",0
"1402","AT1","GSM4058908",3
"1403","AT2","GSM4058908",0
"1404","Basal","GSM4058908",0
"1405","Ciliated","GSM4058908",1
"1406","DC","GSM4058908",2
"1407","Endothelial","GSM4058908",1
"1408","Fibroblast","GSM4058908",0
"1409","Macrophages","GSM4058908",0
"1410","Monocytes","GSM4058908",3
"1411","NK+T","GSM4058908",0
"1412","Plasma+B","GSM4058908",0
"1413","Secretory","GSM4058908",1
"1414","Stromal","GSM4058908",0
"1415","Airway Epithelial","GSM4058909",1
"1416","AT1","GSM4058909",0
"1417","AT2","GSM4058909",0
"1418","Basal","GSM4058909",0
"1419","Ciliated","GSM4058909",0
"1420","DC","GSM4058909",6
"1421","Endothelial","GSM4058909",3
"1422","Fibroblast","GSM4058909",0
"1423","Macrophages","GSM4058909",13
"1424","Monocytes","GSM4058909",14
"1425","NK+T","GSM4058909",5
"1426","Plasma+B","GSM4058909",0
"1427","Secretory","GSM4058909",0
"1428","Stromal","GSM4058909",0
"1429","Airway Epithelial","GSM4058913",1
"1430","AT1","GSM4058913",0
"1431","AT2","GSM4058913",1
"1432","Basal","GSM4058913",0
"1433","Ciliated","GSM4058913",5
"1434","DC","GSM4058913",9
"1435","Endothelial","GSM4058913",1
"1436","Fibroblast","GSM4058913",3
"1437","Macrophages","GSM4058913",28
"1438","Monocytes","GSM4058913",13
"1439","NK+T","GSM4058913",20
"1440","Plasma+B","GSM4058913",8
"1441","Secretory","GSM4058913",3
"1442","Stromal","GSM4058913",1
"1443","Airway Epithelial","GSM4058914",0
"1444","AT1","GSM4058914",0
"1445","AT2","GSM4058914",0
"1446","Basal","GSM4058914",0
"1447","Ciliated","GSM4058914",0
"1448","DC","GSM4058914",14
"1449","Endothelial","GSM4058914",0
"1450","Fibroblast","GSM4058914",1
"1451","Macrophages","GSM4058914",18
"1452","Monocytes","GSM4058914",20
"1453","NK+T","GSM4058914",35
"1454","Plasma+B","GSM4058914",3
"1455","Secretory","GSM4058914",0
