"","celltype","accession","counts"
"152","Plasma+B","367C_0h",3
"153","Secretory","367C_0h",0
"154","Stromal","367C_0h",0
"155","Airway Epithelial","367C_12h",0
"156","AT1","367C_12h",0
"157","AT2","367C_12h",1
"158","Basal","367C_12h",0
"159","Ciliated","367C_12h",0
"160","DC","367C_12h",4
"161","Endothelial","367C_12h",1
"162","Fibroblast","367C_12h",1
"163","Macrophages","367C_12h",5
"164","Monocytes","367C_12h",4
"165","NK+T","367C_12h",12
"166","Plasma+B","367C_12h",2
"167","Secretory","367C_12h",0
"168","Stromal","367C_12h",1
"169","Airway Epithelial","367C_24h",0
"170","AT1","367C_24h",0
"171","AT2","367C_24h",0
"172","Basal","367C_24h",0
"173","Ciliated","367C_24h",0
"174","DC","367C_24h",2
"175","Endothelial","367C_24h",2
"176","Fibroblast","367C_24h",1
"177","Macrophages","367C_24h",1
"178","Monocytes","367C_24h",0
"179","NK+T","367C_24h",5
"180","Plasma+B","367C_24h",0
"181","Secretory","367C_24h",0
"182","Stromal","367C_24h",0
"183","Airway Epithelial","367C_72h",0
"184","AT1","367C_72h",0
"185","AT2","367C_72h",0
"186","Basal","367C_72h",0
"187","Ciliated","367C_72h",0
"188","DC","367C_72h",5
"189","Endothelial","367C_72h",2
"190","Fibroblast","367C_72h",2
"191","Macrophages","367C_72h",1
"192","Monocytes","367C_72h",2
"193","NK+T","367C_72h",6
"194","Plasma+B","367C_72h",3
"195","Secretory","367C_72h",0
"196","Stromal","367C_72h",1
"197","Airway Epithelial","368C_0h",0
"198","AT1","368C_0h",0
"199","AT2","368C_0h",0
"200","Basal","368C_0h",0
"201","Ciliated","368C_0h",0
"202","DC","368C_0h",0
"203","Endothelial","368C_0h",0
"204","Fibroblast","368C_0h",0
"205","Macrophages","368C_0h",2
"206","Monocytes","368C_0h",0
"207","NK+T","368C_0h",2
"208","Plasma+B","368C_0h",1
"209","Secretory","368C_0h",0
"210","Stromal","368C_0h",0
"211","Airway Epithelial","368C_12h",0
"212","AT1","368C_12h",0
"213","AT2","368C_12h",0
"214","Basal","368C_12h",0
"215","Ciliated","368C_12h",0
"216","DC","368C_12h",3
"217","Endothelial","368C_12h",1
"218","Fibroblast","368C_12h",2
"219","Macrophages","368C_12h",3
"220","Monocytes","368C_12h",2
"221","NK+T","368C_12h",10
"222","Plasma+B","368C_12h",8
"223","Secretory","368C_12h",0
"224","Stromal","368C_12h",0
"225","Airway Epithelial","368C_24h",0
"226","AT1","368C_24h",0
"227","AT2","368C_24h",0
"228","Basal","368C_24h",0
"229","Ciliated","368C_24h",0
"230","DC","368C_24h",4
"231","Endothelial","368C_24h",2
"232","Fibroblast","368C_24h",3
"233","Macrophages","368C_24h",2
"234","Monocytes","368C_24h",2
"235","NK+T","368C_24h",0
"236","Plasma+B","368C_24h",0
"237","Secretory","368C_24h",0
"238","Stromal","368C_24h",0
"239","Airway Epithelial","368C_72h",0
"240","AT1","368C_72h",0
"241","AT2","368C_72h",0
"242","Basal","368C_72h",0
"243","Ciliated","368C_72h",0
"244","DC","368C_72h",2
"245","Endothelial","368C_72h",1
"246","Fibroblast","368C_72h",2
"247","Macrophages","368C_72h",3
"248","Monocytes","368C_72h",2
"249","NK+T","368C_72h",0
"250","Plasma+B","368C_72h",2
"251","Secretory","368C_72h",0
"252","Stromal","368C_72h",1
"253","Airway Epithelial","390C_0h",0
"254","AT1","390C_0h",0
"255","AT2","390C_0h",3
"256","Basal","390C_0h",0
"257","Ciliated","390C_0h",0
"258","DC","390C_0h",1
"259","Endothelial","390C_0h",0
"260","Fibroblast","390C_0h",2
"261","Macrophages","390C_0h",0
"262","Monocytes","390C_0h",2
"263","NK+T","390C_0h",17
"264","Plasma+B","390C_0h",1
"265","Secretory","390C_0h",0
"266","Stromal","390C_0h",1
"267","Airway Epithelial","390C_12h",0
"268","AT1","390C_12h",0
"269","AT2","390C_12h",6
"270","Basal","390C_12h",0
"271","Ciliated","390C_12h",0
"272","DC","390C_12h",2
"273","Endothelial","390C_12h",0
"274","Fibroblast","390C_12h",2
"275","Macrophages","390C_12h",2
"276","Monocytes","390C_12h",0
"277","NK+T","390C_12h",18
"278","Plasma+B","390C_12h",0
"279","Secretory","390C_12h",0
"280","Stromal","390C_12h",1
"281","Airway Epithelial","390C_24h",0
"282","AT1","390C_24h",0
"283","AT2","390C_24h",2
"284","Basal","390C_24h",0
"285","Ciliated","390C_24h",0
"286","DC","390C_24h",1
"287","Endothelial","390C_24h",1
"288","Fibroblast","390C_24h",1
"289","Macrophages","390C_24h",0
"290","Monocytes","390C_24h",0
"291","NK+T","390C_24h",12
"292","Plasma+B","390C_24h",0
"293","Secretory","390C_24h",0
"294","Stromal","390C_24h",0
"295","Airway Epithelial","390C_72h",0
"296","AT1","390C_72h",0
"297","AT2","390C_72h",2
"298","Basal","390C_72h",0
"299","Ciliated","390C_72h",0
"300","DC","390C_72h",1
"301","Endothelial","390C_72h",0
"302","Fibroblast","390C_72h",0
"303","Macrophages","390C_72h",0
"304","Monocytes","390C_72h",4
"305","NK+T","390C_72h",10
"306","Plasma+B","390C_72h",1
"307","Secretory","390C_72h",0
"308","Stromal","390C_72h",0
"309","Airway Epithelial","4951STDY7472265_LUNG",0
"310","AT1","4951STDY7472265_LUNG",0
"311","AT2","4951STDY7472265_LUNG",0
"312","Basal","4951STDY7472265_LUNG",1
"313","Ciliated","4951STDY7472265_LUNG",9
"314","DC","4951STDY7472265_LUNG",1
"315","Endothelial","4951STDY7472265_LUNG",0
"316","Fibroblast","4951STDY7472265_LUNG",0
"317","Macrophages","4951STDY7472265_LUNG",0
"318","Monocytes","4951STDY7472265_LUNG",0
"319","NK+T","4951STDY7472265_LUNG",0
"320","Plasma+B","4951STDY7472265_LUNG",0
"321","Secretory","4951STDY7472265_LUNG",10
"322","Stromal","4951STDY7472265_LUNG",0
"323","Airway Epithelial","4951STDY7472266_LUNG",1
"324","AT1","4951STDY7472266_LUNG",0
"325","AT2","4951STDY7472266_LUNG",0
"326","Basal","4951STDY7472266_LUNG",9
"327","Ciliated","4951STDY7472266_LUNG",11
"328","DC","4951STDY7472266_LUNG",0
"329","Endothelial","4951STDY7472266_LUNG",0
"330","Fibroblast","4951STDY7472266_LUNG",0
"331","Macrophages","4951STDY7472266_LUNG",0
"332","Monocytes","4951STDY7472266_LUNG",0
"333","NK+T","4951STDY7472266_LUNG",0
"334","Plasma+B","4951STDY7472266_LUNG",0
"335","Secretory","4951STDY7472266_LUNG",43
"336","Stromal","4951STDY7472266_LUNG",0
"337","Airway Epithelial","4951STDY7472267_LUNG",2
"338","AT1","4951STDY7472267_LUNG",0
"339","AT2","4951STDY7472267_LUNG",0
"340","Basal","4951STDY7472267_LUNG",1
"341","Ciliated","4951STDY7472267_LUNG",30
"342","DC","4951STDY7472267_LUNG",0
"343","Endothelial","4951STDY7472267_LUNG",0
"344","Fibroblast","4951STDY7472267_LUNG",0
"345","Macrophages","4951STDY7472267_LUNG",0
"346","Monocytes","4951STDY7472267_LUNG",0
"347","NK+T","4951STDY7472267_LUNG",0
"348","Plasma+B","4951STDY7472267_LUNG",0
"349","Secretory","4951STDY7472267_LUNG",11
"350","Stromal","4951STDY7472267_LUNG",0
"351","Airway Epithelial","4951STDY7487591_LUNG",0
"352","AT1","4951STDY7487591_LUNG",0
"353","AT2","4951STDY7487591_LUNG",0
"354","Basal","4951STDY7487591_LUNG",8
"355","Ciliated","4951STDY7487591_LUNG",6
"356","DC","4951STDY7487591_LUNG",0
"357","Endothelial","4951STDY7487591_LUNG",0
"358","Fibroblast","4951STDY7487591_LUNG",0
"359","Macrophages","4951STDY7487591_LUNG",0
"360","Monocytes","4951STDY7487591_LUNG",0
"361","NK+T","4951STDY7487591_LUNG",0
"362","Plasma+B","4951STDY7487591_LUNG",0
"363","Secretory","4951STDY7487591_LUNG",4
"364","Stromal","4951STDY7487591_LUNG",0
"365","Airway Epithelial","4951STDY7487592_LUNG",0
"366","AT1","4951STDY7487592_LUNG",0
"367","AT2","4951STDY7487592_LUNG",0
"368","Basal","4951STDY7487592_LUNG",0
"369","Ciliated","4951STDY7487592_LUNG",15
"370","DC","4951STDY7487592_LUNG",0
"371","Endothelial","4951STDY7487592_LUNG",0
"372","Fibroblast","4951STDY7487592_LUNG",0
"373","Macrophages","4951STDY7487592_LUNG",0
"374","Monocytes","4951STDY7487592_LUNG",0
"375","NK+T","4951STDY7487592_LUNG",0
"376","Plasma+B","4951STDY7487592_LUNG",0
"377","Secretory","4951STDY7487592_LUNG",7
"378","Stromal","4951STDY7487592_LUNG",0
"379","Airway Epithelial","4951STDY7487593_LUNG",0
"380","AT1","4951STDY7487593_LUNG",0
"381","AT2","4951STDY7487593_LUNG",0
"382","Basal","4951STDY7487593_LUNG",1
"383","Ciliated","4951STDY7487593_LUNG",0
"384","DC","4951STDY7487593_LUNG",0
"385","Endothelial","4951STDY7487593_LUNG",0
"386","Fibroblast","4951STDY7487593_LUNG",0
"387","Macrophages","4951STDY7487593_LUNG",0
"388","Monocytes","4951STDY7487593_LUNG",0
"389","NK+T","4951STDY7487593_LUNG",0
"390","Plasma+B","4951STDY7487593_LUNG",0
