"","param","celltype","counts"
"126","GSM4058938","Airway Epithelial",0
"127","GSM4058939","Airway Epithelial",5
"128","GSM4058940","Airway Epithelial",7
"129","GSM4058941","Airway Epithelial",0
"130","GSM4058942","Airway Epithelial",0
"131","GSM4058947","Airway Epithelial",0
"132","GSM4058949","Airway Epithelial",3
"133","GSM4058953","Airway Epithelial",4
"134","GSM4058956","Airway Epithelial",2
"135","GSM4058957","Airway Epithelial",0
"136","GSM4058962","Airway Epithelial",0
"137","GSM4058963","Airway Epithelial",0
"138","GSM4058971","Airway Epithelial",1
"139","GSM4058973","Airway Epithelial",0
"140","GSM4058975","Airway Epithelial",1
"141","GSM4058976","Airway Epithelial",0
"142","GSM4058977","Airway Epithelial",1
"143","GSM4065876","Airway Epithelial",0
"144","GSM4065877","Airway Epithelial",0
"145","GSM4065878","Airway Epithelial",0
"146","GSM4065879","Airway Epithelial",0
"147","GSM4143262","Airway Epithelial",0
"148","GSM4143263","Airway Epithelial",0
"149","GSM4143656","Airway Epithelial",0
"150","GSM4143658","Airway Epithelial",0
"151","GSM4143660","Airway Epithelial",0
"152","GSM4143662","Airway Epithelial",0
"153","GSM4143664","Airway Epithelial",0
"154","GSM4143666","Airway Epithelial",0
"155","GSM4321402","Airway Epithelial",0
"156","GSM4321403","Airway Epithelial",0
"157","GSM4321404","Airway Epithelial",0
"158","GSM4321405","Airway Epithelial",0
"159","GSM4544005","Airway Epithelial",0
"160","GSM4544006","Airway Epithelial",0
"161","GSM4544007","Airway Epithelial",0
"162","GSM4763859","Airway Epithelial",0
"163","GSM4763860","Airway Epithelial",0
"164","GSM4763861","Airway Epithelial",0
"165","GSM4763862","Airway Epithelial",0
"166","GSM4763863","Airway Epithelial",0
"167","GSM4816089","Airway Epithelial",0
"168","GSM4876617","Airway Epithelial",2
"169","GSM4876620","Airway Epithelial",0
"170","GSM5100998","Airway Epithelial",0
"171","GSM5100999","Airway Epithelial",0
"172","GSM5101000","Airway Epithelial",0
"173","GSM5133588","Airway Epithelial",0
"174","GSM5133589","Airway Epithelial",0
"175","GSM5133590","Airway Epithelial",0
"176","GSM5133591","Airway Epithelial",0
"177","GSM5133592","Airway Epithelial",0
"178","GSM5133593","Airway Epithelial",0
"179","GSM5133594","Airway Epithelial",3
"180","GSM5133595","Airway Epithelial",0
"181","GSM5133596","Airway Epithelial",0
"182","GSM5133597","Airway Epithelial",0
"183","GSM5133598","Airway Epithelial",0
"184","GSM5133599","Airway Epithelial",8
"185","GSM5133600","Airway Epithelial",8
"186","GSM5133601","Airway Epithelial",1
"187","GSM5133602","Airway Epithelial",0
"188","GSM5133603","Airway Epithelial",0
"189","GSM5133604","Airway Epithelial",0
"190","GSM5133605","Airway Epithelial",0
