"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"RNASEH2C",0.00763186643523996,0.200762806159073,0.189,0.145,1,"COPD","RNASEH2C"
"JOSD1",0.00764280087161504,0.201545702343758,0.18,0.136,1,"COPD","JOSD1"
"CHD4",0.00767523102636132,0.239009405536266,0.267,0.219,1,"COPD","CHD4"
"EIF3J",0.00774350552552959,0.272478037547655,0.334,0.276,1,"COPD","EIF3J"
"ARL14EP",0.00776557565834356,0.217224219239006,0.121,0.086,1,"COPD","ARL14EP"
"FEZ2",0.00778125383498587,0.211600003427407,0.339,0.283,1,"COPD","FEZ2"
"PHF11",0.00781477297097828,0.257172869395756,0.198,0.154,1,"COPD","PHF11"
"DHX29",0.00786994856481668,0.358680095845671,0.193,0.151,1,"COPD","DHX29"
"CHORDC1",0.00788733716048497,0.17345276243912,0.172,0.129,1,"COPD","CHORDC1"
"ALDH6A1",0.00791730405553393,0.31699481149843,0.103,0.071,1,"COPD","ALDH6A1"
"YIPF5",0.00793748746012641,0.26655366371017,0.182,0.138,1,"COPD","YIPF5"
"CIAO1",0.00796535316703608,0.343290418623985,0.125,0.09,1,"COPD","CIAO1"
"SUPT16H",0.0079879159146715,0.338113375217386,0.217,0.171,1,"COPD","SUPT16H"
"RDH14",0.00800005899829295,0.414788817091629,0.119,0.085,1,"COPD","RDH14"
"CYB5R1",0.00804205939360306,0.489900489540009,0.126,0.092,1,"COPD","CYB5R1"
"RNPS1",0.00807584601237751,0.24504280225937,0.282,0.228,1,"COPD","RNPS1"
"DDA1",0.00812088720148882,0.285308361755653,0.111,0.078,1,"COPD","DDA1"
"AK2",0.00814263299941223,0.216489319026187,0.214,0.166,1,"COPD","AK2"
"NME3",0.00819943779120369,0.209217681750635,0.307,0.251,1,"COPD","NME3"
"RBM15B",0.0082062302366956,0.178888363944958,0.103,0.071,1,"COPD","RBM15B"
"TUBA1C",0.00821296236921964,0.265047353278901,0.115,0.081,1,"COPD","TUBA1C"
"CASP1",0.00822338410253168,0.392336279370598,0.182,0.141,1,"COPD","CASP1"
"TMEM183A",0.00822587632468476,0.392075610617261,0.127,0.091,1,"COPD","TMEM183A"
"STX10",0.0082281371757085,0.392468173853442,0.118,0.085,1,"COPD","STX10"
"ZNF347",0.00824189936456067,0.401940727839735,0.13,0.095,1,"COPD","ZNF347"
