"","gene","p_val_adj","avg_log2FC","cluster","p_val","celltype","pct.1","pct.2"
"1781","DSG2",0.0353936129026257,0.0940609964851648,"Normal",0.0318258561154692,"Airway Epithelial",0.0428571428571429,0.114285714285714
"1782","DSN1",0.0430765695706828,0.0716350951484627,"Normal",0.0406908589371098,"Airway Epithelial",0.0357142857142857,0.1
"1783","DST",1.99143783762448e-06,0.688319333994309,"Normal",7.83381343993067e-08,"Airway Epithelial",0.164285714285714,0.535714285714286
"1784","DTD1",0.00234919181076953,0.26772346239999,"Normal",0.000976702030021026,"Airway Epithelial",0.121428571428571,0.292857142857143
"1785","DTD2",0.0151376567006497,0.0909482634462625,"Normal",0.0106887143328029,"Airway Epithelial",0.00714285714285714,0.0642857142857143
"1786","DTHD1",0.0131356761615144,0.270482601258502,"COPD",0.00888969802338514,"Airway Epithelial",0.0928571428571429,0.0214285714285714
"1787","DTL",0.00724909279933223,0.0904155907951014,"Normal",0.00421456702217905,"Airway Epithelial",0,0.0571428571428571
"1788","DTNB",0.00132478690368288,0.392471501096382,"Normal",0.000471081057365497,"Airway Epithelial",0.142857142857143,0.328571428571429
"1789","DTNBP1",0.00124785879698912,0.334357519189459,"Normal",0.000435975511370422,"Airway Epithelial",0.0857142857142857,0.242857142857143
"1790","DTWD1",0.00691540754196069,0.157616451728354,"Normal",0.00391501832848355,"Airway Epithelial",0.0714285714285714,0.2
"1791","DTX3",4.93840777520083e-06,0.323437043752725,"Normal",2.90757704155846e-07,"Airway Epithelial",0.00714285714285714,0.192857142857143
"1792","DTX3L",0.0121250826633282,0.121063100644245,"Normal",0.00809594028762596,"Airway Epithelial",0.0357142857142857,0.121428571428571
"1793","DTX4",0.035936694540686,0.100189758561061,"Normal",0.0325234525902637,"Airway Epithelial",0.0142857142857143,0.0642857142857143
"1794","DTYMK",0.000522325341023922,0.250460969778521,"Normal",0.000140724400436729,"Airway Epithelial",0.0571428571428571,0.221428571428571
"1795","DUOX1",7.64344856345875e-05,0.468604645236881,"Normal",1.14038511822825e-05,"Airway Epithelial",0.0714285714285714,0.264285714285714
"1796","DUOXA1",0.000814257358819293,0.257927878801544,"Normal",0.000252032039634543,"Airway Epithelial",0.0285714285714286,0.157142857142857
"1797","DUS3L",0.000141209498677701,0.242834908624613,"Normal",2.52937349217953e-05,"Airway Epithelial",0.0142857142857143,0.157142857142857
"1798","DUS4L",0.0365506851109111,0.0612080314877044,"Normal",0.0333629053794471,"Airway Epithelial",0.00714285714285714,0.05
"1799","DUSP10",0.0183731805332881,0.194518690172089,"Normal",0.0137933608550292,"Airway Epithelial",0.05,0.135714285714286
"1800","DUSP11",0.0214355370090113,0.158983584815726,"Normal",0.0165401433081692,"Airway Epithelial",0.0642857142857143,0.157142857142857
"1801","DUSP12",0.00168702478626789,0.194842221195031,"Normal",0.000635035598247063,"Airway Epithelial",0.0428571428571429,0.171428571428571
"1802","DUSP15",0.00724909279933223,0.0868817864898541,"Normal",0.00421456702217905,"Airway Epithelial",0,0.0571428571428571
