"","groups","accession","counts"
"157","COPD","GSM3896325",0
"158","Normal","GSM3896325",49
"159","COPD","GSM3896326",0
"160","Normal","GSM3896326",13
"161","COPD","GSM4008628",0
"162","Normal","GSM4008628",18
"163","COPD","GSM4008629",0
"164","Normal","GSM4008629",1
"165","COPD","GSM4008630",0
"166","Normal","GSM4008630",3
"167","COPD","GSM4008631",0
"168","Normal","GSM4008631",1
"169","COPD","GSM4008632",0
"170","Normal","GSM4008632",3
"171","COPD","GSM4008633",0
"172","Normal","GSM4008633",3
"173","COPD","GSM4037301",0
"174","Normal","GSM4037301",45
"175","COPD","GSM4037302",0
"176","Normal","GSM4037302",46
"177","COPD","GSM4037305",0
"178","Normal","GSM4037305",103
"179","COPD","GSM4037306",0
"180","Normal","GSM4037306",46
"181","COPD","GSM4037309",0
"182","Normal","GSM4037309",13
"183","COPD","GSM4037313",0
"184","Normal","GSM4037313",34
"185","COPD","GSM4037316",0
"186","Normal","GSM4037316",22
"187","COPD","GSM4037323",0
"188","Normal","GSM4037323",14
"189","COPD","GSM4037324",0
"190","Normal","GSM4037324",35
"191","COPD","GSM4037325",0
"192","Normal","GSM4037325",44
"193","COPD","GSM4058901",0
"194","Normal","GSM4058901",13
"195","COPD","GSM4058904",0
"196","Normal","GSM4058904",152
"197","COPD","GSM4058905",0
"198","Normal","GSM4058905",3
"199","COPD","GSM4058907",0
"200","Normal","GSM4058907",36
"201","COPD","GSM4058908",0
"202","Normal","GSM4058908",11
"203","COPD","GSM4058909",0
"204","Normal","GSM4058909",42
"205","COPD","GSM4058913",0
"206","Normal","GSM4058913",93
"207","COPD","GSM4058914",0
"208","Normal","GSM4058914",91
"209","COPD","GSM4058915",0
"210","Normal","GSM4058915",18
"211","COPD","GSM4058916",0
"212","Normal","GSM4058916",21
"213","COPD","GSM4058917",166
"214","Normal","GSM4058917",0
"215","COPD","GSM4058918",0
"216","Normal","GSM4058918",22
"217","COPD","GSM4058919",0
"218","Normal","GSM4058919",20
"219","COPD","GSM4058920",0
"220","Normal","GSM4058920",5
"221","COPD","GSM4058921",0
"222","Normal","GSM4058921",42
"223","COPD","GSM4058922",0
"224","Normal","GSM4058922",19
"225","COPD","GSM4058923",0
"226","Normal","GSM4058923",16
"227","COPD","GSM4058924",0
"228","Normal","GSM4058924",21
"229","COPD","GSM4058925",0
"230","Normal","GSM4058925",3
"231","COPD","GSM4058926",3
"232","Normal","GSM4058926",0
"233","COPD","GSM4058927",0
"234","Normal","GSM4058927",39
"235","COPD","GSM4058928",85
"236","Normal","GSM4058928",0
"237","COPD","GSM4058931",80
"238","Normal","GSM4058931",0
"239","COPD","GSM4058932",0
"240","Normal","GSM4058932",35
"241","COPD","GSM4058933",179
"242","Normal","GSM4058933",0
"243","COPD","GSM4058934",72
"244","Normal","GSM4058934",0
"245","COPD","GSM4058935",119
"246","Normal","GSM4058935",0
"247","COPD","GSM4058936",0
"248","Normal","GSM4058936",28
"249","COPD","GSM4058937",0
"250","Normal","GSM4058937",65
"251","COPD","GSM4058938",57
"252","Normal","GSM4058938",0
"253","COPD","GSM4058939",112
"254","Normal","GSM4058939",0
"255","COPD","GSM4058940",149
"256","Normal","GSM4058940",0
"257","COPD","GSM4058941",47
"258","Normal","GSM4058941",0
"259","COPD","GSM4058942",16
"260","Normal","GSM4058942",0
"261","COPD","GSM4058947",0
"262","Normal","GSM4058947",66
"263","COPD","GSM4058949",116
"264","Normal","GSM4058949",0
"265","COPD","GSM4058953",182
"266","Normal","GSM4058953",0
"267","COPD","GSM4058956",81
"268","Normal","GSM4058956",0
"269","COPD","GSM4058957",0
"270","Normal","GSM4058957",118
"271","COPD","GSM4058962",87
"272","Normal","GSM4058962",0
"273","COPD","GSM4058963",0
"274","Normal","GSM4058963",7
"275","COPD","GSM4058971",114
"276","Normal","GSM4058971",0
"277","COPD","GSM4058973",0
"278","Normal","GSM4058973",37
"279","COPD","GSM4058975",0
"280","Normal","GSM4058975",103
"281","COPD","GSM4058976",0
"282","Normal","GSM4058976",45
"283","COPD","GSM4058977",206
"284","Normal","GSM4058977",0
"285","COPD","GSM4065876",0
"286","Normal","GSM4065876",8
"287","COPD","GSM4065877",0
"288","Normal","GSM4065877",9
"289","COPD","GSM4065878",0
"290","Normal","GSM4065878",30
"291","COPD","GSM4065879",0
"292","Normal","GSM4065879",22
"293","COPD","GSM4143262",0
"294","Normal","GSM4143262",142
"295","COPD","GSM4143263",0
"296","Normal","GSM4143263",123
"297","COPD","GSM4143656",0
"298","Normal","GSM4143656",11
"299","COPD","GSM4143658",0
"300","Normal","GSM4143658",13
"301","COPD","GSM4143660",0
"302","Normal","GSM4143660",57
"303","COPD","GSM4143662",0
"304","Normal","GSM4143662",2
"305","COPD","GSM4143664",0
"306","Normal","GSM4143664",46
"307","COPD","GSM4143666",0
"308","Normal","GSM4143666",55
"309","COPD","GSM4321402",0
"310","Normal","GSM4321402",25
"311","COPD","GSM4321403",0
"312","Normal","GSM4321403",15
"313","COPD","GSM4321404",0
"314","Normal","GSM4321404",26
"315","COPD","GSM4321405",0
"316","Normal","GSM4321405",8
"317","COPD","GSM4544005",0
"318","Normal","GSM4544005",40
"319","COPD","GSM4544006",0
"320","Normal","GSM4544006",43
"321","COPD","GSM4544007",0
"322","Normal","GSM4544007",57
"323","COPD","GSM4763859",0
"324","Normal","GSM4763859",14
"325","COPD","GSM4763860",0
"326","Normal","GSM4763860",9
"327","COPD","GSM4763861",0
"328","Normal","GSM4763861",4
"329","COPD","GSM4763862",0
"330","Normal","GSM4763862",1
"331","COPD","GSM4763863",0
"332","Normal","GSM4763863",4
