"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"PPFIA1",0.00521544944027755,0.423678754722668,0.19,0.139,1,"Normal","PPFIA1"
"PHTF2",0.00527707885560542,0.404756289755202,0.292,0.237,1,"Normal","PHTF2"
"TRAF3",0.00529862769333036,0.197111977008365,0.595,0.502,1,"Normal","TRAF3"
"SLAMF1",0.00530285811020434,0.436375796700617,0.155,0.108,1,"Normal","SLAMF1"
"LSM10",0.00532939413419265,0.293750495894722,0.187,0.134,1,"Normal","LSM10"
"HACD2",0.00547266310576718,0.566765582415305,0.123,0.081,1,"Normal","HACD2"
"UBE2J1",0.005488241800256,0.409182262098728,0.298,0.243,1,"Normal","UBE2J1"
"GUSBP2",0.00552684957896008,0.663576544624806,0.123,0.082,1,"Normal","GUSBP2"
"TMEM154",0.00555773352892781,0.321124825225206,0.35,0.29,1,"Normal","TMEM154"
"PRKN",0.00560403651984338,0.467262122725071,0.237,0.185,1,"Normal","PRKN"
"NSD1",0.00563680563521323,0.342970676004683,0.323,0.26,1,"Normal","NSD1"
"DEDD2",0.0057655193221903,0.568224748749087,0.132,0.091,1,"Normal","DEDD2"
"TRPM7",0.00578108871010492,0.301822949336216,0.366,0.304,1,"Normal","TRPM7"
"TLR1",0.00582523742362,0.490605053745297,0.1,0.063,1,"Normal","TLR1"
"PALM2AKAP2",0.0058953153935867,0.513577559778322,0.213,0.163,1,"Normal","PALM2AKAP2"
"RPL10AP6",0.00590944548806398,0.265623605274623,0.315,0.245,1,"Normal","RPL10AP6"
"LINC01138",0.00609152356422271,0.686486832256917,0.165,0.121,1,"Normal","LINC01138"
"LARGE1",0.00610555821509836,0.248784424342822,0.437,0.355,1,"Normal","LARGE1"
"EP400",0.00614459038329915,0.413113747795274,0.152,0.106,1,"Normal","EP400"
"DMAC1",0.00623119015519028,0.637230142303931,0.116,0.077,1,"Normal","DMAC1"
"PWWP2A",0.00623396015554792,0.401032735940027,0.158,0.11,1,"Normal","PWWP2A"
"INPP4A",0.00630008364367374,0.60695274562716,0.108,0.07,1,"Normal","INPP4A"
"RICTOR",0.00630152995235326,0.305592987879281,0.339,0.272,1,"Normal","RICTOR"
"THADA",0.00642768436522108,0.408940246369031,0.258,0.203,1,"Normal","THADA"
"LUC7L2",0.0064726754733029,0.297080916808834,0.397,0.332,1,"Normal","LUC7L2"
"CCDC88C",0.00652955027075491,0.265246790490272,0.335,0.27,1,"Normal","CCDC88C"
"THSD4",0.00664159878485595,0.27694590197419,0.279,0.218,1,"Normal","THSD4"
"FBXW8",0.00667791787139196,0.634355521607075,0.106,0.069,1,"Normal","FBXW8"
"CFDP1",0.0066928647612612,0.389052646821382,0.242,0.188,1,"Normal","CFDP1"
"WDFY2",0.00678612151799477,0.374494655367976,0.268,0.21,1,"Normal","WDFY2"
"RBM34",0.00679392083584756,0.460027525546513,0.155,0.109,1,"Normal","RBM34"
"CLIP2",0.00694488885799035,0.432818481365953,0.129,0.087,1,"Normal","CLIP2"
"ITGB3BP",0.00698613336024038,0.440444016621094,0.116,0.076,1,"Normal","ITGB3BP"
"PAK1",0.00701371506626195,0.363554994989342,0.197,0.145,1,"Normal","PAK1"
"RPL36A",0.0070520906272802,0.0648638748395522,0.863,0.851,1,"Normal","RPL36A"
"LRIG2",0.00734161083635713,0.757926613212967,0.103,0.068,1,"Normal","LRIG2"
"CUX1",0.00737730383397968,0.236092166609657,0.392,0.32,1,"Normal","CUX1"
"ATXN7",0.00742117761421335,0.416568344325994,0.182,0.133,1,"Normal","ATXN7"
"AMFR",0.00742871764433152,0.453411080266144,0.256,0.205,1,"Normal","AMFR"
"KCNN4",0.00743431331204828,0.436306149919049,0.139,0.095,1,"Normal","KCNN4"
"RMND5A",0.00744585961813984,0.434438761371257,0.16,0.114,1,"Normal","RMND5A"
"CLEC2B",0.00745695639654712,0.503576317534703,0.163,0.118,1,"Normal","CLEC2B"
"REEP3",0.00746010016198547,0.507513190415311,0.127,0.088,1,"Normal","REEP3"
"TMEM192",0.00746561086798555,0.437760388511122,0.1,0.064,1,"Normal","TMEM192"
"IGHA2",0.00746940943991215,0.0588525840463494,0.273,0.208,1,"Normal","IGHA2"
"GOLM2",0.00748934377171113,0.538163478589127,0.174,0.13,1,"Normal","GOLM2"
"MCOLN2",0.00759593305817445,0.416641496180945,0.123,0.081,1,"Normal","MCOLN2"
"PTS",0.00768632280909578,0.4260145942498,0.113,0.074,1,"Normal","PTS"
"PMS2P1",0.00775475757991105,0.53020593165672,0.163,0.119,1,"Normal","PMS2P1"
"VPS13B",0.0078049461303557,0.2642587123017,0.382,0.314,1,"Normal","VPS13B"
"SPAG9",0.00789354330357948,0.313175218599367,0.356,0.299,1,"Normal","SPAG9"
"SLC30A9",0.00796555597670725,0.466805842364324,0.142,0.099,1,"Normal","SLC30A9"
"ZNF433-AS1",0.00805170142391773,0.578186105235142,0.145,0.104,1,"Normal","ZNF433-AS1"
"ATP6V0A1",0.00812841703224083,0.580557489211583,0.158,0.114,1,"Normal","ATP6V0A1"
"ATP5PB",0.00818918155992143,0.383742771801446,0.198,0.149,1,"Normal","ATP5PB"
"POLA1",0.00821226559387627,0.427096646113379,0.126,0.085,1,"Normal","POLA1"
"PPP1CC",0.00821515139096303,0.145467550681098,0.25,0.187,1,"Normal","PPP1CC"
"ZNF827",0.00827410450560234,0.502455924131306,0.113,0.075,1,"Normal","ZNF827"
"DIAPH2",0.00847994272293924,0.326392632437514,0.306,0.249,1,"Normal","DIAPH2"
"ACBD6",0.00850048657532861,0.404258049495843,0.229,0.179,1,"Normal","ACBD6"
"MARS1",0.00850709260092218,0.661537349651971,0.118,0.08,1,"Normal","MARS1"
"RPS6KC1",0.00851132484363272,0.590591012509298,0.115,0.077,1,"Normal","RPS6KC1"
"ARIH2",0.00858819950571874,0.315701126896978,0.26,0.205,1,"Normal","ARIH2"
"ZNF638",0.00861055764067427,0.327742454333084,0.326,0.267,1,"Normal","ZNF638"
"TNPO3",0.0086680574955974,0.340871882362343,0.237,0.184,1,"Normal","TNPO3"
"BBS9",0.0086774768571388,0.442041793160759,0.111,0.073,1,"Normal","BBS9"
"DACH2",0.00869065080887265,0.694701491589332,0.145,0.107,1,"Normal","DACH2"
"POLK",0.00869853895431594,0.289155612747393,0.14,0.096,1,"Normal","POLK"
"PDXDC1",0.00870898732514082,0.18568733877379,0.434,0.354,1,"Normal","PDXDC1"
"MPP6",0.00875918864087698,0.353366221545813,0.213,0.161,1,"Normal","MPP6"
"ZFR",0.0087665635586589,0.268732355007715,0.334,0.271,1,"Normal","ZFR"
"SMAD3",0.00879012666902944,0.416752589751104,0.273,0.222,1,"Normal","SMAD3"
"NSRP1",0.00880416403408269,0.29179630711576,0.265,0.207,1,"Normal","NSRP1"
"RCOR3",0.00880631167598333,0.423939862788772,0.179,0.132,1,"Normal","RCOR3"
"MTFR1",0.00900965777489555,0.272195092462298,0.348,0.283,1,"Normal","MTFR1"
"CNST",0.00904313784418139,0.45386246940582,0.235,0.187,1,"Normal","CNST"
"OXR1",0.00908782102063839,0.318025476962423,0.36,0.305,1,"Normal","OXR1"
"AK6",0.00910234008073477,0.459127093706622,0.15,0.108,1,"Normal","AK6"
"TNKS",0.00915075635078095,0.365611026279079,0.277,0.225,1,"Normal","TNKS"
"TPP2",0.00918773493573142,0.327482565697619,0.184,0.136,1,"Normal","TPP2"
"RUBCN",0.00919377337375842,0.231032227276617,0.368,0.302,1,"Normal","RUBCN"
"ABI2",0.00928056820047991,0.448430159115097,0.111,0.074,1,"Normal","ABI2"
"PLEKHA2",0.00929881091920952,0.271541598007544,0.368,0.305,1,"Normal","PLEKHA2"
"YWHAG",0.00932207614093364,0.428276074192074,0.195,0.147,1,"Normal","YWHAG"
"TTC1",0.00933521418681679,0.344245553010626,0.189,0.14,1,"Normal","TTC1"
"LRCH3",0.00935264629422736,0.275625641837848,0.269,0.211,1,"Normal","LRCH3"
"RANBP10",0.00938038897558783,0.430482797323772,0.174,0.126,1,"Normal","RANBP10"
"WWP2",0.00939680215232705,0.384021446665045,0.205,0.155,1,"Normal","WWP2"
"C16orf54",0.00941699800855729,0.44808603808375,0.153,0.11,1,"Normal","C16orf54"
"HIBCH",0.00942352289300976,0.435339456036399,0.145,0.103,1,"Normal","HIBCH"
"LTA4H",0.00949313682757181,0.269121470312038,0.198,0.147,1,"Normal","LTA4H"
"SMARCAD1",0.00955349060476156,0.51189836029902,0.179,0.135,1,"Normal","SMARCAD1"
"P2RY10",0.00967302943057749,0.299665480838443,0.169,0.123,1,"Normal","P2RY10"
"XPO5",0.00968518454016678,0.436519067794106,0.194,0.147,1,"Normal","XPO5"
"TFRC",0.0097062460668064,0.34598081881514,0.321,0.268,1,"Normal","TFRC"
"STRN3",0.00973594058607694,0.372666696646897,0.287,0.234,1,"Normal","STRN3"
"RPAP3",0.00976523262633334,0.372171800343576,0.129,0.088,1,"Normal","RPAP3"
"MAP3K3",0.00984793709148081,0.544592914449384,0.106,0.07,1,"Normal","MAP3K3"
"CDC42EP3",0.00995774992105227,0.493130969278668,0.163,0.12,1,"Normal","CDC42EP3"
"LINC00926",0.0100911955371024,0.231665177727869,0.448,0.375,1,"Normal","LINC00926"
"MACF1",0.0101118204568074,0.335914293108088,0.355,0.297,1,"Normal","MACF1"
"HLCS",0.0101165213687478,0.803322901032777,0.1,0.066,1,"Normal","HLCS"
"FNBP4",0.0102163670871836,0.225502433770987,0.397,0.323,1,"Normal","FNBP4"
"IGHG2",0.010233157458884,0.0892033934675536,0.263,0.207,1,"Normal","IGHG2"
"MYC",0.0102468816047922,0.182224771579331,0.169,0.123,1,"Normal","MYC"
"PHF6",0.0103002801706779,0.444952456765135,0.147,0.105,1,"Normal","PHF6"
"PRPF3",0.0103508425511876,0.528030526206971,0.156,0.113,1,"Normal","PRPF3"
"PPP1R12B",0.0104974867394497,0.636576157307212,0.131,0.093,1,"Normal","PPP1R12B"
"CALHM6",0.0105813196132602,0.404825243256046,0.116,0.078,1,"Normal","CALHM6"
"IQCB1",0.010605745263407,0.417510648559763,0.182,0.135,1,"Normal","IQCB1"
"IMMP2L",0.0106707498999819,0.320938158926015,0.337,0.279,1,"Normal","IMMP2L"
"DNM2",0.0107385993987549,0.342357160745602,0.315,0.255,1,"Normal","DNM2"
"SARNP",0.0107636928003811,0.438371341845814,0.202,0.155,1,"Normal","SARNP"
"STX8",0.0107978297393478,0.290017211822012,0.331,0.267,1,"Normal","STX8"
"ARHGAP26",0.0108017582377768,0.275219406762917,0.24,0.186,1,"Normal","ARHGAP26"
"RAB3GAP1",0.0108075248834574,0.260025030180881,0.355,0.289,1,"Normal","RAB3GAP1"
"TBC1D12",0.0108759553472397,0.616431076818159,0.123,0.085,1,"Normal","TBC1D12"
"RPL17P36",0.0109611249869451,0.241809918662438,0.216,0.161,1,"Normal","RPL17P36"
"USPL1",0.0109868705317676,0.413517193301552,0.24,0.193,1,"Normal","USPL1"
"TXNDC5",0.010989395698616,0.334673626828964,0.223,0.173,1,"Normal","TXNDC5"
"ATP8A1",0.0110035086193624,0.333056205030253,0.224,0.174,1,"Normal","ATP8A1"
"KIAA1328",0.0110528495158536,0.654660661531414,0.131,0.093,1,"Normal","KIAA1328"
"SENP2",0.0111336939846328,0.37273073866428,0.208,0.16,1,"Normal","SENP2"
"RPL10P12",0.0111999182185697,0.291490504383642,0.189,0.138,1,"Normal","RPL10P12"
"ZNF407",0.0113076836987835,0.461707449262179,0.184,0.139,1,"Normal","ZNF407"
"ATF7IP",0.0113244795433302,0.253671332347169,0.458,0.4,1,"Normal","ATF7IP"
"RPL37P6",0.0114109369534399,0.401427813723628,0.102,0.066,1,"Normal","RPL37P6"
"GAB1",0.0114181489045193,0.320429240167499,0.297,0.242,1,"Normal","GAB1"
"NPIPB15",0.0115225919414169,0.503859347739553,0.19,0.145,1,"Normal","NPIPB15"
"RAP1GAP2",0.0115440046851788,0.506360334610205,0.147,0.106,1,"Normal","RAP1GAP2"
"TOX",0.0116366831696542,0.339241736471644,0.213,0.163,1,"Normal","TOX"
"CD22",0.0117707237318005,0.223062930288486,0.273,0.212,1,"Normal","CD22"
"TBXAS1",0.0117786307399317,0.166694460549869,0.282,0.22,1,"Normal","TBXAS1"
"PARP15",0.011828079565116,0.28504711211762,0.34,0.28,1,"Normal","PARP15"
"AKIRIN2",0.0119243222007741,0.249426327717893,0.258,0.202,1,"Normal","AKIRIN2"
"LGMN",0.0119794114761448,0.438318341165968,0.14,0.1,1,"Normal","LGMN"
"STIM1",0.0120890421355319,0.311540928441029,0.348,0.297,1,"Normal","STIM1"
"CDK19",0.0120985336607538,0.410829674813322,0.211,0.164,1,"Normal","CDK19"
"SNAP23",0.0121363899803995,0.30566775741677,0.224,0.175,1,"Normal","SNAP23"
"SIMC1",0.0121409834967763,0.548402381522275,0.137,0.098,1,"Normal","SIMC1"
"ANAPC1",0.0121507591842616,0.391340359776703,0.135,0.095,1,"Normal","ANAPC1"
"HOOK2",0.0121852075956675,0.239595215739149,0.268,0.21,1,"Normal","HOOK2"
"CUTC",0.012339217502825,0.263388862295224,0.108,0.071,1,"Normal","CUTC"
"RPL6P19",0.0123398450877335,0.478622246678742,0.145,0.104,1,"Normal","RPL6P19"
"RPS2P8",0.0123485972440916,0.335639141353025,0.116,0.079,1,"Normal","RPS2P8"
"IGLC3",0.0124065434037879,0.0302206503225042,0.385,0.318,1,"Normal","IGLC3"
"NAA50",0.0126120500274768,0.273502940503797,0.252,0.195,1,"Normal","NAA50"
"DISC1",0.0126821220161781,0.459209732704247,0.119,0.082,1,"Normal","DISC1"
"TRIM56",0.0127058172119619,0.55288072327554,0.124,0.087,1,"Normal","TRIM56"
"JMJD1C",0.0127319981342245,0.169917247929959,0.655,0.559,1,"Normal","JMJD1C"
"AP2A2",0.0130676470969216,0.536295302346934,0.113,0.078,1,"Normal","AP2A2"
"GPATCH8",0.013106598974427,0.236182726423389,0.361,0.298,1,"Normal","GPATCH8"
"TIAM2",0.0131556036710029,0.42301294217522,0.231,0.183,1,"Normal","TIAM2"
"SSPN",0.0132082798148902,0.339365471961642,0.227,0.177,1,"Normal","SSPN"
"TSPYL1",0.0132193673781415,0.337366374371237,0.247,0.196,1,"Normal","TSPYL1"
"WASHC3",0.0133237579763338,0.616069139792982,0.158,0.12,1,"Normal","WASHC3"
"RPL12P12",0.0133952725462434,0.357077603599409,0.108,0.072,1,"Normal","RPL12P12"
"SETD7",0.0134223191639581,0.391693387449938,0.106,0.071,1,"Normal","SETD7"
"UNK",0.013514296520469,0.434223609757783,0.123,0.085,1,"Normal","UNK"
"MIR4300HG",0.0135500033492269,0.238626145269971,0.373,0.307,1,"Normal","MIR4300HG"
"PRKRIP1",0.0135896624690125,0.376016036794806,0.194,0.148,1,"Normal","PRKRIP1"
"DDHD2",0.0136051549674752,0.607549854120064,0.102,0.068,1,"Normal","DDHD2"
"TRAF3IP2-AS1",0.0136617291055873,0.504348934137256,0.153,0.113,1,"Normal","TRAF3IP2-AS1"
"SMC6",0.0136672690201328,0.338334128138268,0.287,0.236,1,"Normal","SMC6"
"SOCS5",0.0136677289829533,0.443497166791327,0.158,0.117,1,"Normal","SOCS5"
"UBQLN1",0.0137016366509312,0.382932383067907,0.273,0.225,1,"Normal","UBQLN1"
"CHMP4B",0.0137397922556135,0.318232271051044,0.211,0.162,1,"Normal","CHMP4B"
"SP110",0.0137659408507207,0.2195941816016,0.41,0.338,1,"Normal","SP110"
"MIR155HG",0.0137821328042208,0.296762938063068,0.176,0.13,1,"Normal","MIR155HG"
"CAB39",0.0138588248700811,0.284059221794703,0.277,0.224,1,"Normal","CAB39"
"HERC1",0.0138708629099762,0.282947753254411,0.358,0.302,1,"Normal","HERC1"
"NUP160",0.0139585376098779,0.546307098487607,0.139,0.1,1,"Normal","NUP160"
"BLNK",0.0139815787636984,0.303066939209142,0.26,0.206,1,"Normal","BLNK"
"CDC14A",0.0140356955203926,0.463487568350975,0.126,0.089,1,"Normal","CDC14A"
"RAB8B",0.0140735990976628,0.227307876376858,0.424,0.356,1,"Normal","RAB8B"
"ARL5A",0.0141258283112658,0.188954203427473,0.253,0.196,1,"Normal","ARL5A"
"HVCN1",0.0141751725795131,0.292637132916944,0.242,0.19,1,"Normal","HVCN1"
"SMAD2",0.0142799183452654,0.380067137858141,0.2,0.153,1,"Normal","SMAD2"
"SNX8",0.0143447206548171,0.280385593775844,0.387,0.327,1,"Normal","SNX8"
"ABCA1",0.0144401640541126,0.518517633645665,0.139,0.099,1,"Normal","ABCA1"
"TFCP2",0.0144723156144002,0.464268322001887,0.124,0.087,1,"Normal","TFCP2"
"CLYBL",0.0145337700186192,0.514503731283008,0.161,0.121,1,"Normal","CLYBL"
"RAPGEF1",0.0146657877093975,0.150595260044482,0.602,0.512,1,"Normal","RAPGEF1"
"CMTR1",0.014792936573303,0.372581415081917,0.111,0.076,1,"Normal","CMTR1"
"ANO6",0.0149876660113561,0.592048903058662,0.1,0.067,1,"Normal","ANO6"
"KRCC1",0.0153707385682031,0.184361286929054,0.132,0.092,1,"Normal","KRCC1"
"RPS26P31",0.0156450279681603,0.269374333659282,0.411,0.361,1,"Normal","RPS26P31"
"ATAD2",0.0158039501107766,0.514130657244107,0.115,0.08,1,"Normal","ATAD2"
"SERTAD2",0.0159376586863972,0.272546056885167,0.182,0.135,1,"Normal","SERTAD2"
"FAR1",0.0159437313734419,0.391674943528802,0.132,0.094,1,"Normal","FAR1"
"RBBP5",0.0163231033559663,0.339894369553621,0.119,0.082,1,"Normal","RBBP5"
"HNRNPC",0.0163313819403717,0.114667054451205,0.803,0.747,1,"Normal","HNRNPC"
