"","gender","accession","counts"
"161","M","GSM3425686",36
"162","unknown","GSM3425686",0
"163","F","GSM3425687",0
"164","M","GSM3425687",27
"165","unknown","GSM3425687",0
"166","F","GSM3425692",0
"167","M","GSM3425692",76
"168","unknown","GSM3425692",0
"169","F","GSM3425693",0
"170","M","GSM3425693",42
"171","unknown","GSM3425693",0
"172","F","GSM3489182",0
"173","M","GSM3489182",0
"174","unknown","GSM3489182",20
"175","F","GSM3489185",0
"176","M","GSM3489185",0
"177","unknown","GSM3489185",28
"178","F","GSM3489187",0
"179","M","GSM3489187",0
"180","unknown","GSM3489187",35
"181","F","GSM3489189",0
"182","M","GSM3489189",0
"183","unknown","GSM3489189",28
"184","F","GSM3489191",0
"185","M","GSM3489191",0
"186","unknown","GSM3489191",29
"187","F","GSM3489193",0
"188","M","GSM3489193",0
"189","unknown","GSM3489193",27
"190","F","GSM3489195",0
"191","M","GSM3489195",0
"192","unknown","GSM3489195",54
"193","F","GSM3489197",0
"194","M","GSM3489197",0
"195","unknown","GSM3489197",49
"196","F","GSM3589406",0
"197","M","GSM3589406",0
"198","unknown","GSM3589406",15
"199","F","GSM3589407",0
"200","M","GSM3589407",0
"201","unknown","GSM3589407",16
"202","F","GSM3891620",0
"203","M","GSM3891620",0
"204","unknown","GSM3891620",117
"205","F","GSM3891621",0
"206","M","GSM3891621",0
"207","unknown","GSM3891621",51
"208","F","GSM3891622",0
"209","M","GSM3891622",0
"210","unknown","GSM3891622",55
"211","F","GSM3891623",0
"212","M","GSM3891623",0
"213","unknown","GSM3891623",63
"214","F","GSM3891624",0
"215","M","GSM3891624",0
"216","unknown","GSM3891624",33
"217","F","GSM3891625",0
"218","M","GSM3891625",0
"219","unknown","GSM3891625",68
"220","F","GSM3891632",0
"221","M","GSM3891632",0
"222","unknown","GSM3891632",129
"223","F","GSM3891633",0
"224","M","GSM3891633",0
"225","unknown","GSM3891633",122
"226","F","GSM3891634",0
"227","M","GSM3891634",0
"228","unknown","GSM3891634",41
"229","F","GSM3891635",0
"230","M","GSM3891635",0
"231","unknown","GSM3891635",72
"232","F","GSM3896324",0
"233","M","GSM3896324",0
"234","unknown","GSM3896324",33
"235","F","GSM3896325",0
"236","M","GSM3896325",0
"237","unknown","GSM3896325",49
"238","F","GSM3896326",0
"239","M","GSM3896326",0
"240","unknown","GSM3896326",13
"241","F","GSM4008628",0
"242","M","GSM4008628",0
"243","unknown","GSM4008628",18
"244","F","GSM4008629",0
"245","M","GSM4008629",0
"246","unknown","GSM4008629",1
"247","F","GSM4008630",0
"248","M","GSM4008630",0
"249","unknown","GSM4008630",3
"250","F","GSM4008631",0
"251","M","GSM4008631",0
"252","unknown","GSM4008631",1
"253","F","GSM4008632",0
"254","M","GSM4008632",0
"255","unknown","GSM4008632",3
"256","F","GSM4008633",0
"257","M","GSM4008633",0
"258","unknown","GSM4008633",3
"259","F","GSM4037301",0
"260","M","GSM4037301",0
"261","unknown","GSM4037301",45
"262","F","GSM4037302",0
"263","M","GSM4037302",0
"264","unknown","GSM4037302",46
"265","F","GSM4037305",0
"266","M","GSM4037305",0
"267","unknown","GSM4037305",103
"268","F","GSM4037306",0
"269","M","GSM4037306",0
"270","unknown","GSM4037306",46
"271","F","GSM4037309",0
"272","M","GSM4037309",0
"273","unknown","GSM4037309",13
"274","F","GSM4037313",0
"275","M","GSM4037313",0
"276","unknown","GSM4037313",34
"277","F","GSM4037316",0
"278","M","GSM4037316",0
"279","unknown","GSM4037316",22
"280","F","GSM4037323",0
"281","M","GSM4037323",0
"282","unknown","GSM4037323",14
"283","F","GSM4037324",0
"284","M","GSM4037324",0
"285","unknown","GSM4037324",35
"286","F","GSM4037325",0
"287","M","GSM4037325",0
"288","unknown","GSM4037325",44
"289","F","GSM4058901",13
"290","M","GSM4058901",0
"291","unknown","GSM4058901",0
"292","F","GSM4058904",0
"293","M","GSM4058904",152
"294","unknown","GSM4058904",0
"295","F","GSM4058905",0
"296","M","GSM4058905",3
"297","unknown","GSM4058905",0
"298","F","GSM4058907",0
"299","M","GSM4058907",36
"300","unknown","GSM4058907",0
"301","F","GSM4058908",11
"302","M","GSM4058908",0
"303","unknown","GSM4058908",0
"304","F","GSM4058909",42
"305","M","GSM4058909",0
"306","unknown","GSM4058909",0
"307","F","GSM4058913",0
"308","M","GSM4058913",93
"309","unknown","GSM4058913",0
"310","F","GSM4058914",91
"311","M","GSM4058914",0
"312","unknown","GSM4058914",0
"313","F","GSM4058915",18
"314","M","GSM4058915",0
"315","unknown","GSM4058915",0
"316","F","GSM4058916",0
"317","M","GSM4058916",21
"318","unknown","GSM4058916",0
"319","F","GSM4058917",166
"320","M","GSM4058917",0
"321","unknown","GSM4058917",0
"322","F","GSM4058918",0
"323","M","GSM4058918",22
"324","unknown","GSM4058918",0
"325","F","GSM4058919",0
"326","M","GSM4058919",20
"327","unknown","GSM4058919",0
"328","F","GSM4058920",5
"329","M","GSM4058920",0
"330","unknown","GSM4058920",0
"331","F","GSM4058921",42
"332","M","GSM4058921",0
"333","unknown","GSM4058921",0
"334","F","GSM4058922",19
"335","M","GSM4058922",0
"336","unknown","GSM4058922",0
"337","F","GSM4058923",16
"338","M","GSM4058923",0
"339","unknown","GSM4058923",0
"340","F","GSM4058924",0
"341","M","GSM4058924",21
"342","unknown","GSM4058924",0
"343","F","GSM4058925",0
"344","M","GSM4058925",3
"345","unknown","GSM4058925",0
"346","F","GSM4058926",0
"347","M","GSM4058926",3
"348","unknown","GSM4058926",0
"349","F","GSM4058927",0
"350","M","GSM4058927",39
"351","unknown","GSM4058927",0
"352","F","GSM4058928",0
"353","M","GSM4058928",85
"354","unknown","GSM4058928",0
"355","F","GSM4058931",80
"356","M","GSM4058931",0
"357","unknown","GSM4058931",0
"358","F","GSM4058932",0
"359","M","GSM4058932",35
"360","unknown","GSM4058932",0
"361","F","GSM4058933",0
"362","M","GSM4058933",179
"363","unknown","GSM4058933",0
"364","F","GSM4058934",0
"365","M","GSM4058934",72
"366","unknown","GSM4058934",0
"367","F","GSM4058935",0
"368","M","GSM4058935",119
"369","unknown","GSM4058935",0
"370","F","GSM4058936",28
"371","M","GSM4058936",0
"372","unknown","GSM4058936",0
