"","gender","accession","counts"
"891","unknown","P2_1_LUNG",35
"892","F","P2_2_LUNG",0
"893","M","P2_2_LUNG",0
"894","unknown","P2_2_LUNG",21
"895","F","P2_3_LUNG",0
"896","M","P2_3_LUNG",0
"897","unknown","P2_3_LUNG",21
"898","F","P2_4_LUNG",0
"899","M","P2_4_LUNG",0
"900","unknown","P2_4_LUNG",10
"901","F","P2_5_LUNG",0
"902","M","P2_5_LUNG",0
"903","unknown","P2_5_LUNG",35
"904","F","P2_6_LUNG",0
"905","M","P2_6_LUNG",0
"906","unknown","P2_6_LUNG",11
"907","F","P2_7_LUNG",0
"908","M","P2_7_LUNG",0
"909","unknown","P2_7_LUNG",22
"910","F","P2_8_LUNG",0
"911","M","P2_8_LUNG",0
"912","unknown","P2_8_LUNG",23
"913","F","P3_2_LUNG",0
"914","M","P3_2_LUNG",0
"915","unknown","P3_2_LUNG",16
"916","F","P3_3_LUNG",0
"917","M","P3_3_LUNG",0
"918","unknown","P3_3_LUNG",27
"919","F","P3_4_LUNG",0
"920","M","P3_4_LUNG",0
"921","unknown","P3_4_LUNG",10
"922","F","P3_5_LUNG",0
"923","M","P3_5_LUNG",0
"924","unknown","P3_5_LUNG",21
"925","F","P3_6_LUNG",0
"926","M","P3_6_LUNG",0
"927","unknown","P3_6_LUNG",37
"928","F","P3_7_LUNG",0
"929","M","P3_7_LUNG",0
"930","unknown","P3_7_LUNG",49
"931","F","p46c_LUNG",0
"932","M","p46c_LUNG",0
"933","unknown","p46c_LUNG",45
"934","F","p47c_LUNG",0
"935","M","p47c_LUNG",0
"936","unknown","p47c_LUNG",22
"937","F","p50c_LUNG",0
"938","M","p50c_LUNG",0
"939","unknown","p50c_LUNG",74
"940","F","p51c_LUNG",0
"941","M","p51c_LUNG",0
"942","unknown","p51c_LUNG",43
"943","F","proximal_3_LUNG",0
"944","M","proximal_3_LUNG",0
"945","unknown","proximal_3_LUNG",1
"946","F","QZY9VQng_LUNG",0
"947","M","QZY9VQng_LUNG",0
"948","unknown","QZY9VQng_LUNG",23
"949","F","RU675_N",18
"950","M","RU675_N",0
"951","unknown","RU675_N",0
"952","F","RU682_N",0
"953","M","RU682_N",19
"954","unknown","RU682_N",0
"955","F","RU684_N",19
"956","M","RU684_N",0
"957","unknown","RU684_N",0
"958","F","RU685_N",0
"959","M","RU685_N",27
"960","unknown","RU685_N",0
"961","F","S4ECX8ng_LUNG",0
"962","M","S4ECX8ng_LUNG",0
"963","unknown","S4ECX8ng_LUNG",28
"964","F","sample10",0
"965","M","sample10",4
"966","unknown","sample10",0
"967","F","sample11",0
"968","M","sample11",1
"969","unknown","sample11",0
"970","F","sample4",5
"971","M","sample4",0
"972","unknown","sample4",0
"973","F","sample8",3
"974","M","sample8",0
"975","unknown","sample8",0
"976","F","sample9",4
"977","M","sample9",0
"978","unknown","sample9",0
"979","F","SHMI57ng_LUNG",0
"980","M","SHMI57ng_LUNG",0
"981","unknown","SHMI57ng_LUNG",24
"982","F","Travaglini_Krasnow_2020_distal 1a",0
"983","M","Travaglini_Krasnow_2020_distal 1a",15
"984","unknown","Travaglini_Krasnow_2020_distal 1a",0
"985","F","Travaglini_Krasnow_2020_distal 1b",0
"986","M","Travaglini_Krasnow_2020_distal 1b",26
"987","unknown","Travaglini_Krasnow_2020_distal 1b",0
"988","F","Travaglini_Krasnow_2020_distal 2",0
"989","M","Travaglini_Krasnow_2020_distal 2",14
"990","unknown","Travaglini_Krasnow_2020_distal 2",0
"991","F","Travaglini_Krasnow_2020_distal 3",10
"992","M","Travaglini_Krasnow_2020_distal 3",0
"993","unknown","Travaglini_Krasnow_2020_distal 3",0
"994","F","Travaglini_Krasnow_2020_medial 2",0
"995","M","Travaglini_Krasnow_2020_medial 2",5
"996","unknown","Travaglini_Krasnow_2020_medial 2",0
"997","F","Travaglini_Krasnow_2020_medial 3",4
"998","M","Travaglini_Krasnow_2020_medial 3",0
"999","unknown","Travaglini_Krasnow_2020_medial 3",0
"1000","F","Travaglini_Krasnow_2020_proximal 3",3
"1001","M","Travaglini_Krasnow_2020_proximal 3",0
"1002","unknown","Travaglini_Krasnow_2020_proximal 3",0
"1003","F","Vieira_Teichmann_2019_Dropseq_1",0
"1004","M","Vieira_Teichmann_2019_Dropseq_1",9
"1005","unknown","Vieira_Teichmann_2019_Dropseq_1",0
"1006","F","Vieira_Teichmann_2019_Dropseq_2",0
"1007","M","Vieira_Teichmann_2019_Dropseq_2",13
"1008","unknown","Vieira_Teichmann_2019_Dropseq_2",0
"1009","F","ZM3KACng_LUNG",0
"1010","M","ZM3KACng_LUNG",0
"1011","unknown","ZM3KACng_LUNG",19
