"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","celltype"
"1066","SYDE2",5.99090584520082e-08,0.937352391600585,0.387,0.28,0.00548587248245039,"Normal","SYDE2","Ciliated"
"1067","SFMBT1",6.0166214514349e-08,0.691195283055719,0.433,0.319,0.00550942026307894,"Normal","SFMBT1","Ciliated"
"1068","TTC17",6.06474881657663e-08,0.797011717113965,0.482,0.388,0.00555349049133922,"Normal","TTC17","Ciliated"
"1069","SPRING1",6.14632164449309e-08,0.957205377374433,0.208,0.106,0.00562818672986232,"Normal","SPRING1","Ciliated"
"1070","DENND2C",6.17677371333145e-08,0.858903312719317,0.403,0.297,0.00565607168929761,"Normal","DENND2C","Ciliated"
"1071","ARPC4-TTLL3",6.62202097391027e-08,0.875852308857094,0.254,0.143,0.00606378460580964,"Normal","ARPC4-TTLL3","Ciliated"
"1072","DPY19L1",6.79587255745565e-08,0.6881422037578,0.418,0.296,0.00622298050086214,"Normal","DPY19L1","Ciliated"
"1073","TTBK2",6.81095060282517e-08,0.512261276640511,0.607,0.529,0.00623678746700701,"Normal","TTBK2","Ciliated"
"1074","PHF21A",7.299299991199e-08,0.700766728669432,0.448,0.338,0.00668396900194092,"Normal","PHF21A","Ciliated"
"1075","CLHC1",7.40755263712678e-08,0.65296513752638,0.51,0.407,0.006783095949817,"Normal","CLHC1","Ciliated"
"1076","CELF1",7.60036414496332e-08,0.417473474801517,0.705,0.649,0.00695965344754291,"Normal","CELF1","Ciliated"
"1077","H2BC11",7.65472929521712e-08,1.26585856339886,0.116,0.041,0.00700943561563031,"Normal","H2BC11","Ciliated"
"1078","TJP1",7.75624044014707e-08,0.58035729757612,0.54,0.456,0.00710238937104267,"Normal","TJP1","Ciliated"
"1079","POMGNT1",7.93216970058387e-08,0.754424392000938,0.372,0.257,0.00726348779482465,"Normal","POMGNT1","Ciliated"
"1080","TTLL9",8.00672991188392e-08,0.533361900245939,0.569,0.494,0.00733176258031211,"Normal","TTLL9","Ciliated"
"1081","IFT88",8.41019027873125e-08,0.299957789791347,0.767,0.708,0.0077012112382342,"Normal","IFT88","Ciliated"
"1082","SCGB2B2",8.53136722216801e-08,0.885050635447766,0.212,0.11,0.00781217296533925,"Normal","SCGB2B2","Ciliated"
"1083","SMIM11A",8.53756325767192e-08,0.843169060021699,0.146,0.06,0.00781784667505018,"Normal","SMIM11A","Ciliated"
"1084","RC3H1",8.63803806097301e-08,0.565904832879589,0.558,0.47,0.00790985145243299,"Normal","RC3H1","Ciliated"
"1085","UBR2",8.71030205259355e-08,0.705771933867299,0.491,0.388,0.00797602358955991,"Normal","UBR2","Ciliated"
"1086","GAPVD1",8.73639923125418e-08,0.528792797983092,0.624,0.558,0.00799992077605946,"Normal","GAPVD1","Ciliated"
"1087","LSAMP",8.76274139678377e-08,0.786867645919318,0.295,0.174,0.0080240422970349,"Normal","LSAMP","Ciliated"
"1088","ZNF280D",9.0124055907467e-08,0.842378142126606,0.391,0.282,0.00825265979944675,"Normal","ZNF280D","Ciliated"
"1089","PSME3IP1",9.10769046172144e-08,0.79488680817838,0.228,0.124,0.00833991215579832,"Normal","PSME3IP1","Ciliated"
"1090","NPEPPS",9.37522310664545e-08,0.624560718697002,0.556,0.474,0.00858489179875524,"Normal","NPEPPS","Ciliated"
"1091","FBXL18",9.40863850289882e-08,0.801717790647929,0.303,0.19,0.00861549027710445,"Normal","FBXL18","Ciliated"
"1092","GPR199P",9.43472240812779e-08,1.21515547167269,0.146,0.061,0.00863937530912262,"Normal","GPR199P","Ciliated"
"1093","CCT6P3",9.58711828959383e-08,0.82559204229186,0.158,0.069,0.00877892421778107,"Normal","CCT6P3","Ciliated"
"1094","NBPF25P",9.73475123797981e-08,1.2382049037491,0.168,0.079,0.00891411170861811,"Normal","NBPF25P","Ciliated"
"1095","ANKMY1",9.88657873023103e-08,0.461700707379657,0.631,0.575,0.00905314014327256,"Normal","ANKMY1","Ciliated"
"1096","GIPR",1.01896438399512e-07,0.678383353704076,0.504,0.403,0.00933065686424332,"Normal","GIPR","Ciliated"
"1097","SPIRE1",1.05457046488579e-07,0.9023966477721,0.282,0.173,0.00965670174695916,"Normal","SPIRE1","Ciliated"
"1098","QKI",1.07732124798948e-07,0.614273655077671,0.515,0.405,0.00986503066783966,"Normal","QKI","Ciliated"
"1099","ZZZ3",1.08311699864553e-07,0.869296408027748,0.257,0.15,0.00991810235659715,"Normal","ZZZ3","Ciliated"
"1100","GALK2",1.08848062719086e-07,0.604678911900662,0.54,0.447,0.00996721710318669,"Normal","GALK2","Ciliated"
"1101","INTS4P1",1.15984091640445e-07,0.976312801616948,0.217,0.115,0.0106206632715156,"Normal","INTS4P1","Ciliated"
"1102","CNTNAP2",1.16138024921496e-07,0.907266356514924,0.271,0.16,0.0106347589420614,"Normal","CNTNAP2","Ciliated"
"1104","GRAMD2B",1.22525966726947e-07,0.608639390325817,0.48,0.369,0.0112197027731865,"Normal","GRAMD2B","Ciliated"
"1105","NPR2",1.22981418453545e-07,1.00210401261533,0.17,0.079,0.0112614084877911,"Normal","NPR2","Ciliated"
"1106","CCDC178",1.23590361656469e-07,0.792800307937345,0.23,0.125,0.0113171694168829,"Normal","CCDC178","Ciliated"
"1107","NBPF12",1.25050599615277e-07,0.809327008933849,0.26,0.15,0.0114508834067709,"Normal","NBPF12","Ciliated"
"1108","KIAA1958",1.27595478615421e-07,0.741652127026238,0.439,0.344,0.0116839179768141,"Normal","KIAA1958","Ciliated"
"1109","OSBPL6",1.30420061581812e-07,0.470701471216023,0.651,0.593,0.0119425650390465,"Normal","OSBPL6","Ciliated"
"1110","LOC100129931",1.31609022873039e-07,0.796602008020542,0.204,0.105,0.0120514382244842,"Normal","LOC100129931","Ciliated"
"1111","FAR2",1.32137458571893e-07,0.82848409552169,0.271,0.16,0.0120998270814283,"Normal","FAR2","Ciliated"
"1112","LOC105371084",1.32347579209053e-07,1.08509024416014,0.189,0.095,0.012119067828173,"Normal","LOC105371084","Ciliated"
"1113","SPATA5",1.34663619594748e-07,1.01839387873889,0.223,0.124,0.0123311476462911,"Normal","SPATA5","Ciliated"
"1114","PLEKHG1",1.35848043795077e-07,0.852874798822354,0.287,0.174,0.0124396053703152,"Normal","PLEKHG1","Ciliated"
"1115","SHLD1",1.36869730671737e-07,1.13819104125782,0.19,0.096,0.012533161237611,"Normal","SHLD1","Ciliated"
"1116","RUFY1",1.41092759335108e-07,0.712162209255839,0.504,0.414,0.0129198639723159,"Normal","RUFY1","Ciliated"
"1117","PARN",1.41096448309254e-07,0.703506664133197,0.36,0.243,0.0129202017716784,"Normal","PARN","Ciliated"
