"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"AUTS2",2.42591414457365e-18,0.956577323724389,0.878,0.715,6.57907916008375e-14,"Normal","AUTS2"
"MACROD2",8.44515080900187e-17,0.84053051057706,0.834,0.649,2.29032489940131e-12,"Normal","MACROD2"
"COX1",2.56179198638246e-16,1.11327314074554,0.552,0.29,6.94757986706923e-12,"Normal","COX1"
"FOXP1",1.76223908643802e-15,0.614464605917405,0.909,0.841,4.7791924024199e-11,"Normal","FOXP1"
"MTCO1P12",2.08268735675972e-15,1.09985019464634,0.545,0.29,5.64824811153236e-11,"Normal","MTCO1P12"
"ZBTB20",2.35290364286572e-15,0.609364699613001,0.9,0.839,6.38107467945183e-11,"Normal","ZBTB20"
"RABGAP1L",2.56830741031205e-15,0.830755088326822,0.79,0.681,6.96524969676629e-11,"Normal","RABGAP1L"
"COX2",2.63812295246132e-15,1.06957574877552,0.549,0.29,7.15458944707509e-11,"Normal","COX2"
"ND4L",3.42804959517308e-15,1.05792773888074,0.549,0.29,9.29687050210940e-11,"Normal","ND4L"
"ATP8",5.39383198564763e-15,1.03589941957309,0.545,0.288,1.46280723450764e-10,"Normal","ATP8"
"ND1",6.00480650399685e-15,1.05473836557945,0.549,0.29,1.62850352388394e-10,"Normal","ND1"
"ATP6",7.26573935421471e-15,1.05506627088283,0.542,0.29,1.97046851286303e-10,"Normal","ATP6"
"ND2",7.36979144748981e-15,1.05828767966949,0.542,0.29,1.99868744055924e-10,"Normal","ND2"
"ACACA",9.23381756404705e-15,0.971162184449956,0.809,0.681,2.50421132336956e-10,"Normal","ACACA"
"XIST",1.23707068990681e-14,1.42200626850458,0.348,0.123,3.35493571102727e-10,"Normal","XIST"
"KANK1",1.68750464791327e-14,1.15908865719905,0.693,0.49,4.57651260514078e-10,"Normal","KANK1"
"MECOM",2.57761117478866e-14,0.86928177782237,0.871,0.772,6.99048150602685e-10,"Normal","MECOM"
"CYTB",3.10443016222061e-14,1.03354574022141,0.536,0.29,8.41921459994228e-10,"Normal","CYTB"
"ND3",3.43610706150597e-14,1.04041261266722,0.539,0.288,9.3187223508042e-10,"Normal","ND3"
"MTATP8P1",5.35928627402909e-14,1.02020922246704,0.533,0.288,1.45343843751669e-09,"Normal","MTATP8P1"
"BTBD9",7.28704244655873e-14,0.890860217945313,0.755,0.584,1.97624591150673e-09,"Normal","BTBD9"
"PDE4D",1.80171815826615e-13,0.654190369261674,0.937,0.867,4.8862596452178e-09,"Normal","PDE4D"
"MTND1P23",1.86800361262083e-13,1.0567685775732,0.517,0.277,5.0660257974277e-09,"Normal","MTND1P23"
"ND5",3.09244088619147e-13,1.06131534171255,0.517,0.273,8.38669968335126e-09,"Normal","ND5"
"LINC01090",3.18147957077611e-13,1.90391209993234,0.317,0.118,8.6281725959448e-09,"Normal","LINC01090"
"MTATP6P1",3.59123191338848e-13,0.960948758450639,0.53,0.277,9.73942094910956e-09,"Normal","MTATP6P1"
"PTPRM",1.3664926131007e-12,1.01875104663215,0.737,0.603,3.7059279667291e-08,"Normal","PTPRM"
"ACOXL",1.49756012584642e-12,1.12669762436164,0.696,0.548,4.0613830612955e-08,"Normal","ACOXL"
"MED13L",1.88016377712558e-12,0.759511639478883,0.806,0.721,5.09900416356457e-08,"Normal","MED13L"
"USP54",2.04622621270647e-12,0.847765680808503,0.765,0.588,5.54936548885994e-08,"Normal","USP54"
"RERE",3.78094562970111e-12,0.770955429468049,0.806,0.672,1.02539245477494e-07,"Normal","RERE"
"UNC13B",1.38054534959922e-11,0.836271629689157,0.812,0.715,3.74403898811309e-07,"Normal","UNC13B"
"AFF3",1.92434263201991e-11,1.02969903047211,0.74,0.634,5.21881721803799e-07,"Normal","AFF3"
"ND6",2.0931817283567e-11,1.12223715947509,0.47,0.258,5.67670884730336e-07,"Normal","ND6"
"MAGI1",2.67599271039094e-11,0.864331955995437,0.724,0.598,7.25729223058022e-07,"Normal","MAGI1"
"LINC00486",4.27487748948762e-11,0.916851774162545,0.498,0.277,1.15934677514904e-06,"Normal","LINC00486"
"LOC101928626",4.69253453288858e-11,0.928654870550515,0.508,0.283,1.27261536531938e-06,"Normal","LOC101928626"
"SNX25",7.08636287176594e-11,0.590651712083367,0.887,0.803,1.92182161082292e-06,"Normal","SNX25"
"ANK3",7.22931876614186e-11,0.476248409858312,0.944,0.884,1.96059124937767e-06,"Normal","ANK3"
"TNIK",8.24858371126299e-11,0.844559080282838,0.743,0.603,2.23701590249452e-06,"Normal","TNIK"
"ARMH4",8.27646236574111e-11,1.43066223363031,0.364,0.175,2.24457659358899e-06,"Normal","ARMH4"
"ADK",9.31154270598037e-11,0.836927747076279,0.821,0.729,2.52529038186188e-06,"Normal","ADK"
"PLEKHA5",1.18129051410972e-10,1.13255477037705,0.608,0.442,3.20365987426555e-06,"Normal","PLEKHA5"
"NIBAN2",1.80474146180679e-10,1.15153057273623,0.398,0.201,4.89445884442001e-06,"Normal","NIBAN2"
"TBC1D5",1.85872463410321e-10,1.06191436057467,0.636,0.488,5.0408612076879e-06,"Normal","TBC1D5"
"LOC729732",2.09385422548879e-10,1.5930688670156,0.323,0.148,5.67853265952561e-06,"Normal","LOC729732"
"LINC-PINT",2.37353840014386e-10,0.929091411896126,0.492,0.275,6.43703614119015e-06,"Normal","LINC-PINT"
"SSH2",2.55013539231637e-10,0.845677380101549,0.734,0.609,6.91596718396199e-06,"Normal","SSH2"
"BMP1",2.59454891003621e-10,1.02613796699408,0.567,0.389,7.0364166440182e-06,"Normal","BMP1"
"NPIPB3",3.61959225405609e-10,1.25805743304394,0.389,0.197,9.81633419300013e-06,"Normal","NPIPB3"
"EVI5",3.64896912031265e-10,0.988630811528536,0.658,0.535,9.8960042542879e-06,"Normal","EVI5"
"NEBL",4.74808714196738e-10,0.706276122249839,0.846,0.77,1.28768123290155e-05,"Normal","NEBL"
"PRKG1",7.81117612179836e-10,1.17537021355427,0.545,0.397,2.11839096423172e-05,"Normal","PRKG1"
"CMTM8",7.89588540432668e-10,0.920261141887241,0.693,0.594,2.1413641216534e-05,"Normal","CMTM8"
"MTND2P28",9.51823258885496e-10,0.951357596398784,0.448,0.245,2.58134467809747e-05,"Normal","MTND2P28"
"SPIDR",1.07910710906945e-09,0.892914172558961,0.652,0.518,2.92653847979636e-05,"Normal","SPIDR"
"MYO9A",1.08580572555518e-09,0.837850710420616,0.724,0.615,2.94470512770564e-05,"Normal","MYO9A"
"GPHN",1.21501824673465e-09,0.967647809710644,0.611,0.463,3.29512948514437e-05,"Normal","GPHN"
"LARP4B",1.28269762574005e-09,0.593802503621393,0.787,0.706,3.47867596100702e-05,"Normal","LARP4B"
"SHANK2",1.32079826744795e-09,0.951036526734347,0.639,0.51,3.58200490131884e-05,"Normal","SHANK2"
"PARD3",1.59201148690327e-09,0.83977971187742,0.708,0.596,4.31753515248167e-05,"Normal","PARD3"
"DLG2",1.90546183603674e-09,1.03363057808271,0.561,0.408,5.16761249933164e-05,"Normal","DLG2"
"RBM6",2.15313790876358e-09,0.909858690081986,0.68,0.577,5.83931000856682e-05,"Normal","RBM6"
"GPC5",2.38363376811317e-09,1.65495682970324,0.361,0.207,6.46441477912291e-05,"Normal","GPC5"
"ERBB4",2.52853159523924e-09,0.972400182565891,0.602,0.461,6.85737768628881e-05,"Normal","ERBB4"
"ST7",2.57819442443218e-09,0.792865725983868,0.737,0.617,6.99206327906008e-05,"Normal","ST7"
"AGAP1",2.67552789893664e-09,1.10347769138558,0.577,0.44,7.25603166191617e-05,"Normal","AGAP1"
